index,source,target,distanceNorm
0,58,89,0.978476166399886
1,58,107,0.996090469314304
2,89,107,0.99281430903851
7,89,141,0.9954546974473872
8,107,141,0.9013593359726852
10,58,187,0.9532712247947754
11,89,187,0.9900807977822456
12,107,187,0.9900807977822456
14,141,187,0.8651263281038595
17,107,197,0.90924016986432
21,58,228,0.9870268950094148
22,89,228,0.998895895390216
23,107,228,0.9973323200959344
25,141,228,0.9724289024402788
26,187,228,0.9900807977822456
27,197,228,0.8195091187245229
28,58,246,0.9112446765136476
30,107,246,0.9050425565363568
35,228,246,0.8388193441787042
45,58,303,0.9649042880580456
46,89,303,0.9982787862002128
47,107,303,0.9841433478623216
49,141,303,0.9967539435907627
50,187,303,0.974952517185144
52,228,303,0.9944291145782596
2,46,92,0.9863314151401638
5,92,132,0.8671766681016105
6,40,142,0.8672771442738304
7,46,142,0.999200597503497
8,92,142,0.9980201166138771
9,132,142,0.932465761966484
12,92,265,0.8066039697229335
14,142,265,0.9619503850545869
17,92,301,0.9962125496144458
19,142,301,0.962185586690008
0,20,117,0.9145745075580248
1,20,132,0.9881870832716227
2,117,132,0.8946844874161085
3,20,142,0.9970652520947514
4,117,142,0.9360699070041424
5,132,142,0.9892257610630428
10,20,263,0.9041344491292268
13,142,263,0.8642745353527843
15,20,301,0.8393598997468484
28,20,335,0.9923604055288928
29,117,335,0.9545881268509114
30,132,335,0.99233351162016
31,142,335,0.9966939790969732
33,263,335,0.8264721354273826
35,306,335,0.8303678889429181
36,20,339,0.9957190789036588
37,117,339,0.8470399117582382
38,132,339,0.9700055653252356
39,142,339,0.9884264369831643
41,263,339,0.8510400369588308
44,335,339,0.9768415362688788
0,10,43,0.803432930820479
1,10,89,0.9950281382468072
2,43,89,0.9515945991327132
3,10,107,0.9990364313875176
5,89,107,0.993762588840708
6,10,132,0.9120409393032444
8,89,132,0.803880617664854
9,107,132,0.8487622592372468
10,10,187,0.9912009178425771
12,89,187,0.9883584134210408
13,107,187,0.9784028378185802
15,10,196,0.9465773276064277
18,107,196,0.8370186597403809
21,10,239,0.9936490129192896
23,89,239,0.8486146592358188
24,107,239,0.9651602188672844
28,10,277,0.9990749952094324
29,43,277,0.985177060574924
30,89,277,0.9998276700665768
31,107,277,0.9991127725645428
32,132,277,0.965613389677478
33,187,277,0.9965268355942848
34,196,277,0.9153059618893484
35,239,277,0.9736068087191924
45,10,337,0.9172978899319582
47,89,337,0.9662484905571728
48,107,337,0.8859552107634424
53,277,337,0.9921560967194956
55,10,340,0.8110391754788057
57,89,340,0.9164222165232838
63,277,340,0.9805475924573828
2,44,92,0.9854328385187109
4,44,132,0.9449507476562944
5,92,132,0.9849126485991628
6,35,147,0.8446812764460145
7,44,147,0.9976734620240828
8,92,147,0.9906338964136536
9,132,147,0.9801962242533462
12,92,195,0.9150787804977448
14,147,195,0.8962118857749379
25,147,323,0.8439895935205421
1,122,153,0.9798707060513212
2,132,153,0.9981500828234082
4,132,270,0.9292512528712168
5,153,270,0.9973229072970808
8,153,301,0.8895300619012757
2,103,124,0.9885540057662564
7,103,177,0.8546963829056339
8,124,177,0.8721314805324175
16,103,264,0.8972929667232842
17,124,264,0.9201731208723584
29,103,303,0.9955510923597344
30,124,303,0.988580303594203
32,177,303,0.8983532462047298
34,264,303,0.9123552927065858
35,301,303,0.8150474421237064
36,19,319,0.8929134002321066
37,103,319,0.9857843109843192
38,124,319,0.9901811172337394
40,177,319,0.9744597416398134
42,264,319,0.9887418166829671
44,303,319,0.9883646684534724
45,19,339,0.8431422459993685
46,103,339,0.9988859126865302
47,124,339,0.997132767923556
49,177,339,0.919915058450628
51,264,339,0.963272664488646
52,301,339,0.9136081598092128
53,303,339,0.9982593534418696
54,319,339,0.9943965926757248
0,119,126,0.9133154152553702
2,126,132,0.9821213577452343
4,126,167,0.9951166645565652
7,126,212,0.9993656709644104
9,167,212,0.8046240816211995
11,126,216,0.9991612700572522
13,167,216,0.908193167170634
14,212,216,0.9591456892247454
16,126,271,0.9992605841714564
17,132,271,0.9083499809651974
18,167,271,0.9678247839246459
19,212,271,0.9699032094183448
20,216,271,0.9888110244782996
22,126,301,0.9070597575948754
2,90,132,0.9189194098701132
3,18,142,0.9925999649149556
4,90,142,0.999681829311077
5,132,142,0.9993329626182322
9,142,229,0.9942945499797088
13,142,301,0.9597481692448498
16,90,304,0.9412393151058616
17,132,304,0.8276632602261114
18,142,304,0.9991894147584272
