index,clean_text_others
0,Abdullah Khan
1,Abernetty
2,Abrahams
3,Achmet
4,Adams
5,Agatha
6,Alec Cunningham
7,Alec MacDonald
8,Alice
9,Ames
10,Archie
11,Armstrong
12,Arthur
13,Athelney Jones
14,Athelney Jones 
15,Atkinson
16,Baden
17,Baldwin
18,Bannister
19,Barclay
20,Bardle
21,Barker
22,Barnicot
23,Baron Gruner
24,Barrymore
25,Bartholomew Sholto
26,Barton
27,Barton 
28,Baskerville
29,Baynes
30,Bennett
31,Beppo
32,Billy
33,Birdy Edwards
34,Black Peter
35,Blessington
36,Boss McGinty
37,Boswell
38,Bradstreet
39,Breckinridge
40,Brunton
41,Cadogan West
42,Cantlemere
43,Carruthers
44,Cartwright
45,Cecil Barker
46,Charles
47,Charles Baskerville
48,Clotilde Lothman von Saxe-Meningen
49,Colonel Lysander Stark
50,Cook
51,Coombe Tracey
52,Coram
53,Cunningham
54,Dawson
55,Dolores
56,Dost Akbar
57,Douglas
58,Dr. Ainstree
59,Dr. Lysander Starr
60,Drebber
61,Duchess of Devonshire
62,Duke
63,Duncan Ross
64,Dundas
65,Elias Openshaw
66,Elias Openshaw 
67,Elsie
68,Emsworth
69,Ettie
70,Eustace
71,Evans
72,Ezekiah Hopkins
73,Ferguson
74,Ferrier
75,Fitzroy Simpson
76,Forbes
77,Fordham
78,Forrester
79,Frances
80,Frank
81,Frankland
82,Freebody
83,Freeman
84,Frédéric Cuvier
85,Gar
86,Garcia
87,Gennaro
88,George Burnwell
89,George Sand
90,Gilchrist
91,Gladstone
92,Gloria Scott
93,Godfrey Norton
94,Godfrey Staunton
95,Gorgiano
96,Gregory
97,Grimesby Roylott
98,Gustave Flaubert
99,Hafiz
100,Hall Pycroft
101,Hayes
102,Henderson
103,Henry
104,Henry Baskerville
105,Hilda Adair
106,Hilda Adair 
107,Hill
108,Hilton Cubitt
109,Hobson
110,Holdhurst
111,Horace
112,Horner
113,Hosmer
114,Hugo Baskerville
115,Hunter
116,Huxtable
117,Ian Murdoch
118,Inspector Gregson
119,Inspector Lestrade
120,Irene Adler
121,Jabez Wilson
122,Jack
123,Jacky
124,James Calhoun
125,James Calhoun 
126,James Jim Moriarty
127,James Windibank
128,Jefferson Hope
129,John Clay
130,John Douglas
131,John Ferrier
132,John H. Watson
133,John Hare
134,John Hare 
135,John Openshaw
