,count,dirty_character,strongly_suggested,similarity,clean_character
0,1940,Holmes,Mycroft Holmes / Sherlock Holmes,"[1.6201736729460423, 1.597614304667197]",
1,1015,Watson,John H. Watson / Mrs. Watson,"[1.6201736729460423, 1.7071067811865475]",
2,678,Mr. Holmes,,,
3,270,Sherlock Holmes,Sherlock Holmes,[2.0],
4,225,Lestrade,Lestrade,[2.0],
5,134,Henry,,,
6,98,Mr. Sherlock Holmes,Sherlock Holmes,[1.8819171036881968],
7,88,Mortimer,,,
8,84,Charles,,,
9,71,McGinty,,,
10,67,Stapleton,,,
11,61,Barrymore,,,
12,60,Gregson,Tobias Gregson,[1.6793662204867574],
13,54,Jack,,,
14,50,Moriarty,James Moriarty,[1.7337993857053429],
15,50,Barker,,,
16,48,James,James Calhoun / James Moriarty / James Windibank,"[1.5773502691896257, 1.5547001962252291, 1.5345224838248488]",
17,47,McMurdo,,,
18,46,Hopkins,Ezekiah Hopkins / Stanley Hopkins,"[1.6546536707079773, 1.6546536707079773]",
19,44,Mycroft,Mycroft Holmes,[1.6793662204867574],
20,42,Robert,Robert E. Lee,[1.6454972243679027],
21,40,Godfrey,Godfrey Norton,[1.6793662204867574],
22,37,MacDonald,Alec MacDonald,[1.7844645405527362],
23,37,Mr. Douglas,,,
24,36,Mary,Mary / Mary Jane,"[2.0, 1.6123724356957947]",
25,35,Douglas,,,
26,35,Morris,William Morris,[1.6201736729460423],
27,33,Drebber,,,
28,33,Baldwin,,,
29,32,Mrs. Hudson,Mrs. Hudson,[2.0],
30,31,Von Bork,,,
31,31,Jefferson Hope,,,
32,31,Milverton,,,
33,30,Arthur,,,
34,30,Jones,Athelney Jones / Peter Jones,"[1.5547001962252291, 1.632455532033676]",
35,29,Billy,,,
36,29,Mrs. Douglas,,,
37,29,Baskerville,,,
38,28,Ferguson,,,
39,28,Stanley Hopkins,Stanley Hopkins,[2.0],
40,28,Ettie,,,
41,27,Ames,,,
42,27,Baynes,Baynes,[2.0],
43,26,John Ferrier,,,
44,25,Mr. Mac,,,
45,25,Garcia,,,
46,25,Toby,,,
47,25,Scanlan,,,
48,25,Mr. Bennett,,,
49,24,Ross,Duncan Ross,[1.547722557505166],
50,24,McCarthy,,,
51,24,Ferrier,,,
52,23,Bannister,,,
53,23,St. Simon,,,
54,23,Brunton,,,
55,22,Sholto,Bartholomew Sholto,[1.5423261445466405],
56,22,Peter Carey,,,
57,22,Jove,,,
58,22,Henry Baskerville,,,
59,21,Sherlock,Sherlock Holmes,[1.7071067811865475],
60,21,Susan,,,
61,21,Miss Cushing,,,
62,21,Miss Dunbar,,,
63,20,Stangerson,,,
64,20,Gennaro,,,
65,20,Mr. Barker,,,
66,20,Straker,,,
67,20,Sarah,,,
68,20,Moran,,,
69,20,Lucy,,,
70,19,Mr. Rucastle,,,
71,19,Frank,,,
72,18,Mortimer Tregennis,,,
73,18,Miss Hunter,,,
74,18,George,George Sand,[1.7071067811865475],
75,18,Mr. Soames,,,
76,18,White Mason,,,
77,18,Blessington,,,
78,17,McPherson,,,
79,17,Mr. Lestrade,Lestrade,[1.7977240352174655],
80,17,Mr. Gibson,,,
81,17,Mr. Melas,,,
82,17,Huxtable,,,
83,17,Coombe Tracey,,,
84,17,Mrs. Barclay,,,
85,17,Mrs. Warren,,,
86,17,Joseph,Joseph Openshaw / Joseph Smith,"[1.597614304667197, 1.674199862463242]",
87,16,Masser Holmes,,,
88,16,Emsworth,,,
89,16,Mr. Carruthers,,,
90,16,Phelps,,,
91,15,Napoleon,,,
92,15,Jonathan Small,Jonathan Small,[2.0],
93,15,Godfrey Staunton,,,
94,15,Charles Baskerville,,,
95,15,Wilson,Jabez Wilson,[1.674199862463242],
96,15,Miss Stoner,,,
97,14,Trevor,,,
98,14,McFarlane,,,
99,14,Irene Adler,Irene Adler,[2.0],
100,14,Mr. Windibank,,,
101,14,Carruthers,,,
102,14,Boss McGinty,,,
103,14,Stackhurst,,,
104,14,William,William Morris / William Clark Russell,"[1.6793662204867574, 1.547722557505166]",
105,14,Cadogan West,,,
106,14,Holdhurst,,,
107,14,Woodley,,,
