,character1,character2,similarity,normalized
0,Sherlock Holmes,Mister Sherlock Holmes,2.681575946007091,No
1,Sherlock Holmes,Mr. Sherlock Holmes,2.807843029614123,No
2,Sherlock Holmes,Sherlock,2.6071067811865474,No
3,Irene Adler,Miss Irene Adler,2.7053854698166147,No
4,Irene Adler,Irene,2.512455532033676,No
5,Miss Mary Sutherland,Miss Sutherland,2.8057634963315836,No
6,Mr. Holmes,Mr. Homes,2.630513466939861,No
7,Mr. Holmes,Mr. Holmes [,2.8681703973696546,No
8,Mr. Hosmer Angel,Hosmer Angel,2.7674599496887864,No
9,Mr. Windibank,Mr. James Windibank,2.7387188031499483,No
10,Mr. Windibank,Windibank,2.705385469816615,No
11,Mr. Hardy,Mr. Harding,2.5726237921249266,No
12,Hosmer,Hosmer Angel,2.565108953372333,No
13,Mr. James Windibank,James Windibank,2.807843029614123,No
14,Windibank,James Windibank,2.6130718031613114,No
15,Horace,Horace Harker,2.528830557701236,No
16,John,Johnson,2.540440114519881,No
17,John,Johnnie,2.540440114519881,No
18,Miss Irene Adler,Miss Adler,2.6945966692414833,No
19,Miss Irene Adler,Miss Irene,2.6945966692414833,No
20,Mr. Godfrey Norton,Godfrey Norton,2.7960432596461864,No
21,Mr. Godfrey Norton,Mr. Godfrey,2.6846120476708997,No
22,Godfrey Norton,Godfrey,2.57167391279445,No
23,Mrs. Turner,Mr. Turner,2.6388295982671233,No
24,Mr. Sherlock Holmes,Mr. Sherlock,2.703958182192794,No
25,Bart,Barton,2.64126333590815,No
26,Mr. Lestrade,Lestrade,2.6765119140053444,No
27,Mr. Lestrade,G. Lestrade,2.664176936381639,No
28,Lestrade,G. Lestrade,2.7366600265340755,No
29,Enoch J. Drebber,Mr. Enoch J. Drebber,2.7294589891532586,No
30,Enoch J. Drebber,Enoch Drebber,2.8544271909999157,No
31,Enoch J. Drebber,Mr. Enoch Drebber,2.521945536977419,No
32,Gregson,Mr. Gregson,2.64126333590815,No
33,Joseph Stangerson,Stangerson,2.6041666666666665,No
34,Joseph Stangerson,Mr. Joseph Stangerson,2.827760524333249,No
35,Stangerson,Mr. Stangerson,2.729486191773741,No
36,Stangerson,Stanger,2.7498299142610594,No
37,Rachel,Rachel--who,2.6071067811865474,No
38,Drebber,Mr. Drebber,2.64126333590815,No
39,Charles,Charles Hardy,2.6071067811865474,No
40,Charles,Charles Gorot,2.6071067811865474,No
41,Charles,Charles Chandos,2.540367956422263,No
42,William Whyte,William,2.6071067811865474,No
43,Dennis,Denn,2.64126333590815,No
44,Charpentier,Arthur Charpentier,2.629710086886586,No
45,Charpentier,Madame Charpentier,2.629710086886586,No
46,Charpentier,Mrs. Charpentier,2.7053854698166147,No
47,Mr. Joseph Stangerson,Mr. Stangerson,2.7245591081631884,No
48,Mr. Joseph Stangerson,Mr. Stanger,2.5904401145198808,No
49,Mr. Drebber,Mr. Enoch Drebber,2.7030694150420946,No
50,Wiggins,Higgins,2.555555555555556,No
51,John Underwood,Underwood,2.656259412347608,No
52,Mr. Enoch J. Drebber,Enoch Drebber,2.671912396695167,No
53,Mr. Enoch J. Drebber,Mr. Enoch Drebber,2.886083988113826,No
54,Mr. Stangerson,Mr. Stanger,2.8309041731531828,No
55,Arthur,Arthur Pinner,2.528830557701236,No
56,Mr. Jefferson Hope,Jefferson Hope,2.7960432596461864,No
57,Mr. Jefferson Hope,Jefferson,2.5095237523347413,No
58,Enoch Drebber,Mr. Enoch Drebber,2.7826920704511053,No
59,Pete,Peter,2.7826920704511053,No
60,Pete,Peters,2.64126333590815,No
61,Joseph Smith,Joseph,2.565108953372333,No
62,Johnston,Johnson,2.5143738926676025,No
63,Jefferson Hope,Jefferson,2.707541463629659,No
64,Young,Young West,2.5555555555555554,No
65,Young,Young Smith,2.512455532033676,No
66,Von Bork,Mr. Von Bork,2.6765119140053444,No
67,Mr. John Bull,John Bull,2.705385469816615,No
68,Uncle Sam,Uncle,2.6071067811865474,No
69,James,James Ryder,2.512455532033676,No
70,James,James Smith,2.512455532033676,No
