docTokenBegin,text,ner,nerConfidences
5,Watson,PERSON,{'PERSON': 0.98596333793485}
16,Holmes,PERSON,{'PERSON': 0.96554155234556}
41,King,ORGANIZATION,{'ORGANIZATION': 0.58836172360576}
43,Pyland,LOCATION,{'LOCATION': 0.57008368085919}
83,England,LOCATION,{'LOCATION': 0.99968009959152}
58,he,PERSON,
97,his,PERSON,
100,his,PERSON,
103,his,PERSON,
110,his,PERSON,
159,he,PERSON,
171,he,PERSON,
202,Wessex Cup,MISC,{'MISC': 0.99999750049716}
186,his,PERSON,
217,he,PERSON,
220,his,PERSON,
269,Watson,PERSON,{'PERSON': 0.95784536858949}
323,Paddington,LOCATION,{'LOCATION': 0.84765408750414}
380,Exeter,LOCATION,{'LOCATION': 0.81041522421815}
383,Sherlock Holmes,PERSON,{'PERSON': 0.99930763751283}
415,Paddington,LOCATION,{'LOCATION': 0.69896019023014}
387,his,PERSON,
394,his,PERSON,
411,he,PERSON,
425,he,PERSON,
439,his,PERSON,
452,he,PERSON,
461,his,PERSON,
533,John Straker,PERSON,{'PERSON': 0.99998050084232}
539,Silver Blaze,LOCATION,{'LOCATION': 0.61485329048531}
552,Chronicle,ORGANIZATION,{'ORGANIZATION': 0.73897228683471}
680,Tuesday,DATE,{'DATE': 0.99934056768399}
688,Ross,PERSON,{'PERSON': 0.99430040224108}
699,Gregory,PERSON,{'PERSON': 0.97221457259412}
713,Tuesday,DATE,{'DATE': 0.97119647462629}
724,Thursday,DATE,{'DATE': 0.97819523482312}
725,morning,TIME,{'TIME': 0.86363094840404}
745,Watson,PERSON,{'PERSON': 0.88200639822584}
787,England,LOCATION,{'LOCATION': 0.99983383999987}
829,John Straker,PERSON,{'PERSON': 0.9999614821929}
816,he,PERSON,
823,his,PERSON,
850,Fitzroy Simpson,PERSON,{'PERSON': 0.98285655986151}
965,Holmes,PERSON,{'PERSON': 0.9040089113189}
971,his,PERSON,
984,his,PERSON,
1008,he,PERSON,
1024,his,PERSON,
1050,Ross,PERSON,{'PERSON': 0.99857768811056}
1028,He,PERSON,
1032,his,PERSON,
1052,his,PERSON,
1070,Wessex Cup,MISC,{'MISC': 0.99998585326616}
1063,he,PERSON,
1080,him,PERSON,
1082,He,PERSON,
1118,him,PERSON,
1138,Silver Blaze,LOCATION,{'LOCATION': 0.84001663584964}
1150,Tuesday,DATE,{'DATE': 0.99960252051776}
1162,King,ORGANIZATION,{'ORGANIZATION': 0.87627150939695}
1164,Pyland,LOCATION,{'LOCATION': 0.71439584499281}
1188,John Straker,PERSON,{'PERSON': 0.99999308771273}
1199,Ross,PERSON,{'PERSON': 0.99951779065354}
1203,he,PERSON,
1213,He,PERSON,
1243,him,PERSON,
1289,John Straker,PERSON,{'PERSON': 0.99999514411055}
1311,He,PERSON,
1355,Tavistock,LOCATION,{'LOCATION': 0.7316567590266}
1371,Dartmoor,MISC,{'MISC': 0.70723837292646}
1400,Mapleton,LOCATION,{'LOCATION': 0.93397936205241}
1412,Silas Brown,PERSON,{'PERSON': 0.98965600031446}
1439,last Monday,DATE,{'DATE': 0.98906171849234}
1441,night,TIME,{'TIME': 0.98387155407205}
1495,Ned Hunter,PERSON,{'PERSON': 0.99987227817546}
1511,Edith Baxter,PERSON,{'PERSON': 0.99995173710331}
1520,supper,DATE,{'DATE': 0.7646448213246}
1519,his,PERSON,
1531,She,PERSON,
1568,her,PERSON,
1585,Edith Baxter,PERSON,{'PERSON': 0.99892698887881}
1606,her,PERSON,
1611,he,PERSON,
1623,she,PERSON,
1626,he,PERSON,
1647,He,PERSON,
1662,She,PERSON,
1674,his,PERSON,
1681,his,PERSON,
1684,His,PERSON,
1687,she,PERSON,
1710,he,PERSON,
1753,she,PERSON,
1768,he,PERSON,
1788,his,PERSON,
1795,him,PERSON,
1821,He,PERSON,
1832,his,PERSON,
1861,She,PERSON,
1868,his,PERSON,
1874,him,PERSON,
1880,she,PERSON,
1894,Hunter,PERSON,{'PERSON': 0.87226367651095}
1903,She,PERSON,
1908,him,PERSON,
1929,he,PERSON,
1953,he,PERSON,
1955,she,PERSON,
1966,his,PERSON,
2009,Wessex Cup--Silver Blaze,MISC,{'MISC': 0.81190474858318}
2015,Bayard,PERSON,{'PERSON': 0.81435393679666}
2039,Bayard,PERSON,{'PERSON': 0.70243256405159}
2060,him,PERSON,
2092,Pyland,LOCATION,{'LOCATION': 0.51420097164885}
2095,He,PERSON,
2118,she,PERSON,
2120,she,PERSON,
2141,Hunter,PERSON,{'PERSON': 0.97603960011432}
2147,he,PERSON,
2153,he,PERSON,
2159,he,PERSON,
2166,him,PERSON,
2185,he,PERSON,
2197,him,PERSON,
2203,Watson,PERSON,{'PERSON': 0.92878571722166}
2229,Dartmoor,MISC,{'MISC': 0.27447924094985}
2243,he,PERSON,
2266,Hunter,PERSON,{'PERSON': 0.74877088222359}
2269,his,PERSON,
2277,he,PERSON,
2286,him,PERSON,
2291,Straker,PERSON,{'PERSON': 0.99826250412667}
2300,he,PERSON,
2322,Mrs. Straker,PERSON,
2330,morning,TIME,{'TIME': 0.77942832961964}
2314,him,PERSON,
2334,he,PERSON,
2341,her,PERSON,
2344,he,PERSON,
2347,he,PERSON,
2354,his,PERSON,
2362,he,PERSON,
2377,She,PERSON,
2379,him,PERSON,
2386,she,PERSON,
2400,her,PERSON,
2402,he,PERSON,
2405,his,PERSON,
2414,Mrs. Straker,PERSON,
2421,morning,TIME,{'TIME': 0.76867259361474}
2426,her,PERSON,
2433,She,PERSON,
