docTokenBegin,text,ner,nerConfidences
92,Mr. Sherlock Holmes,PERSON,
115,he,PERSON,
133,Holmes,PERSON,{'PERSON': 0.9905126375848}
153,Holmes,PERSON,{'PERSON': 0.98959051157323}
168,He,PERSON,
196,Charles Augustus Milverton,PERSON,{'PERSON': 0.98346081911542}
200,Appledore Towers,ORGANIZATION,{'ORGANIZATION': 0.58298328200352}
203,Hampstead,LOCATION,{'LOCATION': 0.98540784783099}
210,he,PERSON,
221,London,LOCATION,{'LOCATION': 0.99878500664515}
224,Holmes,PERSON,{'PERSON': 0.98978784878579}
228,he,PERSON,
233,his,PERSON,
270,He,PERSON,
284,Watson,PERSON,{'PERSON': 0.90224444014032}
320,Milverton,PERSON,{'PERSON': 0.67537751638258}
364,him,PERSON,
368,he,PERSON,
380,he,PERSON,
389,Watson,PERSON,{'PERSON': 0.97223801843289}
391,He,PERSON,
420,Milverton,PERSON,{'PERSON': 0.53494178189147}
431,he,PERSON,
437,he,PERSON,
449,his,PERSON,
456,his,PERSON,
464,His,PERSON,
470,He,PERSON,
477,he,PERSON,
495,He,PERSON,
523,He,PERSON,
535,he,PERSON,
571,Milverton,LOCATION,{'LOCATION': 0.47952824333274}
585,his,PERSON,
592,his,PERSON,
598,he,PERSON,
614,He,PERSON,
648,London,LOCATION,{'LOCATION': 0.99893566369642}
642,he,PERSON,
666,his,PERSON,
676,his,PERSON,
690,his,PERSON,
754,him,PERSON,
761,her,PERSON,
768,His,PERSON,
777,he,PERSON,
790,him,PERSON,
793,he,PERSON,
813,him,PERSON,
820,he,PERSON,
831,her,PERSON,
842,Eva Brackwell,PERSON,{'PERSON': 0.96015484062052}
865,Dovercourt,LOCATION,{'LOCATION': 0.60590266924513}
853,She,PERSON,
876,Watson,PERSON,{'PERSON': 0.93242175912196}
902,Milverton,PERSON,{'PERSON': 0.60351584696863}
918,him,PERSON,
926,him,PERSON,
999,he,PERSON,
1005,Charles Augustus Milverton,PERSON,{'PERSON': 0.97926348242966}
1056,Mr. Pickwick,PERSON,
1061,his,PERSON,
1085,His,PERSON,
1093,his,PERSON,
1097,he,PERSON,
1107,his,PERSON,
1114,his,PERSON,
1118,Holmes,PERSON,{'PERSON': 0.99435835214916}
1126,him,PERSON,
1133,Milverton,PERSON,{'PERSON': 0.90241269212031}
1138,he,PERSON,
1140,his,PERSON,
1144,his,PERSON,
1171,he,PERSON,
1192,Watson,PERSON,{'PERSON': 0.99987995807862}
1204,Mr. Holmes,PERSON,
1229,Watson,PERSON,{'PERSON': 0.99960909908156}
1252,Lady Eva,PERSON,{'PERSON': 0.68591389261241}
1256,she,PERSON,
1319,His,PERSON,
1328,Holmes,PERSON,{'PERSON': 0.99102575142693}
1341,he,PERSON,
1384,her,PERSON,
1387,her,PERSON,
1397,his,PERSON,
1401,Milverton,PERSON,{'PERSON': 0.91697375561413}
1415,he,PERSON,
1422,Holmes,PERSON,{'PERSON': 0.99247833817337}
1430,he,PERSON,
1443,he,PERSON,
1455,Milverton,PERSON,{'PERSON': 0.96058575700715}
1475,Dovercourt,PERSON,{'PERSON': 0.5485085315305}
1550,He,PERSON,
1554,his,PERSON,
1558,Holmes,PERSON,{'PERSON': 0.99219892378922}
1572,he,PERSON,
1597,Milverton,PERSON,{'PERSON': 0.97915515221111}
1600,his,PERSON,
1617,he,PERSON,
1627,Holmes,PERSON,{'PERSON': 0.97952844191337}
1631,Lady Eva,PERSON,{'PERSON': 0.79678844340072}
1651,her,PERSON,
1663,her,PERSON,
1706,Milverton,PERSON,{'PERSON': 0.93217472900831}
1711,his,PERSON,
1734,he,PERSON,
1759,her,PERSON,
1769,her,PERSON,
1805,London,LOCATION,{'LOCATION': 0.99907928083055}
1815,Holmes,PERSON,{'PERSON': 0.98596267441337}
1829,Milverton,PERSON,{'PERSON': 0.94321566113319}
1862,He,PERSON,
1920,she,PERSON,
1928,she,PERSON,
1933,her,PERSON,
2042,Mr. Holmes,PERSON,
