docTokenBegin,text,ner,nerConfidences
0,Sherlock Holmes,PERSON,{'PERSON': 0.99845558332425}
17,he,PERSON,
34,Watson,PERSON,{'PERSON': 0.95301678895051}
38,he,PERSON,
141,he,PERSON,
148,Pancras,PERSON,{'PERSON': 0.64048077519785}
170,his,PERSON,
173,he,PERSON,
201,Merivale,PERSON,{'LOCATION': 0.51795019240238}
231,his,PERSON,
245,He,PERSON,
249,his,PERSON,
261,he,PERSON,
269,Watson,PERSON,{'PERSON': 0.97516605058753}
313,Robert Norberton,PERSON,{'PERSON': 0.9997584896306}
334,Shoscombe Old Place,LOCATION,{'LOCATION': 0.81228723416856}
346,summer,DATE,{'DATE': 0.66820866561838}
331,He,PERSON,
374,Sam Brewer,PERSON,{'PERSON': 0.99991781723015}
381,Curzon Street,LOCATION,{'LOCATION': 0.89208562549693}
388,Newmarket Heath,ORGANIZATION,{'ORGANIZATION': 0.41643183165868}
372,he,PERSON,
391,He,PERSON,
401,he,PERSON,
406,he,PERSON,
417,he,PERSON,
435,England,LOCATION,{'LOCATION': 0.99972542709994}
440,Grand National,MISC,{'MISC': 0.95557197339187}
427,He,PERSON,
447,He,PERSON,
460,He,PERSON,
503,he,PERSON,
507,his,PERSON,
516,Watson,PERSON,{'PERSON': 0.97676057685423}
554,Shoscombe Park,LOCATION,{'LOCATION': 0.99098982130732}
581,Holmes,PERSON,{'PERSON': 0.98352689502884}
585,John Mason,PERSON,{'PERSON': 0.99987785523218}
597,Watson,PERSON,{'PERSON': 0.75061973423729}
605,him,PERSON,
618,Shoscombe,PERSON,{'PERSON': 0.60319987904785}
634,Shoscombe spaniels,MISC,{'MISC': 0.26949409162902}
655,England,LOCATION,{'LOCATION': 0.99992889659589}
666,Shoscombe Old Place,LOCATION,{'LOCATION': 0.43290328318973}
673,Robert Norberton,PERSON,{'PERSON': 0.99988038851859}
684,Robert,PERSON,{'PERSON': 0.99946840277737}
697,his,PERSON,
707,Lady Beatrice Falder,PERSON,{'PERSON': 0.6823780889828}
700,He,PERSON,
703,his,PERSON,
716,she,PERSON,
719,him,PERSON,
736,James,PERSON,{'PERSON': 0.99841917173483}
731,her,PERSON,
738,Norberton,LOCATION,{'LOCATION': 0.42915348274617}
756,her,PERSON,
763,she,PERSON,
774,Robert,PERSON,{'PERSON': 0.99969809976277}
794,He,PERSON,
804,her,PERSON,
815,she,PERSON,
819,him,PERSON,
826,Shoscombe,LOCATION,{'LOCATION': 0.64162916671667}
893,Mr. John Mason,PERSON,
901,his,PERSON,
905,he,PERSON,
927,Holmes,PERSON,{'PERSON': 0.98260014626016}
912,He,PERSON,
930,him,PERSON,
938,Mr. Holmes,PERSON,
998,Mr. Holmes,PERSON,
1008,Robert,PERSON,{'PERSON': 0.99851433063417}
1015,Holmes,PERSON,{'PERSON': 0.99537454192828}
1017,his,PERSON,
1023,Baker Street,LOCATION,{'LOCATION': 0.9857209872078}
1027,Harley Street,LOCATION,{'LOCATION': 0.5783199227197}
1032,he,PERSON,
1072,he,PERSON,
1085,Shoscombe Prince,PERSON,{'PERSON': 0.93957702955857}
1089,Derby,LOCATION,{'LOCATION': 0.76728429706065}
1092,his,PERSON,
1110,England,LOCATION,{'LOCATION': 0.99988304960127}
1112,Mr. Holmes,PERSON,
1151,Robert,PERSON,{'PERSON': 0.99923436043713}
1157,Derby,LOCATION,{'LOCATION': 0.70202108347001}
1159,He,PERSON,
1169,his,PERSON,
1174,he,PERSON,
1204,he,PERSON,
1208,him,PERSON,
1232,he,PERSON,
1236,Robert,PERSON,{'PERSON': 0.99942050861668}
1245,He,PERSON,
1281,He,PERSON,
1292,His,PERSON,
1304,Jews,MISC,{'MISC': 0.99978457070173}
1299,He,PERSON,
1310,Prince,PERSON,{'PERSON': 0.55889993212658}
1312,him,PERSON,
1313,he,PERSON,
1348,him,PERSON,
1354,he,PERSON,
1359,He,PERSON,
1369,His,PERSON,
1381,his,PERSON,
1390,Lady Beatrice,PERSON,{'PERSON': 0.38026177643558}
1387,his,PERSON,
1424,she,PERSON,
1431,he,PERSON,
1440,she,PERSON,
1453,she,PERSON,
1458,He,PERSON,
1462,his,PERSON,
1465,he,PERSON,
1474,he,PERSON,
1485,his,PERSON,
1505,she,PERSON,
1520,she,PERSON,
1563,he,PERSON,
1566,her,PERSON,
1570,she,PERSON,
1574,he,PERSON,
1576,her,PERSON,
1588,Barnes,PERSON,{'PERSON': 0.56718892054911}
1601,Crendall,LOCATION,{'LOCATION': 0.9323690988617}
