docTokenBegin,text,ner,nerConfidences
27,Holmes,PERSON,{'PERSON': 0.88766844992726}
32,his,PERSON,
36,his,PERSON,
55,Watson,PERSON,{'PERSON': 0.93168689084452}
60,he,PERSON,
99,Charing Cross Station,ORGANIZATION,{'ORGANIZATION': 0.93886779027164}
137,London,LOCATION,{'LOCATION': 0.67675140319295}
127,he,PERSON,
140,Holmes,PERSON,{'PERSON': 0.99075598427138}
145,his,PERSON,
193,Kentish,LOCATION,{'LOCATION': 0.98897028657388}
202,he,PERSON,
210,Holmes,PERSON,{'PERSON': 0.99267646664267}
223,Abbey Grange,LOCATION,
226,Marsham,LOCATION,{'LOCATION': 0.58407311434962}
228,Kent,LOCATION,{'PERSON': 0.56337839394357}
236,Mr. Holmes,PERSON,
215,his,PERSON,
303,Eustace,PERSON,{'PERSON': 0.98244184222586}
311,Stanley Hopkins,PERSON,{'PERSON': 0.79017164888376}
316,Hopkins,PERSON,{'PERSON': 0.70591005110825}
337,Holmes,PERSON,{'PERSON': 0.97598344806845}
328,his,PERSON,
361,Watson,PERSON,{'PERSON': 0.97164530127415}
346,his,PERSON,
471,Watson,PERSON,{'PERSON': 0.93704833031966}
533,Eustace,PERSON,{'PERSON': 0.99086661088209}
546,Hopkins,PERSON,{'PERSON': 0.75833602709696}
554,he,PERSON,
587,him,PERSON,
605,she,PERSON,
610,her,PERSON,
623,Watson,PERSON,{'PERSON': 0.95002678098349}
646,Hopkins,PERSON,{'PERSON': 0.99439958311955}
651,his,PERSON,
667,twelve last night,TIME,{'TIME': 0.97341268828018}
707,Scotland Yard,LOCATION,{'LOCATION': 0.84942121380708}
710,Hopkins,PERSON,{'PERSON': 0.96412118946262}
717,he,PERSON,
741,Chislehurst Station,LOCATION,{'LOCATION': 0.93467156350419}
826,Palladio,PERSON,{'PERSON': 0.30947955162633}
877,Stanley Hopkins,PERSON,{'PERSON': 0.95920485120253}
895,Mr. Holmes,PERSON,
903,Watson,PERSON,{'PERSON': 0.99947238726191}
931,she,PERSON,
955,Lewisham,LOCATION,{'LOCATION': 0.72099305243692}
966,Randalls,LOCATION,{'LOCATION': 0.74131277522234}
996,Sydenham,LOCATION,{'LOCATION': 0.99591742767897}
1038,Eustace,PERSON,{'PERSON': 0.99262529676434}
1048,his,PERSON,
1054,his,PERSON,
1061,Eustace Brackenstall,PERSON,{'PERSON': 0.99613420029285}
1079,Kent,LOCATION,{'LOCATION': 0.82360092940819}
1081,Lady Brackenstall,PERSON,{'PERSON': 0.44706528799527}
1093,she,PERSON,
1101,She,PERSON,
1108,her,PERSON,
1117,her,PERSON,
1120,her,PERSON,
1137,Lady Brackenstall,PERSON,{'PERSON': 0.71750248615316}
1164,She,PERSON,
1195,her,PERSON,
1199,her,PERSON,
1204,Her,PERSON,
1227,her,PERSON,
1254,her,PERSON,
1270,her,PERSON,
1277,her,PERSON,
1280,her,PERSON,
1286,her,PERSON,
1290,She,PERSON,
1319,her,PERSON,
1330,Mr. Hopkins,PERSON,
1334,she,PERSON,
1408,him,PERSON,
1414,She,PERSON,
