docTokenBegin,text,ner,nerConfidences
1,Holmes,PERSON,{'PERSON': 0.80611908609032}
34,his,PERSON,
38,him,PERSON,
50,his,PERSON,
55,his,PERSON,
61,his,PERSON,
77,February,DATE,{'DATE': 0.97885046109549}
78,morning,TIME,{'TIME': 0.78963849997485}
105,Baker Street,LOCATION,{'LOCATION': 0.86030420692438}
195,He,PERSON,
222,He,PERSON,
255,his,PERSON,
265,his,PERSON,
271,he,PERSON,
296,his,PERSON,
300,he,PERSON,
302,he,PERSON,
304,his,PERSON,
311,his,PERSON,
316,his,PERSON,
333,him,PERSON,
340,He,PERSON,
363,Holmes,PERSON,{'PERSON': 0.97482295366897}
356,he,PERSON,
366,his,PERSON,
379,he,PERSON,
405,he,PERSON,
437,he,PERSON,
460,his,PERSON,
478,he,PERSON,
482,his,PERSON,
488,his,PERSON,
493,his,PERSON,
506,his,PERSON,
514,his,PERSON,
517,he,PERSON,
519,his,PERSON,
532,him,PERSON,
535,him,PERSON,
544,Sherlock Holmes,PERSON,{'PERSON': 0.999255094916}
547,him,PERSON,
558,him,PERSON,
561,his,PERSON,
566,him,PERSON,
574,he,PERSON,
599,he,PERSON,
653,his,PERSON,
657,he,PERSON,
659,his,PERSON,
662,his,PERSON,
666,his,PERSON,
672,his,PERSON,
687,he,PERSON,
702,Holmes,PERSON,{'PERSON': 0.92789726371702}
819,Holmes,PERSON,{'PERSON': 0.94999072288967}
862,Alexander Holder,PERSON,{'PERSON': 0.99347684187978}
870,Holder & Stevenson,ORGANIZATION,{'ORGANIZATION': 0.99922898789221}
875,Threadneedle Street,LOCATION,{'LOCATION': 0.90387719242517}
904,London,LOCATION,{'LOCATION': 0.97971162610936}
921,London,LOCATION,{'LOCATION': 0.99792823046681}
938,he,PERSON,
943,his,PERSON,
957,he,PERSON,
981,Baker Street,LOCATION,{'LOCATION': 0.77276551989529}
985,Underground,MISC,{'MISC': 0.67889032262723}
1235,England,LOCATION,{'LOCATION': 0.99993570471222}
1247,he,PERSON,
1255,he,PERSON,
1279,Mr. Holder,PERSON,
1284,he,PERSON,
1329,he,PERSON,
1421,Monday,DATE,{'DATE': 0.93370154866232}
1563,he,PERSON,
1574,he,PERSON,
1578,his,PERSON,
1613,He,PERSON,
1637,he,PERSON,
1652,he,PERSON,
1726,he,PERSON,
1807,Mr. Holder,PERSON,
1945,Monday,DATE,{'DATE': 0.99956144404388}
1946,morning,TIME,{'TIME': 0.97860855561672}
1978,1000,DATE,{'DATE': 0.62778619200507}
1972,him,PERSON,
2195,Streatham,LOCATION,{'LOCATION': 0.99982878879193}
2236,Mr. Holmes,PERSON,
2293,Lucy Parr,PERSON,{'PERSON': 0.99916935876112}
2312,She,PERSON,
2328,She,PERSON,
2356,her,PERSON,
2361,her,PERSON,
2406,Arthur,PERSON,{'PERSON': 0.99670219587574}
2416,Mr. Holmes,PERSON,
2408,He,PERSON,
2441,him,PERSON,
2456,he,PERSON,
2478,his,PERSON,
2485,him,PERSON,
2519,he,PERSON,
2528,he,PERSON,
2536,He,PERSON,
2553,him,PERSON,
2564,he,PERSON,
2567,he,PERSON,
2583,he,PERSON,
2600,He,PERSON,
2616,he,PERSON,
2630,him,PERSON,
2634,his,PERSON,
2638,he,PERSON,
2641,his,PERSON,
2673,George Burnwell,PERSON,{'PERSON': 0.99834899381232}
2646,He,PERSON,
2659,he,PERSON,
2669,his,PERSON,
2680,him,PERSON,
2699,George Burnwell,PERSON,{'PERSON': 0.98170625666607}
2706,him,PERSON,
2709,he,PERSON,
2713,him,PERSON,
2731,his,PERSON,
2738,Arthur,PERSON,{'PERSON': 0.93413261437193}
2734,He,PERSON,
2746,his,PERSON,
2777,him,PERSON,
2788,his,PERSON,
2795,his,PERSON,
2806,his,PERSON,
2809,he,PERSON,
2830,Mary,PERSON,{'PERSON': 0.91832186361391}
2848,she,PERSON,
2853,She,PERSON,
2868,her,PERSON,
2875,her,PERSON,
2881,her,PERSON,
2888,She,PERSON,
2921,She,PERSON,
2936,her,PERSON,
2943,she,PERSON,
2955,her,PERSON,
2958,him,PERSON,
2961,he,PERSON,
2963,her,PERSON,
2969,she,PERSON,
2972,him,PERSON,
2982,him,PERSON,
2991,she,PERSON,
2995,his,PERSON,
3000,his,PERSON,
3021,Mr. Holmes,PERSON,
3061,Arthur,PERSON,{'PERSON': 0.99277228165698}
3063,Mary,PERSON,{'PERSON': 0.84909595714546}
3087,Lucy Parr,PERSON,{'PERSON': 0.99970702383981}
3118,Mary,PERSON,{'PERSON': 0.97754868586997}
3120,Arthur,PERSON,{'PERSON': 0.98293251253277}
3152,Arthur,PERSON,{'PERSON': 0.98200503694649}
3182,he,PERSON,
3229,He,PERSON,
3245,he,PERSON,
3248,He,PERSON,
3274,he,PERSON,
3276,his,PERSON,
3328,he,PERSON,
3384,he,PERSON,
3453,he,PERSON,
3465,he,PERSON,
3508,Mary,PERSON,{'PERSON': 0.84071965647777}
3529,Mary,PERSON,{'PERSON': 0.99309520049935}
3540,she,PERSON,
3572,Lucy,PERSON,{'PERSON': 0.98966679732941}
3557,she,PERSON,
3594,She,PERSON,
3609,she,PERSON,
3644,morning,TIME,{'TIME': 0.50366534352105}
3641,her,PERSON,
3682,her,PERSON,
3706,Mr. Holmes,PERSON,
3801,morning,TIME,{'TIME': 0.66941587374444}
3936,his,PERSON,
3951,his,PERSON,
3954,He,PERSON,
3967,his,PERSON,
3973,he,PERSON,
3977,his,PERSON,
4052,he,PERSON,
4066,him,PERSON,
4087,he,PERSON,
4139,he,PERSON,
4233,he,PERSON,
4246,his,PERSON,
4287,Mary,PERSON,{'PERSON': 0.99444223335607}
4307,Arthur,PERSON,{'PERSON': 0.9545169649991}
4311,she,PERSON,
4358,Arthur,PERSON,{'PERSON': 0.98756030947665}
4365,his,PERSON,
4378,him,PERSON,
4429,he,PERSON,
4499,him,PERSON,
4523,he,PERSON,
4535,He,PERSON,
4541,he,PERSON,
4547,he,PERSON,
4630,he,PERSON,
4644,he,PERSON,
4655,him,PERSON,
4672,him,PERSON,
4685,his,PERSON,
4689,his,PERSON,
4699,he,PERSON,
4722,his,PERSON,
4734,he,PERSON,
4803,1000,DATE,{'DATE': 0.5846840527871}
4837,He,PERSON,
4845,his,PERSON,
4867,Sherlock Holmes,PERSON,{'PERSON': 0.99776702834879}
4877,his,PERSON,
4881,his,PERSON,
4896,he,PERSON,
4912,Arthur,PERSON,{'PERSON': 0.88893253755801}
4905,his,PERSON,
4916,George Burnwell,PERSON,{'PERSON': 0.99952286551202}
4943,Arthur,PERSON,{'PERSON': 0.95887555300515}
4946,Mary,PERSON,{'PERSON': 0.98716760878063}
4973,She,PERSON,
4982,she,PERSON,
4989,She,PERSON,
5014,her,PERSON,
5021,She,PERSON,
5053,him,PERSON,
5062,his,PERSON,
5103,he,PERSON,
5125,him,PERSON,
5140,he,PERSON,
5147,his,PERSON,
5154,he,PERSON,
5171,he,PERSON,
5177,His,PERSON,
5221,Arthur,PERSON,{'PERSON': 0.99575139540601}
5224,his,PERSON,
5243,his,PERSON,
5325,Holmes,PERSON,{'PERSON': 0.98156525895431}
5389,his,PERSON,
5464,he,PERSON,
5506,his,PERSON,
5513,he,PERSON,
5531,Holmes,PERSON,{'PERSON': 0.96863568805929}
5541,Mr. Holder,PERSON,
5549,Streatham,LOCATION,{'LOCATION': 0.9990483154762}
5634,Holmes,PERSON,{'PERSON': 0.95194236568436}
5623,his,PERSON,
5651,he,PERSON,
5659,He,PERSON,
5676,his,PERSON,
5679,his,PERSON,
