docTokenBegin,text,ner,nerConfidences
2,third week of November,DATE,{'DATE': 0.99931509108059}
10,1895,DATE,{'DATE': 0.89536481407834}
19,London,LOCATION,{'LOCATION': 0.96160776721368}
23,Monday,DATE,{'DATE': 0.99625126138729}
26,Thursday,DATE,{'DATE': 0.98961311087349}
38,Baker Street,LOCATION,{'LOCATION': 0.99537567111283}
52,Holmes,PERSON,{'PERSON': 0.95080904382392}
57,his,PERSON,
75,he,PERSON,
79,his,PERSON,
142,He,PERSON,
158,his,PERSON,
178,Watson,PERSON,{'PERSON': 0.990266496999}
181,he,PERSON,
193,Holmes,PERSON,{'PERSON': 0.95978723794483}
250,Holmes,PERSON,{'PERSON': 0.98194515895095}
260,London,LOCATION,{'LOCATION': 0.97589744499453}
270,he,PERSON,
282,him,PERSON,
290,Watson,PERSON,{'PERSON': 0.95625888695997}
321,London,LOCATION,{'LOCATION': 0.99688761711008}
335,he,PERSON,
343,his,PERSON,
362,Holmes,PERSON,{'PERSON': 0.98981190255027}
364,his,PERSON,
384,he,PERSON,
417,Brooks,PERSON,{'PERSON': 0.979201267371}
419,Woodhouse,PERSON,{'PERSON': 0.70038973977674}
480,Jove,PERSON,{'PERSON': 0.84406669956402}
502,Holmes,PERSON,{'PERSON': 0.93540312588869}
521,he,PERSON,
525,Mycroft,PERSON,{'PERSON': 0.996386476063}
559,Mycroft,PERSON,{'PERSON': 0.99695585283419}
561,his,PERSON,
564,he,PERSON,
575,Diogenes Club,PERSON,{'PERSON': 0.52834213922432}
578,Whitehall,ORGANIZATION,{'ORGANIZATION': 0.7082781781294}
569,His,PERSON,
582,his,PERSON,
591,he,PERSON,
602,him,PERSON,
607,he,PERSON,
612,Holmes,PERSON,{'PERSON': 0.9936231978884}
615,his,PERSON,
624,Cadogen West,LOCATION,{'LOCATION': 0.38981776013712}
631,Mycroft,PERSON,{'PERSON': 0.92199208697732}
634,Cadogen West,PERSON,{'PERSON': 0.48233266611494}
654,Mycroft,PERSON,{'PERSON': 0.93777637493792}
680,Mycroft,PERSON,{'PERSON': 0.98209084330604}
715,British,MISC,{'MISC': 0.9999914393126}
708,he,PERSON,
719,Holmes,PERSON,{'PERSON': 0.94008003618474}
758,British,MISC,{'MISC': 0.99999740732276}
755,he,PERSON,
777,British,MISC,{'MISC': 0.99999700474779}
774,he,PERSON,
784,Holmes,PERSON,{'PERSON': 0.95316301171585}
795,Mycroft,PERSON,{'PERSON': 0.9468524719502}
842,his,PERSON,
847,He,PERSON,
868,He,PERSON,
903,he,PERSON,
919,him,PERSON,
922,he,PERSON,
944,his,PERSON,
964,Navy,ORGANIZATION,{'ORGANIZATION': 0.99768183270545}
966,India,LOCATION,{'LOCATION': 0.99883122343271}
968,Canada,LOCATION,{'LOCATION': 0.99370645357251}
988,Mycroft,PERSON,{'PERSON': 0.7271096463676}
974,he,PERSON,
977,his,PERSON,
1009,him,PERSON,
1020,he,PERSON,
1032,his,PERSON,
1050,his,PERSON,
1058,He,PERSON,
1063,He,PERSON,
1076,he,PERSON,
1082,him,PERSON,
1085,him,PERSON,
1097,Jupiter,LOCATION,{'LOCATION': 0.48764610418106}
1113,Cadogan West,PERSON,{'PERSON': 0.83754083441432}
1121,Mycroft,PERSON,{'PERSON': 0.97400167279648}
1119,he,PERSON,
1150,he,PERSON,
1156,Cadogen West,PERSON,{'PERSON': 0.70322909446609}
1170,Tuesday,DATE,{'DATE': 0.99957068517544}
1171,morning,TIME,{'TIME': 0.8648673870124}
1174,Holmes,PERSON,{'PERSON': 0.97920322731856}
1180,his,PERSON,
1184,his,PERSON,
1193,Watson,PERSON,{'PERSON': 0.8999597579061}
1204,his,PERSON,
1217,he,PERSON,
1247,He,PERSON,
1329,He,PERSON,
1333,his,PERSON,
1339,Watson,PERSON,{'PERSON': 0.94609142880842}
1354,Arthur Cadogan West,PERSON,{'PERSON': 0.8831427521206}
