docTokenBegin,text,ner,nerConfidences
16,Sherlock Holmes,PERSON,{'PERSON': 0.99984117837453}
44,his,PERSON,
72,he,PERSON,
81,his,PERSON,
94,he,PERSON,
107,him,PERSON,
144,August,DATE,{'DATE': 0.99790048862186}
146,Baker Street,LOCATION,
204,Holmes,PERSON,{'PERSON': 0.98479459019428}
217,he,PERSON,
233,India,LOCATION,{'LOCATION': 0.99943497743614}
260,Parliament,ORGANIZATION,{'ORGANIZATION': 0.88347448160334}
284,Southsea,LOCATION,{'LOCATION': 0.9725627712693}
315,him,PERSON,
317,He,PERSON,
332,his,PERSON,
359,his,PERSON,
364,his,PERSON,
369,he,PERSON,
371,his,PERSON,
384,his,PERSON,
392,Holmes,PERSON,{'PERSON': 0.99732368574782}
435,Watson,PERSON,{'PERSON': 0.97013223048769}
439,he,PERSON,
468,he,PERSON,
487,him,PERSON,
497,Holmes,PERSON,{'PERSON': 0.99267302531652}
515,He,PERSON,
545,Poe,PERSON,{'PERSON': 0.84198442117729}
528,he,PERSON,
558,his,PERSON,
613,Watson,PERSON,{'PERSON': 0.97178651790581}
697,his,PERSON,
706,he,PERSON,
714,he,PERSON,
770,he,PERSON,
773,his,PERSON,
876,Gordon,PERSON,{'PERSON': 0.9937511179825}
913,Henry Ward Beecher,PERSON,{'PERSON': 0.96810295067596}
960,Gordon,PERSON,{'PERSON': 0.99496727490792}
994,Beecher,PERSON,{'PERSON': 0.96057782574311}
1009,his,PERSON,
1038,Beecher,PERSON,{'PERSON': 0.96896833235887}
1070,Civil War,MISC,{'MISC': 0.99713026689585}
1058,he,PERSON,
1086,he,PERSON,
1111,Beecher,PERSON,{'PERSON': 0.8984511404378}
1142,Civil War,MISC,{'MISC': 0.99935015227904}
1309,Watson,PERSON,{'PERSON': 0.95829418011403}
1383,Miss Cushing,PERSON,
1390,Croydon,LOCATION,{'LOCATION': 0.96057291710471}
1445,he,PERSON,
1468,Miss Susan Cushing,PERSON,
1474,Cross Street,LOCATION,{'LOCATION': 0.79760860830679}
1477,Croydon,LOCATION,{'LOCATION': 0.99362465541583}
1547,Miss Cushing,PERSON,
1571,Belfast,LOCATION,{'LOCATION': 0.99906061737597}
1594,Miss Cushing,PERSON,
1626,her,PERSON,
1644,Penge,LOCATION,{'LOCATION': 0.8627312735689}
1641,she,PERSON,
1646,she,PERSON,
1650,her,PERSON,
1659,she,PERSON,
1688,Miss Cushing,PERSON,
1696,her,PERSON,
1704,her,PERSON,
1707,her,PERSON,
1736,Ireland,LOCATION,{'LOCATION': 0.99756210252826}
1744,Miss Cushing,PERSON,
1750,Belfast,LOCATION,{'LOCATION': 0.99917344382846}
1763,Mr. Lestrade,PERSON,
1789,Daily Chronicle,ORGANIZATION,{'ORGANIZATION': 0.68942115157971}
1794,Holmes,PERSON,{'PERSON': 0.9979149953947}
1805,Lestrade,PERSON,{'PERSON': 0.75501817993997}
1813,this morning,TIME,{'TIME': 0.94339516808791}
1812,him,PERSON,
1818,he,PERSON,
1866,Belfast,LOCATION,{'LOCATION': 0.98019385254515}
1975,Watson,PERSON,{'PERSON': 0.99752294220424}
1988,Croydon,LOCATION,{'LOCATION': 0.98586435659841}
2075,Croydon,LOCATION,{'LOCATION': 0.9976708817399}
2080,Holmes,PERSON,{'PERSON': 0.98175990871875}
2089,Lestrade,PERSON,{'PERSON': 0.43206303656483}
2121,Cross Street,LOCATION,{'LOCATION': 0.97685141824476}
2125,Miss Cushing,PERSON,
2164,Lestrade,PERSON,{'PERSON': 0.89288023225609}
2181,Miss Cushing,PERSON,
2196,She,PERSON,
2216,her,PERSON,
2227,her,PERSON,
2240,her,PERSON,
2257,Lestrade,PERSON,{'PERSON': 0.9168713030489}
2255,she,PERSON,
2277,Miss Cushing,PERSON,
2289,Mr. Holmes,PERSON,
2313,he,PERSON,
2350,Holmes,PERSON,{'PERSON': 0.99480791307635}
2352,his,PERSON,
2424,Mr. Lestrade,PERSON,
2456,Lestrade,PERSON,
2503,Lestrade,PERSON,{'PERSON': 0.54330095788269}
2507,him,PERSON,
2517,he,PERSON,
2540,Lestrade,PERSON,{'PERSON': 0.69780121235699}
2570,Miss Cushing,PERSON,
2608,Lestrade,PERSON,{'PERSON': 0.59016246812328}
2654,Lestrade,PERSON,{'PERSON': 0.6034154188871}
2668,Holmes,PERSON,{'PERSON': 0.9736960154546}
2679,Brown,PERSON,{'PERSON': 0.88080408587647}
2715,Miss S. Cushing,PERSON,
2719,Cross Street,LOCATION,{'LOCATION': 0.37734069694077}
2722,Croydon,LOCATION,{'LOCATION': 0.98575690811389}
2746,Croydon,LOCATION,{'LOCATION': 0.59477238759571}
2793,Croydon,LOCATION,{'LOCATION': 0.9988485525024}
2881,Lestrade,PERSON,{'PERSON': 0.63054367839666}
2858,He,PERSON,
2865,he,PERSON,
2873,his,PERSON,
2875,he,PERSON,
2891,him,PERSON,
2911,he,PERSON,
2938,he,PERSON,
3134,his,PERSON,
3153,Lestrade,PERSON,{'PERSON': 0.79134759013362}
3158,his,PERSON,
3183,he,PERSON,
3210,Penge,LOCATION,{'LOCATION': 0.92493584988605}
3219,She,PERSON,
3225,her,PERSON,
3244,her,PERSON,
3248,his,PERSON,
3255,she,PERSON,
3262,she,PERSON,
3287,Holmes,PERSON,{'PERSON': 0.99112527679537}
3378,Friday,DATE,{'DATE': 0.9666512994883}
3385,Thursday,DATE,{'DATE': 0.99891827784949}
3386,morning,TIME,{'TIME': 0.94854917564432}
3395,Wednesday,DATE,{'DATE': 0.99636813967605}
3397,Tuesday,DATE,{'DATE': 0.99635564256665}
3422,Miss Cushing,PERSON,
3419,his,PERSON,
3451,Miss Cushing,PERSON,
3443,he,PERSON,
3466,her,PERSON,
3476,her,PERSON,
3484,she,PERSON,
3491,she,PERSON,
3499,she,PERSON,
3504,she,PERSON,
