docTokenBegin,text,ner,nerConfidences
14,Sherlock Holmes,PERSON,{'PERSON': 0.99910435564751}
24,Daily Telegraph,ORGANIZATION,{'ORGANIZATION': 0.97235327348865}
55,Watson,PERSON,{'PERSON': 0.98234844374178}
191,he,PERSON,
217,his,PERSON,
220,he,PERSON,
339,he,PERSON,
345,his,PERSON,
383,Logic,MISC,{'MISC': 0.44246115682817}
429,spring,DATE,{'DATE': 0.98809845381165}
448,Baker Street,LOCATION,{'LOCATION': 0.99957323495706}
507,Sherlock Holmes,PERSON,{'PERSON': 0.99872695885921}
514,morning,TIME,{'TIME': 0.67360681909252}
535,his,PERSON,
538,he,PERSON,
561,he,PERSON,
569,he,PERSON,
574,his,PERSON,
642,Bohemia,LOCATION,{'LOCATION': 0.98792793204328}
648,Miss Mary Sutherland,PERSON,
752,his,PERSON,
758,his,PERSON,
859,this morning,TIME,{'TIME': 0.53833873152288}
874,He,PERSON,
887,Montague Place,LOCATION,{'LOCATION': 0.48330197529437}
899,Mr. Holmes,PERSON,
950,Violet Hunter,PERSON,{'PERSON': 0.85557535926407}
989,her,PERSON,
1078,he,PERSON,
1091,She,PERSON,
1123,her,PERSON,
1146,she,PERSON,
1154,her,PERSON,
1208,Miss Hunter,PERSON,
1230,Holmes,PERSON,{'PERSON': 0.99588006087069}
1240,his,PERSON,
1244,He,PERSON,
1246,her,PERSON,
1249,his,PERSON,
1259,his,PERSON,
1263,his,PERSON,
1272,her,PERSON,
1295,Spence Munro,PERSON,{'PERSON': 0.98439628577132}
1308,Halifax,LOCATION,{'LOCATION': 0.98418858552211}
1311,Nova Scotia,LOCATION,{'LOCATION': 0.99484513815024}
1320,America,LOCATION,{'LOCATION': 0.98144392378108}
1287,she,PERSON,
1316,his,PERSON,
1322,him,PERSON,
1386,West End,MISC,{'MISC': 0.90669541994472}
1389,Westaway,ORGANIZATION,{'ORGANIZATION': 0.43097477313866}
1416,Westaway,PERSON,{'PERSON': 0.9501736739168}
1436,She,PERSON,
1439,her,PERSON,
1466,she,PERSON,
1468,her,PERSON,
1473,she,PERSON,
1503,Miss Stoper,PERSON,
1531,his,PERSON,
1535,her,PERSON,
1543,his,PERSON,
1571,Miss Stoper,MISC,{'MISC': 0.72107650644165}
1559,he,PERSON,
1565,his,PERSON,
1582,he,PERSON,
1598,He,PERSON,
1604,his,PERSON,
1613,He,PERSON,
1630,him,PERSON,
1644,he,PERSON,
1691,Spence Munro,PERSON,{'PERSON': 0.99757580891688}
1709,he,PERSON,
1713,his,PERSON,
1769,French,MISC,{'MISC': 0.99999529705164}
1773,German,MISC,{'MISC': 0.99999261078411}
1788,he,PERSON,
1900,Mr. Holmes,PERSON,
1959,he,PERSON,
1968,his,PERSON,
1981,his,PERSON,
2074,May,DATE,{'DATE': 0.74625331656898}
2088,Hampshire,ORGANIZATION,{'ORGANIZATION': 0.46753458568479}
2105,Winchester,LOCATION,{'LOCATION': 0.55471815029173}
2168,him,PERSON,
2189,He,PERSON,
2193,his,PERSON,
2197,his,PERSON,
2200,his,PERSON,
2229,he,PERSON,
2276,he,PERSON,
