docTokenBegin,text,ner,nerConfidences
0,Mr. Sherlock Holmes,PERSON,
17,Presbury,PERSON,{'PERSON': 0.89861438617264}
45,London,LOCATION,{'LOCATION': 0.99583243744246}
104,Holmes,PERSON,{'PERSON': 0.98416206230543}
106,his,PERSON,
133,Sunday,DATE,{'DATE': 0.99466284604752}
134,evening,TIME,{'TIME': 0.54897539173004}
137,September of the year 1903,DATE,{'DATE': 0.99532986212601}
147,Holmes,PERSON,{'PERSON': 0.95374285403271}
179,He,PERSON,
243,he,PERSON,
267,his,PERSON,
272,him,PERSON,
274,He,PERSON,
283,His,PERSON,
305,his,PERSON,
335,him,PERSON,
351,his,PERSON,
380,Baker Street,LOCATION,{'LOCATION': 0.99580042433338}
384,him,PERSON,
388,his,PERSON,
394,his,PERSON,
397,his,PERSON,
400,his,PERSON,
410,he,PERSON,
424,his,PERSON,
426,he,PERSON,
438,he,PERSON,
443,he,PERSON,
454,he,PERSON,
459,his,PERSON,
464,his,PERSON,
468,he,PERSON,
492,Watson,PERSON,{'PERSON': 0.97060774059159}
496,he,PERSON,
557,Holmes,PERSON,{'PERSON': 0.80690964629264}
580,Watson,PERSON,{'PERSON': 0.96543422873166}
622,Copper Beeches,MISC,{'MISC': 0.49705628306853}
733,Holmes,PERSON,{'PERSON': 0.92008392281554}
747,He,PERSON,
750,his,PERSON,
754,his,PERSON,
814,Presbury,PERSON,{'PERSON': 0.88325648554693}
818,Roy,PERSON,{'PERSON': 0.9703166223505}
823,him,PERSON,
854,Holmes,PERSON,{'PERSON': 0.94274304722101}
864,Watson,PERSON,{'PERSON': 0.8919972942913}
868,he,PERSON,
906,Presbury,LOCATION,{'LOCATION': 0.79571854009004}
926,his,PERSON,
937,his,PERSON,
966,he,PERSON,
974,he,PERSON,
977,his,PERSON,
988,Watson,PERSON,{'PERSON': 0.96605856904588}
995,Mr. Bennett,PERSON,
999,his,PERSON,
1004,his,PERSON,
1018,he,PERSON,
1048,He,PERSON,
1067,his,PERSON,
1093,Holmes,PERSON,{'PERSON': 0.93618712282444}
1089,He,PERSON,
1111,Mr. Holmes,PERSON,
1115,he,PERSON,
1128,Presbury,PERSON,{'PERSON': 0.79927669286131}
1154,Mr. Bennett,PERSON,
1158,Watson,PERSON,{'PERSON': 0.9999062798147}
1193,Mr. Holmes,PERSON,
1219,Watson,PERSON,{'PERSON': 0.92588133660835}
1229,Mr. Trevor Bennett,PERSON,
1243,his,PERSON,
1250,his,PERSON,
1265,his,PERSON,
1294,Mr. Holmes,PERSON,
1305,Watson,PERSON,{'PERSON': 0.99996009358225}
1349,Holmes,PERSON,{'PERSON': 0.98190681753469}
1369,Watson,PERSON,{'PERSON': 0.77669281671214}
1375,European,MISC,{'MISC': 0.99998250048177}
1378,His,PERSON,
1401,Edith,PERSON,{'PERSON': 0.99778424262825}
1393,He,PERSON,
1403,He,PERSON,
1441,his,PERSON,
1464,Morphy,PERSON,{'PERSON': 0.99921013548733}
1446,He,PERSON,
1456,he,PERSON,
1466,his,PERSON,
1513,Alice Morphy,PERSON,{'PERSON': 0.99975733174944}
1551,his,PERSON,
1580,Presbury,PERSON,{'PERSON': 0.98517233648421}
1614,her,PERSON,
1649,his,PERSON,
1680,He,PERSON,
1683,he,PERSON,
1689,He,PERSON,
1697,he,PERSON,
1701,He,PERSON,
1714,He,PERSON,
1720,he,PERSON,
1725,he,PERSON,
1743,Mr. Bennett,PERSON,
1755,Prague,LOCATION,{'LOCATION': 0.99751494311483}
1767,Presbury,PERSON,{'PERSON': 0.9260509125165}
1760,he,PERSON,
1771,he,PERSON,
1779,him,PERSON,
1786,his,PERSON,
1791,he,PERSON,
1813,He,PERSON,
1821,him,PERSON,
1827,he,PERSON,
1839,he,PERSON,
1847,his,PERSON,
1851,His,PERSON,
1857,His,PERSON,
1877,His,PERSON,
1884,him,PERSON,
1901,her,PERSON,
1930,Mr. Bennett,PERSON,
1951,Watson,PERSON,{'PERSON': 0.99983349008463}
1965,his,PERSON,
1968,his,PERSON,
1978,his,PERSON,
1982,his,PERSON,
1991,him,PERSON,
1998,his,PERSON,
2003,his,PERSON,
2021,London,LOCATION,{'LOCATION': 0.99842733699151}
2010,He,PERSON,
2019,him,PERSON,
2040,his,PERSON,
2062,E. C.,MISC,{'MISC': 0.94273377241084}
2074,he,PERSON,
2108,Holmes,PERSON,{'PERSON': 0.97236537633365}
2127,his,PERSON,
2138,Continental,ORGANIZATION,{'ORGANIZATION': 0.98225863466368}
2154,Germany,LOCATION,{'LOCATION': 0.95871068684523}
2157,he,PERSON,
2160,his,PERSON,
2182,he,PERSON,
2242,he,PERSON,
2254,his,PERSON,
2258,Mr. Bennett,PERSON,
2266,his,PERSON,
