docTokenBegin,text,ner,nerConfidences
0,Holmes,PERSON,{'PERSON': 0.98285753275556}
10,his,PERSON,
22,he,PERSON,
30,His,PERSON,
35,his,PERSON,
39,he,PERSON,
67,Watson,PERSON,{'PERSON': 0.97258140739161}
83,South African,MISC,{'MISC': 0.99989777993756}
71,he,PERSON,
100,Holmes,PERSON,{'PERSON': 0.97875094076742}
130,He,PERSON,
134,his,PERSON,
144,his,PERSON,
152,his,PERSON,
161,Watson,PERSON,{'PERSON': 0.92555569867672}
171,he,PERSON,
233,Watson,PERSON,{'PERSON': 0.94492189953201}
236,he,PERSON,
238,his,PERSON,
256,his,PERSON,
413,last night,TIME,{'TIME': 0.95150243616796}
439,Thurston,PERSON,{'PERSON': 0.99204704284071}
450,Thurston,PERSON,{'PERSON': 0.98454151177476}
456,South African,MISC,{'MISC': 0.9999996417156}
468,he,PERSON,
474,him,PERSON,
527,he,PERSON,
562,Watson,PERSON,{'PERSON': 0.99357597188363}
565,He,PERSON,
579,his,PERSON,
598,Holmes,PERSON,{'PERSON': 0.86961398898695}
632,Mr. Hilton Cubitt,PERSON,
637,Ridling Thorpe Manor,LOCATION,{'LOCATION': 0.93901697436179}
641,Norfolk,LOCATION,{'LOCATION': 0.98967718980341}
659,he,PERSON,
676,Watson,PERSON,{'PERSON': 0.83071344638814}
688,he,PERSON,
732,Baker Street,LOCATION,{'LOCATION': 0.99571837939247}
735,He,PERSON,
742,his,PERSON,
754,him,PERSON,
756,he,PERSON,
767,he,PERSON,
774,his,PERSON,
799,Mr. Holmes,PERSON,
810,he,PERSON,
870,Holmes,PERSON,{'PERSON': 0.97834820873315}
922,Mr. Holmes,PERSON,
933,her,PERSON,
937,She,PERSON,
947,her,PERSON,
964,Holmes,PERSON,{'PERSON': 0.98587827531402}
1018,Holmes,PERSON,{'PERSON': 0.94055485424456}
1033,he,PERSON,
1037,his,PERSON,
1056,he,PERSON,
1069,Mr. Hilton Cubitt,PERSON,
1097,Watson,PERSON,{'PERSON': 0.99913767897032}
1120,his,PERSON,
1175,Ridling Thorpe,PERSON,{'PERSON': 0.80975518421473}
1195,Norfolk,LOCATION,{'LOCATION': 0.99227538004968}
1203,London,LOCATION,{'LOCATION': 0.99887546984192}
1217,Russell Square,LOCATION,{'LOCATION': 0.99960826902019}
1221,Parker,PERSON,{'PERSON': 0.84055188908263}
1237,American,MISC,{'MISC': 0.99999718736772}
1248,Patrick,PERSON,{'PERSON': 0.84517766780292}
1288,Norfolk,LOCATION,{'LOCATION': 0.9720447003377}
1300,Mr. Holmes,PERSON,
1322,her,PERSON,
1326,her,PERSON,
1333,her,PERSON,
1336,her,PERSON,
1353,Elsie,PERSON,{'PERSON': 0.92252399944719}
1345,She,PERSON,
1360,she,PERSON,
1393,she,PERSON,
1426,Hilton,ORGANIZATION,{'ORGANIZATION': 0.61824063795663}
1437,she,PERSON,
1489,Norfolk,LOCATION,{'LOCATION': 0.9942779539838}
1513,she,PERSON,
1523,her,PERSON,
1530,her,PERSON,
1532,her,PERSON,
1575,June,DATE,{'DATE': 0.99504786478959}
1595,America,LOCATION,{'LOCATION': 0.96116572689317}
1600,American,MISC,{'MISC': 0.99995913246119}
1603,She,PERSON,
1619,She,PERSON,
1640,she,PERSON,
1659,her,PERSON,
1666,she,PERSON,
1672,She,PERSON,
1680,She,PERSON,
1686,her,PERSON,
1692,she,PERSON,
1708,Mr. Holmes,PERSON,
1702,she,PERSON,
1719,her,PERSON,
1728,hers,PERSON,
1735,Norfolk,LOCATION,{'LOCATION': 0.84898867076126}
1745,England,LOCATION,{'LOCATION': 0.9990453653837}
1748,his,PERSON,
1757,She,PERSON,
1763,she,PERSON,
1768,she,PERSON,
1772,She,PERSON,
1809,Tuesday,DATE,{'DATE': 0.99424565623671}
1861,he,PERSON,
1875,night,TIME,{'TIME': 0.59274095351007}
1897,she,PERSON,
1912,her,PERSON,
1945,Elsie,PERSON,{'PERSON': 0.98539406911536}
1949,she,PERSON,
1958,she,PERSON,
1977,her,PERSON,
1993,Mr. Holmes,PERSON,
2051,her,PERSON,
2065,English,MISC,{'MISC': 0.99999962755511}
2054,He,PERSON,
2076,his,PERSON,
2088,His,PERSON,
2091,his,PERSON,
2094,his,PERSON,
2097,her,PERSON,
2100,his,PERSON,
2103,Holmes,PERSON,{'PERSON': 0.99391153432644}
2107,his,PERSON,
2116,he,PERSON,
2131,Mr. Cubitt,PERSON,
2136,he,PERSON,
2160,her,PERSON,
2163,her,PERSON,
2169,Hilton Cubitt,PERSON,{'PERSON': 0.99116133008928}
2172,his,PERSON,
2183,Mr. Holmes,PERSON,
2187,Elsie,PERSON,{'PERSON': 0.97914921819105}
2192,she,PERSON,
2205,her,PERSON,
2394,Norfolk,LOCATION,{'LOCATION': 0.83768419572643}
2481,Mr. Hilton Cubitt,PERSON,
2505,Norfolk,LOCATION,{'LOCATION': 0.85230065569678}
2512,Sherlock Holmes,PERSON,{'PERSON': 0.9934511948321}
2527,him,PERSON,
2529,his,PERSON,
2534,his,PERSON,
2551,He,PERSON,
2575,he,PERSON,
2587,Watson,PERSON,{'PERSON': 0.96624391413415}
2601,Hilton Cubitt,PERSON,{'PERSON': 0.34928622521976}
2603,this morning,TIME,{'TIME': 0.93736010249313}
2608,Hilton Cubitt,PERSON,{'PERSON': 0.98723853238942}
2620,Liverpool Street,LOCATION,{'LOCATION': 0.72769256905257}
2616,He,PERSON,
2627,He,PERSON,
2638,his,PERSON,
2660,Norfolk,LOCATION,{'LOCATION': 0.9341997745191}
2674,him,PERSON,
2676,He,PERSON,
2702,Mr. Holmes,PERSON,
2707,he,PERSON,
2710,he,PERSON,
2782,She,PERSON,
2799,she,PERSON,
2808,Mr. Holmes,PERSON,
2811,she,PERSON,
2847,her,PERSON,
2860,her,PERSON,
2865,She,PERSON,
2926,Mr. Holmes,PERSON,
2970,him,PERSON,
2972,his,PERSON,
3052,He,PERSON,
3087,Holmes,PERSON,{'PERSON': 0.98964266940932}
3140,Holmes,PERSON,{'PERSON': 0.94742268457776}
3142,his,PERSON,
3158,he,PERSON,
3267,her,PERSON,
3272,She,PERSON,
3282,her,PERSON,
3300,She,PERSON,
3329,Hilton,ORGANIZATION,{'ORGANIZATION': 0.59984214866986}
3391,she,PERSON,
3408,she,PERSON,
3413,her,PERSON,
3424,her,PERSON,
3475,her,PERSON,
3490,her,PERSON,
3494,she,PERSON,
3525,He,PERSON,
3531,his,PERSON,
3589,he,PERSON,
3608,he,PERSON,
3614,his,PERSON,
3657,he,PERSON,
3687,Holmes,PERSON,{'PERSON': 0.93874701437327}
3694,his,PERSON,
3697,he,PERSON,
3757,Mr. Hilton Cubitt,PERSON,
3777,Mr. Holmes,PERSON,
3804,She,PERSON,
3807,she,PERSON,
3827,she,PERSON,
3832,he,PERSON,
3844,she,PERSON,
3852,he,PERSON,
3870,Mr. Holmes,PERSON,
3877,her,PERSON,
3897,her,PERSON,
3945,him,PERSON,
3950,he,PERSON,
3977,Holmes,PERSON,{'PERSON': 0.97984721198895}
3986,London,LOCATION,{'LOCATION': 0.99835277063595}
4010,She,PERSON,
4089,Sherlock Holmes,PERSON,{'PERSON': 0.99956609062686}
4092,his,PERSON,
4112,him,PERSON,
4119,he,PERSON,
4127,Hilton Cubitt,PERSON,{'PERSON': 0.96738298054285}
4157,him,PERSON,
4174,him,PERSON,
4176,he,PERSON,
4192,his,PERSON,
4195,he,PERSON,
4203,he,PERSON,
4212,his,PERSON,
4216,he,PERSON,
4236,he,PERSON,
4239,his,PERSON,
4255,his,PERSON,
4260,he,PERSON,
4294,Watson,PERSON,{'PERSON': 0.95717712578831}
4298,he,PERSON,
4312,Norfolk,LOCATION,{'LOCATION': 0.95031892812158}
4331,his,PERSON,
4349,Holmes,PERSON,{'PERSON': 0.99388064734846}
4353,his,PERSON,
4356,his,PERSON,
4361,his,PERSON,
4372,him,PERSON,
4377,his,PERSON,
4399,Holmes,PERSON,{'PERSON': 0.98334403381074}
4402,his,PERSON,
4422,Hilton Cubitt,PERSON,{'PERSON': 0.72680876418955}
4429,him,PERSON,
4472,Holmes,PERSON,{'PERSON': 0.77151823984312}
4449,He,PERSON,
4487,his,PERSON,
4497,His,PERSON,
4516,he,PERSON,
4524,North Walsham,LOCATION,{'LOCATION': 0.62947479415258}
4562,Holmes,PERSON,{'PERSON': 0.98150064042674}
4583,Mrs. Hudson,PERSON,
4617,Hilton Cubitt,PERSON,{'PERSON': 0.95648729642617}
4637,Norfolk,LOCATION,{'LOCATION': 0.92132069031299}
4725,Ridling Thorpe Manor,LOCATION,{'LOCATION': 0.47212667250911}
4737,England,LOCATION,{'LOCATION': 0.99968010444139}
4744,North Walsham,LOCATION,{'LOCATION': 0.89456493911403}
4773,London,LOCATION,{'LOCATION': 0.99666160184331}
4777,he,PERSON,
4785,Holmes,PERSON,{'PERSON': 0.95428708592588}
4802,Martin,PERSON,{'PERSON': 0.98282081876408}
4804,Norwich,LOCATION,{'LOCATION': 0.98353817924211}
4817,She,PERSON,
4836,her,PERSON,
4847,Holmes,PERSON,{'PERSON': 0.95632839374279}
4860,Ridling Thorpe Manor,PERSON,{'PERSON': 0.82885397241116}
4866,he,PERSON,
4901,Mr. Hilton Cubitt,PERSON,
4905,his,PERSON,
4908,She,PERSON,
4910,him,PERSON,
4920,He,PERSON,
4924,her,PERSON,
4943,Norfolk,LOCATION,{'LOCATION': 0.9749728758573}
4956,Holmes,PERSON,{'PERSON': 0.92041455051242}
4970,he,PERSON,
4973,his,PERSON,
4980,him,PERSON,
4985,He,PERSON,
5001,he,PERSON,
5018,his,PERSON,
5022,him,PERSON,
5028,He,PERSON,
5032,his,PERSON,
5063,England,LOCATION,{'LOCATION': 0.99989591735041}
5104,East Anglia,LOCATION,{'LOCATION': 0.98438533526433}
5114,German Ocean,LOCATION,{'LOCATION': 0.59036820919932}
5123,Norfolk,LOCATION,{'LOCATION': 0.9807140148673}
5131,his,PERSON,
5151,Ridling Thorpe Manor,PERSON,{'PERSON': 0.91866894383676}
5157,he,PERSON,
5230,Martin,PERSON,{'PERSON': 0.99761951950466}
5234,Norfolk Constabulary,ORGANIZATION,{'ORGANIZATION': 0.62489832985425}
5225,He,PERSON,
5238,he,PERSON,
5243,he,PERSON,
5254,Mr. Holmes,PERSON,
5264,this morning,TIME,{'TIME': 0.9630481403871}
5274,London,LOCATION,{'LOCATION': 0.99908312938787}
5339,Holmes,PERSON,{'PERSON': 0.97219668793336}
5417,Mr. Holmes,PERSON,
