docTokenBegin,text,ner,nerConfidences
0,Mrs. Hudson,PERSON,
6,Sherlock Holmes,PERSON,{'PERSON': 0.97454068167474}
19,her,PERSON,
37,her,PERSON,
46,his,PERSON,
53,her,PERSON,
101,London,LOCATION,{'LOCATION': 0.99850934314106}
56,His,PERSON,
60,his,PERSON,
68,his,PERSON,
75,his,PERSON,
93,him,PERSON,
95,him,PERSON,
108,his,PERSON,
128,Holmes,PERSON,{'PERSON': 0.96692649179661}
131,his,PERSON,
140,him,PERSON,
150,him,PERSON,
157,him,PERSON,
161,his,PERSON,
166,She,PERSON,
170,him,PERSON,
175,he,PERSON,
183,his,PERSON,
188,He,PERSON,
196,he,PERSON,
207,her,PERSON,
210,him,PERSON,
216,her,PERSON,
219,she,PERSON,
253,Watson,PERSON,{'PERSON': 0.99924602753144}
248,He,PERSON,
257,she,PERSON,
263,he,PERSON,
272,he,PERSON,
278,He,PERSON,
292,his,PERSON,
297,his,PERSON,
300,his,PERSON,
323,Mr. Holmes,PERSON,
343,Watson,PERSON,{'PERSON': 0.85852276314003}
349,he,PERSON,
360,him,PERSON,
369,him,PERSON,
382,his,PERSON,
420,He,PERSON,
439,he,PERSON,
446,him,PERSON,
454,Wednesday,DATE,{'DATE': 0.99950865979927}
455,afternoon,TIME,{'TIME': 0.96118974741103}
448,He,PERSON,
451,his,PERSON,
472,his,PERSON,
491,He,PERSON,
503,he,PERSON,
512,him,PERSON,
515,he,PERSON,
536,him,PERSON,
539,He,PERSON,
553,November,DATE,{'DATE': 0.99662914604371}
585,His,PERSON,
607,his,PERSON,
619,his,PERSON,
626,He,PERSON,
646,his,PERSON,
652,Watson,PERSON,{'PERSON': 0.90876102252043}
665,he,PERSON,
675,his,PERSON,
691,him,PERSON,
703,he,PERSON,
724,Watson,PERSON,{'PERSON': 0.97407106274985}
756,Mrs. Hudson,PERSON,
761,He,PERSON,
776,his,PERSON,
808,Holmes,PERSON,{'PERSON': 0.97078459215644}
811,He,PERSON,
816,his,PERSON,
826,he,PERSON,
844,him,PERSON,
861,Watson,PERSON,{'PERSON': 0.9622792629607}
864,he,PERSON,
889,Sumatra,LOCATION,{'LOCATION': 0.74556004806635}
895,Dutch,MISC,{'MISC': 0.9999938769419}
931,He,PERSON,
946,he,PERSON,
956,Watson,PERSON,{'PERSON': 0.9759005884038}
978,Holmes,PERSON,{'PERSON': 0.95868813521606}
1029,he,PERSON,
1071,Holmes,PERSON,{'PERSON': 0.86268032322517}
1078,his,PERSON,
1098,him,PERSON,
1108,his,PERSON,
1115,Holmes,PERSON,{'PERSON': 0.76589674676908}
1161,He,PERSON,
1197,he,PERSON,
1220,Watson,PERSON,{'PERSON': 0.73139750522638}
1273,Holmes,PERSON,{'PERSON': 0.95105788308056}
1306,Jasper Meek,PERSON,{'PERSON': 0.99706148794928}
1309,Penrose Fisher,PERSON,{'PERSON': 0.92674223761608}
1319,London,LOCATION,{'LOCATION': 0.99909877437407}
1372,Watson,PERSON,{'PERSON': 0.96647000068939}
1442,East,LOCATION,{'LOCATION': 0.84127208508621}
1444,Watson,PERSON,{'PERSON': 0.84643403004766}
1447,He,PERSON,
1454,his,PERSON,
1505,Dr. Ainstree,PERSON,
1519,London,LOCATION,{'LOCATION': 0.99873935939519}
1526,Holmes,PERSON,{'PERSON': 0.89229508960535}
1535,him,PERSON,
1583,he,PERSON,
1588,his,PERSON,
1595,his,PERSON,
1614,Watson,PERSON,{'PERSON': 0.96967363630408}
1696,Watson,PERSON,{'PERSON': 0.92438324922781}
1718,Holmes,PERSON,{'PERSON': 0.94865601948706}
1726,Watson,PERSON,{'PERSON': 0.98120504928707}
1758,Watson,PERSON,{'PERSON': 0.90579562331536}
1781,Watson,PERSON,{'PERSON': 0.85373922441527}
1836,Watson,PERSON,{'PERSON': 0.96073509633564}
1868,Watson,PERSON,{'PERSON': 0.82652543143942}
1903,spring,DATE,{'DATE': 0.74258032293443}
1902,his,PERSON,
1923,His,PERSON,
1932,he,PERSON,
2050,he,PERSON,
2114,Watson,PERSON,{'PERSON': 0.95445890011259}
2123,His,PERSON,
2131,he,PERSON,
2156,Watson,PERSON,{'PERSON': 0.97356486994759}
2228,his,PERSON,
2240,his,PERSON,
2269,He,PERSON,
2288,he,PERSON,
2303,Watson,PERSON,{'PERSON': 0.9773933304622}
2307,he,PERSON,
2361,Watson,PERSON,{'PERSON': 0.98088878671589}
2409,He,PERSON,
2432,Watson,PERSON,{'PERSON': 0.93160753146429}
2460,Watson,PERSON,{'PERSON': 0.96769112634155}
2511,Watson,PERSON,{'PERSON': 0.97390123945924}
2546,Mr. Culverton Smith,PERSON,
2552,Lower Burke Street,ORGANIZATION,{'ORGANIZATION': 0.31308161158089}
2574,Holmes,PERSON,{'PERSON': 0.99757524658275}
2585,him,PERSON,
2589,he,PERSON,
2600,he,PERSON,
2623,Watson,PERSON,{'PERSON': 0.94632997656706}
