docTokenBegin,text,ner,nerConfidences
4,spring of the year 1894,DATE,{'DATE': 0.96756289004153}
11,London,LOCATION,{'LOCATION': 0.99251889835211}
27,Ronald Adair,PERSON,{'PERSON': 0.99311672396812}
261,his,PERSON,
285,Sherlock Holmes,PERSON,{'PERSON': 0.99884149130941}
297,his,PERSON,
329,his,PERSON,
354,Ronald Adair,PERSON,{'PERSON': 0.99943171604698}
402,Sherlock Holmes,PERSON,{'PERSON': 0.99341227181122}
455,Europe,LOCATION,{'LOCATION': 0.99683299887607}
423,him,PERSON,
517,Ronald Adair,PERSON,{'PERSON': 0.9998998156806}
525,Earl of Maynooth,PERSON,{'PERSON': 0.51511366221846}
537,Australian,MISC,{'MISC': 0.97424835915369}
540,Adair,PERSON,{'PERSON': 0.99073057647834}
546,Australia,LOCATION,{'LOCATION': 0.99798296616917}
559,Ronald,PERSON,{'PERSON': 0.99959180116158}
564,Hilda,PERSON,{'PERSON': 0.99960902271663}
571,Park Lane,LOCATION,{'LOCATION': 0.39885515826935}
555,she,PERSON,
557,her,PERSON,
562,her,PERSON,
603,Miss Edith Woodley,PERSON,
608,Carstairs,PERSON,{'PERSON': 0.9389181856797}
598,He,PERSON,
656,his,PERSON,
661,his,PERSON,
695,night,TIME,{'TIME': 0.56202839927841}
697,"March 30, 1894",DATE,{'DATE': 0.99446891736691}
702,Ronald Adair,PERSON,{'PERSON': 0.99994935955459}
720,him,PERSON,
728,Baldwin,PERSON,{'PERSON': 0.63845954028703}
731,Cavendish,PERSON,{'PERSON': 0.77969868483226}
722,He,PERSON,
749,his,PERSON,
751,he,PERSON,
770,afternoon,TIME,{'TIME': 0.53311303075886}
763,He,PERSON,
783,Murray,PERSON,{'PERSON': 0.69176994720414}
786,John Hardy,PERSON,{'PERSON': 0.99995984048289}
791,Moran,PERSON,{'PERSON': 0.938075232186}
780,him,PERSON,
812,Adair,PERSON,{'PERSON': 0.97811359406202}
823,His,PERSON,
840,him,PERSON,
842,He,PERSON,
855,he,PERSON,
877,Moran,PERSON,{'PERSON': 0.963121665137}
897,Godfrey Milner,PERSON,{'PERSON': 0.99454645399211}
901,Balmoral,LOCATION,{'LOCATION': 0.9386513535912}
878,he,PERSON,
906,his,PERSON,
924,he,PERSON,
933,His,PERSON,
950,she,PERSON,
952,him,PERSON,
965,his,PERSON,
970,She,PERSON,
981,she,PERSON,
1005,Lady Maynooth,PERSON,{'PERSON': 0.85975497461122}
1008,her,PERSON,
1018,she,PERSON,
1023,her,PERSON,
1067,His,PERSON,
1152,his,PERSON,
1154,he,PERSON,
1160,his,PERSON,
1296,he,PERSON,
1299,his,PERSON,
1344,Park Lane,PERSON,{'PERSON': 0.69149114998187}
1439,Adair,PERSON,{'PERSON': 0.99897167997303}
1526,Park,LOCATION,{'LOCATION': 0.59269005220307}
1536,Oxford Street,LOCATION,{'LOCATION': 0.97006411447976}
1540,Park Lane,LOCATION,{'LOCATION': 0.8478711263288}
1598,his,PERSON,
1610,he,PERSON,
1617,him,PERSON,
1623,his,PERSON,
1665,he,PERSON,
1759,he,PERSON,
1762,his,PERSON,
1768,his,PERSON,
1787,Park Lane,LOCATION,{'LOCATION': 0.81781372752816}
1876,Kensington,LOCATION,{'LOCATION': 0.75334780153993}
1916,his,PERSON,
1931,his,PERSON,
1944,his,PERSON,
1960,he,PERSON,
2022,him,PERSON,
2047,him,PERSON,
2111,Church Street,LOCATION,{'LOCATION': 0.54387523545858}
2134,British Birds,MISC,{'MISC': 0.41788773340197}
2142,Holy War,MISC,{'MISC': 0.96242185824052}
2193,Sherlock Holmes,PERSON,{'PERSON': 0.99971272308984}
2213,him,PERSON,
2273,Holmes,PERSON,{'PERSON': 0.99497690781457}
2280,his,PERSON,
2283,his,PERSON,
2289,Watson,PERSON,{'PERSON': 0.97092630330852}
2321,him,PERSON,
2327,Holmes,PERSON,{'PERSON': 0.86984101189854}
2370,he,PERSON,
2408,Holmes,PERSON,{'PERSON': 0.94900610171691}
2441,him,PERSON,
2497,He,PERSON,
2507,his,PERSON,
2512,He,PERSON,
2546,Holmes,PERSON,{'PERSON': 0.94230935687198}
2565,his,PERSON,
2572,his,PERSON,
2590,Watson,PERSON,{'PERSON': 0.95919133771982}
2594,he,PERSON,
2611,his,PERSON,
2779,Watson,PERSON,{'PERSON': 0.96903002022076}
2820,Moriarty,PERSON,{'PERSON': 0.99917362550931}
2837,his,PERSON,
2846,him,PERSON,
2852,his,PERSON,
2883,Moriarty,PERSON,{'PERSON': 0.95711487086722}
2899,He,PERSON,
2905,he,PERSON,
2911,his,PERSON,
2917,He,PERSON,
2920,his,PERSON,
2944,fall,DATE,{'DATE': 0.70310650008349}
2958,Japanese,MISC,{'MISC': 0.99999942789548}
2977,his,PERSON,
2981,he,PERSON,
2998,his,PERSON,
3004,his,PERSON,
3006,he,PERSON,
3010,his,PERSON,
3015,he,PERSON,
3027,fall,DATE,{'DATE': 0.82038346402418}
3026,him,PERSON,
3034,he,PERSON,
3058,Holmes,PERSON,{'PERSON': 0.97879374336802}
3064,his,PERSON,
3128,Moriarty,PERSON,{'PERSON': 0.9911570510755}
3253,Moriarty,PERSON,{'PERSON': 0.99963568324472}
3417,Watson,PERSON,{'PERSON': 0.95570663078695}
3443,Moriarty,PERSON,{'PERSON': 0.98484077017206}
3535,Watson,PERSON,{'PERSON': 0.97257815667802}
3696,Moriarty,PERSON,{'PERSON': 0.98977831941461}
3739,he,PERSON,
3745,his,PERSON,
3754,He,PERSON,
3762,his,PERSON,
3772,he,PERSON,
3778,his,PERSON,
3794,Watson,PERSON,{'PERSON': 0.9619715493817}
3920,a week later,DATE,{'DATE': 0.66773709355612}
3927,Florence,LOCATION,{'LOCATION': 0.99770168149558}
3953,Mycroft,PERSON,{'PERSON': 0.99693195671077}
3963,Watson,PERSON,{'PERSON': 0.93509000498145}
4057,this evening,TIME,{'TIME': 0.72862526190634}
4103,Mycroft,PERSON,{'PERSON': 0.89785969108289}
4110,him,PERSON,
4126,London,LOCATION,{'LOCATION': 0.99806342708875}
4142,Moriarty,PERSON,{'PERSON': 0.82479925865595}
4167,Tibet,LOCATION,{'LOCATION': 0.99885419689328}
4176,Lhassa,PERSON,{'PERSON': 0.53817107166078}
4184,Llama,PERSON,{'PERSON': 0.69488087741004}
4196,Norwegian,MISC,{'MISC': 0.99999756360155}
4198,Sigerson,PERSON,{'PERSON': 0.96666191217045}
