docTokenBegin,text,ner,nerConfidences
12,Mr. Sherlock Holmes,PERSON,
42,Mr. Hatherley,PERSON,
51,Warburton,PERSON,{'PERSON': 0.99789278810796}
37,his,PERSON,
116,he,PERSON,
226,summer of '89,DATE,{'DATE': 0.99992312501092}
259,Holmes,PERSON,{'PERSON': 0.88688716746642}
262,Baker Street,LOCATION,{'LOCATION': 0.71417559916003}
279,Bohemian,MISC,{'MISC': 0.98652629315553}
261,his,PERSON,
270,him,PERSON,
275,him,PERSON,
278,his,PERSON,
308,Paddington Station,LOCATION,{'LOCATION': 0.57782364820995}
354,he,PERSON,
388,Paddington,LOCATION,{'LOCATION': 0.70747899952538}
440,him,PERSON,
446,him,PERSON,
450,he,PERSON,
454,his,PERSON,
457,his,PERSON,
461,he,PERSON,
479,his,PERSON,
489,he,PERSON,
505,he,PERSON,
514,him,PERSON,
519,he,PERSON,
526,he,PERSON,
555,he,PERSON,
569,him,PERSON,
586,He,PERSON,
602,he,PERSON,
613,his,PERSON,
615,he,PERSON,
629,He,PERSON,
654,he,PERSON,
678,his,PERSON,
713,night,TIME,{'TIME': 0.5482797101036}
700,he,PERSON,
720,this morning,TIME,{'TIME': 0.96849700229052}
727,Paddington,LOCATION,{'LOCATION': 0.81251020231319}
757,she,PERSON,
778,Mr. Victor Hatherley,PERSON,
787,Victoria Street,LOCATION,{'LOCATION': 0.90712663779442}
865,he,PERSON,
870,He,PERSON,
885,his,PERSON,
889,his,PERSON,
932,He,PERSON,
957,he,PERSON,
982,he,PERSON,
1010,his,PERSON,
1021,he,PERSON,
1051,He,PERSON,
1058,his,PERSON,
1251,he,PERSON,
1310,He,PERSON,
1317,he,PERSON,
1319,his,PERSON,
1531,Mr. Sherlock Holmes,PERSON,
1567,he,PERSON,
1593,him,PERSON,
1608,him,PERSON,
1644,him,PERSON,
1717,Baker Street,LOCATION,{'LOCATION': 0.97509134224819}
1720,Sherlock Holmes,PERSON,{'PERSON': 0.99951407629242}
1745,The Times,ORGANIZATION,{'ORGANIZATION': 0.62266583564909}
1730,his,PERSON,
1735,his,PERSON,
1749,his,PERSON,
1766,his,PERSON,
1785,He,PERSON,
1789,his,PERSON,
1812,he,PERSON,
1825,his,PERSON,
1837,his,PERSON,
1855,Mr. Hatherley,PERSON,
1860,he,PERSON,
1956,Holmes,PERSON,{'PERSON': 0.98647776961856}
1959,his,PERSON,
1972,his,PERSON,
1983,him,PERSON,
2025,London,LOCATION,{'LOCATION': 0.99913193294571}
2008,he,PERSON,
2053,Venner & Matheson,ORGANIZATION,{'ORGANIZATION': 0.9733859679111}
2064,Greenwich,LOCATION,{'LOCATION': 0.93200770137927}
2105,Victoria Street,LOCATION,{'LOCATION': 0.99825151921931}
2114,his,PERSON,
2178,afternoon,TIME,{'TIME': 0.62742881731253}
2257,Colonel Lysander Stark,PERSON,
2244,He,PERSON,
2267,his,PERSON,
2302,His,PERSON,
2316,his,PERSON,
2323,his,PERSON,
2333,his,PERSON,
2344,his,PERSON,
2349,his,PERSON,
2354,his,PERSON,
2358,He,PERSON,
2366,his,PERSON,
2382,Mr. Hatherley,PERSON,
2393,German,MISC,{'MISC': 0.99999940825507}
2387,he,PERSON,
2404,Mr. Hatherley,PERSON,
2417,his,PERSON,
2449,May,DATE,{'DATE': 0.91756204304789}
2505,London,LOCATION,{'LOCATION': 0.99899339554918}
2623,his,PERSON,
2653,He,PERSON,
2690,he,PERSON,
2747,He,PERSON,
2759,he,PERSON,
2780,he,PERSON,
2808,He,PERSON,
2811,his,PERSON,
2931,he,PERSON,
3049,Berkshire,ORGANIZATION,{'ORGANIZATION': 0.41247116544869}
3060,Oxfordshire,LOCATION,{'LOCATION': 0.9981911782657}
3074,Paddington,LOCATION,{'LOCATION': 0.62400942034483}
3136,Eyford Station,LOCATION,{'LOCATION': 0.97137384940842}
3149,midnight,TIME,{'TIME': 0.89762619141014}
3170,night,TIME,{'TIME': 0.59559429414706}
3439,England,LOCATION,{'LOCATION': 0.9998562003675}
3848,he,PERSON,
3893,Mr. Hatherley,PERSON,
3907,He,PERSON,
3910,he,PERSON,
3922,Eyford,LOCATION,{'LOCATION': 0.91358658680587}
3947,He,PERSON,
3972,he,PERSON,
4106,midnight,TIME,{'TIME': 0.79247666877251}
4088,his,PERSON,
4109,his,PERSON,
4134,supper,DATE,{'DATE': 0.78682168355098}
4138,Paddington,LOCATION,{'LOCATION': 0.73610064278785}
4183,Eyford,LOCATION,{'LOCATION': 0.84716606220811}
4255,he,PERSON,
4274,He,PERSON,
4309,Holmes,PERSON,{'PERSON': 0.81368475840343}
4402,Colonel Lysander Stark,PERSON,
4444,He,PERSON,
4467,his,PERSON,
4471,he,PERSON,
4602,Colonel Lysander Stark,PERSON,
4614,him,PERSON,
4713,his,PERSON,
4754,her,PERSON,
4758,she,PERSON,
4761,her,PERSON,
4765,her,PERSON,
4777,she,PERSON,
4791,her,PERSON,
4803,She,PERSON,
4830,she,PERSON,
4841,her,PERSON,
4845,Stark,PERSON,{'PERSON': 0.75966991387792}
4849,her,PERSON,
4854,her,PERSON,
4861,her,PERSON,
4868,she,PERSON,
4872,he,PERSON,
4881,his,PERSON,
4904,he,PERSON,
4933,German,MISC,{'MISC': 0.99999736998205}
4939,Stark,PERSON,{'PERSON': 0.52143288853424}
4966,he,PERSON,
4991,German,MISC,{'MISC': 0.99999483158746}
5085,German,MISC,{'MISC': 0.99999941514295}
5120,Eyford,LOCATION,{'LOCATION': 0.94920524700172}
5260,her,PERSON,
5270,her,PERSON,
5283,she,PERSON,
5322,English,MISC,{'MISC': 0.9999877116111}
