docTokenBegin,text,ner,nerConfidences
16,1894,DATE,{'DATE': 0.89319795720088}
89,Crosby,LOCATION,{'LOCATION': 0.64850516021582}
110,British,MISC,{'MISC': 0.99928737179477}
134,Huret,LOCATION,{'LOCATION': 0.51467066609577}
137,Boulevard,LOCATION,{'LOCATION': 0.49112193758892}
145,Holmes,PERSON,{'PERSON': 0.85434062885146}
153,French,MISC,{'MISC': 0.99997085844314}
208,Willoughby Smith,PERSON,{'PERSON': 0.99799377913057}
240,November,DATE,{'DATE': 0.99404847382954}
242,Holmes,PERSON,{'PERSON': 0.99491549267126}
251,evening,TIME,{'TIME': 0.6447349972082}
253,he,PERSON,
284,Baker Street,LOCATION,{'LOCATION': 0.97184866668778}
340,London,LOCATION,{'LOCATION': 0.99536835540869}
388,Oxford Street,LOCATION,{'LOCATION': 0.84757720129704}
395,Watson,PERSON,{'PERSON': 0.93300956442019}
413,Holmes,PERSON,{'PERSON': 0.98534055615128}
417,his,PERSON,
456,Abbey,ORGANIZATION,{'ORGANIZATION': 0.77891404465505}
462,second half of the fifteenth century,DATE,{'DATE': 0.99168138781687}
526,he,PERSON,
544,He,PERSON,
553,Watson,PERSON,{'PERSON': 0.95295806057618}
592,He,PERSON,
598,he,PERSON,
646,him,PERSON,
651,Stanley Hopkins,PERSON,{'PERSON': 0.95159064288662}
661,Holmes,PERSON,{'PERSON': 0.98545487229407}
673,he,PERSON,
677,he,PERSON,
692,Holmes,PERSON,{'PERSON': 0.99330036169699}
726,his,PERSON,
737,Holmes,PERSON,{'PERSON': 0.99530351412895}
732,him,PERSON,
754,Hopkins,PERSON,{'PERSON': 0.71129896163535}
765,he,PERSON,
816,Mr. Holmes,PERSON,
836,Yoxley,PERSON,{'PERSON': 0.63315848827353}
852,fifteenth century to-day,DATE,{'DATE': 0.78541164209333}
896,Kent,LOCATION,{'LOCATION': 0.94195240554379}
901,Chatham,LOCATION,{'LOCATION': 0.99645780027716}
932,Charing Cross,ORGANIZATION,{'ORGANIZATION': 0.73878707104801}
1017,Mr. Holmes,PERSON,
1065,him,PERSON,
1069,Holmes,PERSON,{'PERSON': 0.99264852610811}
1071,his,PERSON,
1077,his,PERSON,
1089,he,PERSON,
1102,Stanley Hopkins,PERSON,{'PERSON': 0.92434675251756}
1158,Coram,PERSON,{'PERSON': 0.55136879551866}
1160,He,PERSON,
1166,his,PERSON,
1198,He,PERSON,
1209,him,PERSON,
1212,he,PERSON,
1235,Mrs. Marker,PERSON,
1243,Susan Tarlton,PERSON,{'PERSON': 0.99991328893827}
1225,His,PERSON,
1251,him,PERSON,
1253,his,PERSON,
1275,he,PERSON,
1302,Mr. Willoughby Smith,PERSON,
1313,University,ORGANIZATION,{'ORGANIZATION': 0.53777179084095}
1292,he,PERSON,
1321,his,PERSON,
1325,His,PERSON,
1340,he,PERSON,
1361,Willoughby Smith,PERSON,{'PERSON': 0.9963080226122}
1372,Uppingham,LOCATION,{'LOCATION': 0.9248172967521}
1379,Cambridge,LOCATION,{'LOCATION': 0.98770492132994}
1366,him,PERSON,
1384,his,PERSON,
1391,he,PERSON,
1406,him,PERSON,
1419,his,PERSON,
1447,Holmes,PERSON,{'PERSON': 0.98675426583073}
1465,his,PERSON,
1476,England,LOCATION,{'LOCATION': 0.96133080697421}
1480,he,PERSON,
1522,his,PERSON,
1530,Young Smith,PERSON,{'PERSON': 0.68832636331763}
1543,his,PERSON,
1559,Mortimer,PERSON,{'PERSON': 0.88149602195934}
1572,Army,ORGANIZATION,{'ORGANIZATION': 0.93493142789675}
1577,Crimean,MISC,{'MISC': 0.99998668608394}
1583,He,PERSON,
1640,London,LOCATION,{'LOCATION': 0.99763399457029}
1642,Chatham,LOCATION,{'LOCATION': 0.99958716016778}
1671,Susan Tarlton,PERSON,{'PERSON': 0.99988807420017}
1699,She,PERSON,
1716,Coram,PERSON,{'PERSON': 0.90539847622648}
1732,midday,TIME,{'TIME': 0.58630523234877}
1728,he,PERSON,
1748,Willoughby Smith,PERSON,{'PERSON': 0.99879658485029}
1753,his,PERSON,
1757,he,PERSON,
1769,him,PERSON,
1784,her,PERSON,
1786,She,PERSON,
1790,him,PERSON,
1793,she,PERSON,
1796,she,PERSON,
1802,his,PERSON,
1808,She,PERSON,
1892,her,PERSON,
1895,she,PERSON,
1906,she,PERSON,
1912,Mr. Willoughby Smith,PERSON,
1923,she,PERSON,
1931,she,PERSON,
1935,him,PERSON,
1936,she,PERSON,
1946,his,PERSON,
1982,him,PERSON,
2035,Smith,PERSON,{'PERSON': 0.99557871119753}
2049,his,PERSON,
2051,he,PERSON,
2053,his,PERSON,
2064,he,PERSON,
2070,she,PERSON,
2086,He,PERSON,
2095,he,PERSON,
2097,his,PERSON,
2106,he,PERSON,
2125,she,PERSON,
2140,Susan,PERSON,{'PERSON': 0.99636948396448}
2145,she,PERSON,
2153,He,PERSON,
2163,he,PERSON,
2169,him,PERSON,
2176,Mrs. Marker,PERSON,
2208,Mortimer,PERSON,{'PERSON': 0.83015796545548}
2188,his,PERSON,
2201,him,PERSON,
2223,he,PERSON,
2231,he,PERSON,
2236,He,PERSON,
2255,she,PERSON,
2271,Willoughby Smith,PERSON,{'PERSON': 0.99873413522309}
2268,He,PERSON,
2296,Mortimer,PERSON,{'PERSON': 0.57247536720893}
2290,His,PERSON,
2352,Mr. Sherlock Holmes,PERSON,
2365,Mr. Sherlock Holmes,PERSON,
2407,Mr. Holmes,PERSON,
2466,Holmes,PERSON,{'PERSON': 0.90988040074177}
2450,He,PERSON,
2462,he,PERSON,
2477,Holmes,PERSON,{'PERSON': 0.85168243501426}
2483,his,PERSON,
2548,he,PERSON,
2550,she,PERSON,
2607,Susan,PERSON,{'PERSON': 0.99952345077692}
2609,she,PERSON,
