docTokenBegin,text,ner,nerConfidences
5,Watson,PERSON,{'PERSON': 0.99988630077037}
20,Baker Street,LOCATION,{'LOCATION': 0.99561087981919}
35,He,PERSON,
38,him,PERSON,
91,Billy,PERSON,{'PERSON': 0.9202477531322}
80,his,PERSON,
133,Billy,PERSON,{'PERSON': 0.99391527914843}
150,him,PERSON,
153,Billy,PERSON,{'PERSON': 0.94515113421355}
169,he,PERSON,
177,he,PERSON,
189,summer,DATE,{'DATE': 0.86662513983205}
195,Watson,PERSON,{'PERSON': 0.99991840815788}
203,his,PERSON,
231,he,PERSON,
244,his,PERSON,
247,He,PERSON,
254,he,PERSON,
267,Mr. Holmes,PERSON,
271,Mrs. Hudson,PERSON,
289,he,PERSON,
293,his,PERSON,
296,he,PERSON,
307,Billy,PERSON,{'PERSON': 0.98606669558658}
314,He,PERSON,
320,he,PERSON,
334,he,PERSON,
345,he,PERSON,
353,his,PERSON,
359,Billy,PERSON,{'PERSON': 0.99379966309697}
387,he,PERSON,
398,Billy,PERSON,{'PERSON': 0.99858595089928}
401,Billy,PERSON,{'PERSON': 0.98740356365099}
403,his,PERSON,
485,Mr. Holmes,PERSON,
493,He,PERSON,
502,he,PERSON,
506,he,PERSON,
531,He,PERSON,
579,his,PERSON,
584,Mr. Holmes,PERSON,
597,Mr. Holmes,PERSON,
592,he,PERSON,
600,he,PERSON,
604,him,PERSON,
606,He,PERSON,
609,he,PERSON,
615,Mr. Holmes,PERSON,
622,Mr. Holmes,PERSON,
646,Cantlemere,PERSON,{'PERSON': 0.64778731500354}
639,he,PERSON,
655,Billy,PERSON,{'PERSON': 0.99697510584022}
668,Mr. Holmes,PERSON,
688,Billy,PERSON,{'PERSON': 0.96600407167053}
705,Watson,PERSON,{'PERSON': 0.99993103836048}
719,his,PERSON,
758,Billy,PERSON,{'PERSON': 0.76850333807357}
831,Billy,PERSON,{'PERSON': 0.99434985043429}
833,He,PERSON,
874,Watson,PERSON,{'PERSON': 0.99184103465238}
893,Holmes,PERSON,{'PERSON': 0.91949954927982}
896,his,PERSON,
903,his,PERSON,
915,spring,DATE,{'DATE': 0.79717379477907}
916,he,PERSON,
935,Billy,PERSON,{'PERSON': 0.98616525616365}
939,he,PERSON,
966,Watson,PERSON,{'PERSON': 0.82040763931993}
1000,Billy,PERSON,{'PERSON': 0.98998940217276}
1008,Watson,PERSON,{'PERSON': 0.85845241769939}
1017,him,PERSON,
1029,Holmes,PERSON,{'PERSON': 0.99257537185029}
1041,this evening,TIME,{'TIME': 0.65671968833951}
1055,Watson,PERSON,{'PERSON': 0.96177730820015}
1067,Holmes,PERSON,{'PERSON': 0.97140976687913}
1180,Watson,PERSON,{'PERSON': 0.92463336957581}
1209,Watson,PERSON,{'PERSON': 0.96289550655347}
1236,Holmes,PERSON,{'PERSON': 0.99353747239289}
1277,Scotland Yard,LOCATION,{'LOCATION': 0.6862030447122}
1288,Sylvius,MISC,{'MISC': 0.44776254513252}
1308,Moorside Gardens,LOCATION,{'LOCATION': 0.92244041415751}
1311,N. W. Got,PERSON,{'PERSON': 0.95683137145598}
1317,Watson,PERSON,{'PERSON': 0.98048719986507}
1336,Holmes,PERSON,{'PERSON': 0.99495869833963}
1326,He,PERSON,
1343,he,PERSON,
1356,Watson,PERSON,{'PERSON': 0.99163842393417}
