docTokenBegin,text,ner,nerConfidences
9,Baker Street,LOCATION,{'LOCATION': 0.99631928870202}
26,February,DATE,{'DATE': 0.94938487646395}
36,Mr. Sherlock Holmes,PERSON,
50,him,PERSON,
76,Overton,PERSON,{'PERSON': 0.78164433394355}
92,Holmes,PERSON,{'PERSON': 0.96128809632683}
101,Mr. Overton,PERSON,
108,he,PERSON,
122,he,PERSON,
218,him,PERSON,
229,his,PERSON,
291,Holmes,PERSON,{'PERSON': 0.98266538108377}
240,he,PERSON,
300,his,PERSON,
312,Mr. Overton,PERSON,
316,he,PERSON,
321,he,PERSON,
325,his,PERSON,
345,his,PERSON,
367,Mr. Cyril Overton,PERSON,
372,Trinity College,ORGANIZATION,{'ORGANIZATION': 0.99758127078499}
375,Cambridge,LOCATION,{'LOCATION': 0.99451450035514}
399,his,PERSON,
422,Mr. Sherlock Holmes,PERSON,
437,Scotland Yard,LOCATION,{'LOCATION': 0.79278963563159}
440,Mr. Holmes,PERSON,
446,Stanley Hopkins,PERSON,{'PERSON': 0.9880416512485}
449,He,PERSON,
457,He,PERSON,
465,he,PERSON,
501,Mr. Holmes,PERSON,
515,Godfrey Staunton,PERSON,{'PERSON': 0.90650094416322}
522,him,PERSON,
527,He,PERSON,
549,Godfrey,PERSON,{'PERSON': 0.96105711924563}
574,him,PERSON,
579,he,PERSON,
604,Mr. Holmes,PERSON,
615,he,PERSON,
623,he,PERSON,
642,He,PERSON,
658,he,PERSON,
664,he,PERSON,
673,Morton,PERSON,{'PERSON': 0.98330805278465}
675,Johnson,PERSON,{'PERSON': 0.87863840455168}
678,Oxford,LOCATION,{'LOCATION': 0.48458940289731}
684,him,PERSON,
686,Stevenson,PERSON,{'PERSON': 0.97162682475864}
692,he,PERSON,
726,Mr. Holmes,PERSON,
739,Godfrey Staunton,PERSON,{'PERSON': 0.99380405400697}
788,Holmes,PERSON,{'PERSON': 0.98951552660892}
791,his,PERSON,
801,his,PERSON,
807,he,PERSON,
821,Arthur H. Staunton,PERSON,{'PERSON': 0.98806002648474}
838,Henry Staunton,PERSON,{'PERSON': 0.99927222018038}
848,Godfrey Staunton,PERSON,{'PERSON': 0.99456599335472}
832,he,PERSON,
871,Mr. Holmes,PERSON,
882,he,PERSON,
896,Godfrey Staunton,PERSON,{'PERSON': 0.92603555673751}
902,Cyril Overton,PERSON,{'PERSON': 0.99541879887822}
907,Holmes,PERSON,{'PERSON': 0.99497255652223}
909,his,PERSON,
932,England,LOCATION,{'LOCATION': 0.99504252230743}
934,Wales,LOCATION,{'LOCATION': 0.72068567821152}
961,England,LOCATION,{'LOCATION': 0.99974597615474}
966,Godfrey Staunton,PERSON,{'PERSON': 0.98585386230373}
975,Cambridge,LOCATION,{'LOCATION': 0.99413089816417}
986,Mr. Holmes,PERSON,
995,Holmes,PERSON,{'PERSON': 0.98694318343531}
1015,Mr. Overton,PERSON,
1055,England,LOCATION,{'LOCATION': 0.99990325522605}
1125,Young Overton,PERSON,{'PERSON': 0.55854205584364}
1142,his,PERSON,
1145,his,PERSON,
1162,his,PERSON,
1165,he,PERSON,
1167,his,PERSON,
1179,Mr. Holmes,PERSON,
1196,Cambridge 'Varsity,ORGANIZATION,{'ORGANIZATION': 0.47463275543708}
1201,Godfrey Staunton,PERSON,{'PERSON': 0.98903765505556}
1213,Oxford,LOCATION,{'ORGANIZATION': 0.66715387064285}
1224,Bentley,PERSON,{'PERSON': 0.68467236342882}
1269,Godfrey,PERSON,{'PERSON': 0.88799799455382}
1271,he,PERSON,
1275,He,PERSON,
1287,him,PERSON,
1293,He,PERSON,
1295,he,PERSON,
1308,him,PERSON,
1314,him,PERSON,
1338,Godfrey,PERSON,{'PERSON': 0.75146597314602}
1340,He,PERSON,
1352,his,PERSON,
1355,Godfrey,PERSON,{'PERSON': 0.91143048256986}
1366,he,PERSON,
1387,Godfrey,PERSON,{'PERSON': 0.99743324542319}
1379,he,PERSON,
1389,him,PERSON,
1403,he,PERSON,
1455,Godfrey,PERSON,{'PERSON': 0.8829090504922}
1461,his,PERSON,
1470,his,PERSON,
1484,He,PERSON,
1503,him,PERSON,
1510,he,PERSON,
1522,Godfrey,PERSON,{'PERSON': 0.96493067137738}
1516,He,PERSON,
1526,his,PERSON,
1530,he,PERSON,
1535,his,PERSON,
1540,his,PERSON,
1554,him,PERSON,
1562,he,PERSON,
1572,him,PERSON,
1576,Sherlock Holmes,PERSON,{'PERSON': 0.99907991902103}
1595,he,PERSON,
1602,Cambridge,LOCATION,{'LOCATION': 0.98996994728347}
1611,him,PERSON,
1624,him,PERSON,
1634,Cambridge,LOCATION,{'LOCATION': 0.99175001701001}
1629,he,PERSON,
1660,he,PERSON,
1670,he,PERSON,
1690,Mount-James,PERSON,{'PERSON': 0.88076673031823}
1699,Mount-James,PERSON,{'PERSON': 0.81090810647565}
1705,Godfrey,PERSON,{'PERSON': 0.88629718332179}
1712,Mount-James,PERSON,{'PERSON': 0.92374929870018}
1716,his,PERSON,
1720,his,PERSON,
1739,Mount-James,PERSON,{'PERSON': 0.87775294290818}
1749,England,LOCATION,{'LOCATION': 0.99991435338112}
1757,Godfrey,PERSON,{'PERSON': 0.87116729943729}
1773,he,PERSON,
1775,his,PERSON,
1795,he,PERSON,
1798,his,PERSON,
1803,his,PERSON,
1809,Godfrey,PERSON,{'PERSON': 0.98790363654445}
1806,He,PERSON,
1813,his,PERSON,
1817,he,PERSON,
1829,him,PERSON,
1840,Mount-James,PERSON,{'PERSON': 0.83673469233739}
1860,Mount-James,PERSON,{'PERSON': 0.83689903522994}
1871,him,PERSON,
1888,he,PERSON,
1892,his,PERSON,
1908,he,PERSON,
1918,Godfrey,PERSON,{'PERSON': 0.99250451042826}
1927,He,PERSON,
1932,he,PERSON,
1957,Mount-James,PERSON,{'PERSON': 0.90219744858992}
1953,his,PERSON,
1987,his,PERSON,
1991,Cyril Overton,PERSON,{'PERSON': 0.99929685252736}
1994,his,PERSON,
1997,his,PERSON,
2010,he,PERSON,
2036,Holmes,PERSON,{'PERSON': 0.98360184233243}
2072,him,PERSON,
2087,him,PERSON,
2114,Sherlock Holmes,PERSON,{'PERSON': 0.99946612241919}
2141,Godfrey Staunton,PERSON,{'PERSON': 0.97291544138281}
2130,his,PERSON,
2147,he,PERSON,
2171,he,PERSON,
2176,He,PERSON,
2206,He,PERSON,
2217,his,PERSON,
2221,he,PERSON,
2228,Godfrey Staunton,PERSON,{'PERSON': 0.99183629259764}
2235,his,PERSON,
2238,Staunton,PERSON,{'PERSON': 0.80946162404191}
2300,Holmes,PERSON,{'PERSON': 0.98446527139798}
2305,Staunton,PERSON,{'PERSON': 0.77817249906236}
2385,Mr. Staunton,PERSON,
2419,Mr. Staunton,PERSON,
2422,he,PERSON,
2430,his,PERSON,
2439,he,PERSON,
2472,He,PERSON,
2488,he,PERSON,
2496,he,PERSON,
2517,he,PERSON,
2519,his,PERSON,
2527,he,PERSON,
2531,he,PERSON,
2551,he,PERSON,
2589,Holmes,PERSON,{'PERSON': 0.87142487136365}
2595,he,PERSON,
2615,he,PERSON,
2624,he,PERSON,
2645,Watson,PERSON,{'PERSON': 0.8941034257506}
2680,he,PERSON,
2746,Cyril Overton,PERSON,{'PERSON': 0.99698895501234}
2719,He,PERSON,
2760,he,PERSON,
2770,Holmes,PERSON,{'PERSON': 0.97981871506443}
2791,He,PERSON,
2822,Godfrey Staunton,PERSON,{'PERSON': 0.90351694668318}
2830,his,PERSON,
2873,him,PERSON,
2882,him,PERSON,
2926,Godfrey Staunton,PERSON,{'PERSON': 0.97505167785822}
2983,Watson,PERSON,{'PERSON': 0.9809276047501}
3079,Mr. Overton,PERSON,
3111,Holmes,PERSON,{'PERSON': 0.98456301958662}
3132,he,PERSON,
3156,him,PERSON,
3171,him,PERSON,
3180,He,PERSON,
3191,he,PERSON,
3193,his,PERSON,
3206,he,PERSON,
3218,he,PERSON,
3285,He,PERSON,
3328,his,PERSON,
3335,his,PERSON,
3343,his,PERSON,
3372,he,PERSON,
3388,his,PERSON,
3413,Mr. Staunton,PERSON,
3423,Scotland Yard,LOCATION,{'LOCATION': 0.49648639390651}
3438,Cyril Overton,PERSON,{'PERSON': 0.99956554796288}
3457,Mount-James,PERSON,{'PERSON': 0.97328372127342}
3468,Bayswater,LOCATION,{'LOCATION': 0.43207330108809}
3511,Godfrey,PERSON,{'PERSON': 0.99774375996548}
3516,him,PERSON,
3529,he,PERSON,
3547,his,PERSON,
3583,Mr. Detective,PERSON,
3609,he,PERSON,
3689,Sherlock Holmes,PERSON,{'PERSON': 0.99943382536983}
3724,He,PERSON,
3738,he,PERSON,
3756,him,PERSON,
3768,Holmes,PERSON,{'PERSON': 0.97421767010552}
3775,his,PERSON,
3787,Godfrey Staunton,PERSON,{'PERSON': 0.99087566116726}
3798,he,PERSON,
3810,he,PERSON,
3824,Mount-James,PERSON,{'PERSON': 0.56527898213604}
3847,him,PERSON,
3874,his,PERSON,
3903,Godfrey,PERSON,{'PERSON': 0.89100610255819}
3916,him,PERSON,
3919,his,PERSON,
3934,this evening,TIME,{'TIME': 0.72507689026422}
3944,Mr. Detective,PERSON,
3957,him,PERSON,
3990,his,PERSON,
4009,he,PERSON,
4017,his,PERSON,
4038,Holmes,PERSON,{'PERSON': 0.99190237795058}
4036,his,PERSON,
4047,his,PERSON,
4055,Mount-James,PERSON,{'PERSON': 0.74796216417873}
4060,Overton,PERSON,{'PERSON': 0.97000124444015}
4070,his,PERSON,
4105,Watson,PERSON,{'PERSON': 0.88266594741408}
4109,Holmes,PERSON,{'PERSON': 0.98691627333895}
4164,he,PERSON,
4167,his,PERSON,
4243,she,PERSON,
4260,Holmes,PERSON,{'PERSON': 0.99452916111761}
4262,his,PERSON,
4265,his,PERSON,
4287,he,PERSON,
4324,she,PERSON,
4349,Holmes,PERSON,{'PERSON': 0.98622205092744}
4380,He,PERSON,
4384,his,PERSON,
4409,Watson,PERSON,{'PERSON': 0.89266418252599}
4458,He,PERSON,
4471,he,PERSON,
4492,Cambridge,LOCATION,{'LOCATION': 0.99239679289649}
4520,Gray,PERSON,{'PERSON': 0.91620320011874}
4522,Inn Road,LOCATION,{'LOCATION': 0.76474581222637}
4566,he,PERSON,
4576,his,PERSON,
4587,Watson,PERSON,{'PERSON': 0.96683127334931}
4773,his,PERSON,
4790,him,PERSON,
4813,Watson,PERSON,{'PERSON': 0.96347363669608}
4862,Cambridge,LOCATION,{'LOCATION': 0.97865147085803}
4911,Holmes,PERSON,{'PERSON': 0.98576057579021}
4930,Leslie Armstrong,PERSON,{'PERSON': 0.99972620461801}
4976,his,PERSON,
4996,Leslie Armstrong,PERSON,{'PERSON': 0.99876856917078}
5028,European,MISC,{'MISC': 0.99997552639005}
5008,he,PERSON,
5042,his,PERSON,
5110,Leslie Armstrong,PERSON,{'PERSON': 0.99985041996621}
5113,He,PERSON,
5120,his,PERSON,
5124,he,PERSON,
5133,his,PERSON,
5144,Mr. Sherlock Holmes,PERSON,
5401,Mr. Godfrey Staunton,PERSON,
5409,him,PERSON,
5415,him,PERSON,
5423,He,PERSON,
5437,he,PERSON,
5467,last night,TIME,{'TIME': 0.90881091876238}
5463,He,PERSON,
5465,his,PERSON,
5470,He,PERSON,
5481,he,PERSON,
5520,him,PERSON,
5523,him,PERSON,
5550,Mr. Staunton,PERSON,
5559,he,PERSON,
5573,him,PERSON,
5588,Mr. Staunton,PERSON,
5604,him,PERSON,
5612,Holmes,PERSON,{'PERSON': 0.9936511199059}
5639,Mr. Godfrey Staunton,PERSON,
5646,Leslie Armstrong,PERSON,{'PERSON': 0.99983649293826}
5649,Cambridge,LOCATION,{'LOCATION': 0.99282540831679}
5660,his,PERSON,
5689,Mr. Holmes,PERSON,
5693,Holmes,PERSON,{'PERSON': 0.99853039769919}
5698,his,PERSON,
5719,he,PERSON,
5769,Mr. Staunton,PERSON,
5772,London,LOCATION,{'LOCATION': 0.99931800566594}
5792,Holmes,PERSON,{'PERSON': 0.97872967005168}
5807,London,LOCATION,{'LOCATION': 0.99822275239215}
5809,Godfrey Staunton,PERSON,{'PERSON': 0.99693333677715}
5825,his,PERSON,
5857,Leslie Armstrong,PERSON,{'PERSON': 0.99993466268318}
5863,his,PERSON,
5867,his,PERSON,
5891,he,PERSON,
5901,Mount-James,PERSON,{'PERSON': 0.92644665594471}
5917,him,PERSON,
5920,his,PERSON,
5932,He,PERSON,
5939,John,PERSON,{'PERSON': 0.64681598080574}
5965,Holmes,PERSON,{'PERSON': 0.98656772995578}
5972,Leslie Armstrong,PERSON,{'PERSON': 0.99981469820091}
5985,he,PERSON,
6015,Moriarty,PERSON,{'PERSON': 0.88367867676715}
5997,he,PERSON,
5999,his,PERSON,
6022,Watson,PERSON,{'PERSON': 0.95007360980866}
6051,Armstrong,PERSON,{'PERSON': 0.69892343342431}
6101,Holmes,PERSON,{'PERSON': 0.98864853836302}
6106,he,PERSON,
6118,He,PERSON,
6137,supper,DATE,{'DATE': 0.52654840440898}
6146,his,PERSON,
6151,his,PERSON,
6154,he,PERSON,
6170,him,PERSON,
6172,his,PERSON,
6184,him,PERSON,
6225,Holmes,PERSON,{'PERSON': 0.97247026289925}
6253,he,PERSON,
6279,Armstrong,PERSON,{'PERSON': 0.65257559464649}
6288,He,PERSON,
6297,he,PERSON,
6307,him,PERSON,
6309,his,PERSON,
6318,he,PERSON,
6330,him,PERSON,
6337,he,PERSON,
6349,Watson,PERSON,{'PERSON': 0.93788280246082}
6342,His,PERSON,
6358,him,PERSON,
6372,his,PERSON,
6381,his,PERSON,
6385,he,PERSON,
6450,he,PERSON,
6461,his,PERSON,
6473,his,PERSON,
6496,Watson,PERSON,{'PERSON': 0.98062444613621}
6501,this evening,TIME,{'TIME': 0.75337953727791}
6627,he,PERSON,
6636,he,PERSON,
6638,his,PERSON,
6656,his,PERSON,
6773,Godfrey Staunton,PERSON,{'PERSON': 0.99236097144638}
6792,Armstrong,PERSON,{'PERSON': 0.99081197544016}
6807,he,PERSON,
6820,him,PERSON,
6850,him,PERSON,
6876,Cambridgeshire,LOCATION,{'LOCATION': 0.82716064771861}
6923,he,PERSON,
6935,Overton,PERSON,{'PERSON': 0.96117577844525}
6942,London,LOCATION,{'LOCATION': 0.99393153913547}
6960,Armstrong,PERSON,{'PERSON': 0.9910912347582}
6979,Staunton,PERSON,{'PERSON': 0.7281777816874}
6984,He,PERSON,
7000,he,PERSON,
7041,Watson,PERSON,{'PERSON': 0.87066071697936}
7031,his,PERSON,
7082,Holmes,PERSON,{'PERSON': 0.91304354036868}
7118,last night,TIME,{'TIME': 0.96719366794851}
7174,Mr. Godfrey Staunton,PERSON,
7198,London,LOCATION,{'LOCATION': 0.9983114100316}
7211,him,PERSON,
7216,Cambridge,LOCATION,{'LOCATION': 0.99479734229071}
