docTokenBegin,text,ner,nerConfidences
13,Baker Street,LOCATION,{'LOCATION': 0.98628202447639}
31,Thorneycroft Huxtable,PERSON,{'PERSON': 0.65986213776458}
40,His,PERSON,
52,his,PERSON,
57,him,PERSON,
65,he,PERSON,
79,he,PERSON,
93,his,PERSON,
102,him,PERSON,
111,he,PERSON,
173,Holmes,PERSON,{'PERSON': 0.95580651715362}
179,his,PERSON,
186,his,PERSON,
267,Watson,PERSON,{'PERSON': 0.9969016918585}
271,Holmes,PERSON,{'PERSON': 0.95420626106334}
309,Mackleton,LOCATION,{'LOCATION': 0.68912202989023}
315,England,LOCATION,{'LOCATION': 0.99904932973906}
319,Holmes,PERSON,{'PERSON': 0.97124414679677}
337,He,PERSON,
377,his,PERSON,
380,his,PERSON,
391,Mr. Holmes,PERSON,
429,Mr. Holmes,PERSON,
490,Mr. Holmes,PERSON,
496,Mackleton,LOCATION,{'LOCATION': 0.81810541486142}
508,his,PERSON,
516,Watson,PERSON,{'PERSON': 0.99968737474938}
537,Ferrers Documents,ORGANIZATION,{'ORGANIZATION': 0.52724100927864}
542,Abergavenny,LOCATION,{'LOCATION': 0.50613592708491}
559,London,LOCATION,{'LOCATION': 0.99869282929915}
572,his,PERSON,
591,Holdernesse,PERSON,{'PERSON': 0.52477722533077}
624,Globe last night,TIME,{'TIME': 0.95639410353878}
638,Holmes,PERSON,{'PERSON': 0.99646476360448}
641,his,PERSON,
654,his,PERSON,
666,K.G.,LOCATION,{'LOCATION': 0.5748470776063}
676,Baron Beverley,PERSON,{'PERSON': 0.9773485362892}
679,Earl of Carston,PERSON,{'PERSON': 0.41288754226405}
697,1900,DATE,{'DATE': 0.96839941462533}
700,Edith,PERSON,{'PERSON': 0.95248918204072}
705,Charles Appledore,PERSON,{'PERSON': 0.99918568561806}
708,1888,DATE,{'DATE': 0.88543718390379}
729,Lancashire,LOCATION,{'LOCATION': 0.9813776622388}
731,Wales,LOCATION,{'LOCATION': 0.99027931359772}
735,Carlton House,ORGANIZATION,{'ORGANIZATION': 0.56370155497654}
739,Holdernesse Hall,LOCATION,{'LOCATION': 0.85781994681513}
742,Hallamshire,LOCATION,{'LOCATION': 0.49738578779037}
744,Carston Castle,LOCATION,{'LOCATION': 0.91859476529137}
747,Bangor,LOCATION,{'LOCATION': 0.99250985650285}
749,Wales,LOCATION,{'LOCATION': 0.98474608597199}
754,Admiralty,MISC,{'MISC': 0.33209028196779}
756,1872,DATE,{'DATE': 0.72192881179296}
795,Mr. Holmes,PERSON,
830,his,PERSON,
852,him,PERSON,
854,his,PERSON,
