docTokenBegin,text,ner,nerConfidences
0,Sherlock Holmes,PERSON,{'PERSON': 0.99881634386609}
12,His,PERSON,
26,him,PERSON,
29,he,PERSON,
54,him,PERSON,
66,him,PERSON,
82,Watson,PERSON,{'PERSON': 0.96838600837586}
99,his,PERSON,
138,he,PERSON,
153,him,PERSON,
156,He,PERSON,
197,he,PERSON,
208,Holmes,PERSON,{'PERSON': 0.99175117433038}
219,Josiah Amberley,PERSON,{'PERSON': 0.9779294357003}
229,Brickfall,LOCATION,{'LOCATION': 0.54550179678936}
231,Amberley,LOCATION,{'LOCATION': 0.87516860116522}
222,He,PERSON,
224,he,PERSON,
271,Lewisham,LOCATION,{'LOCATION': 0.99765739703655}
250,He,PERSON,
252,his,PERSON,
288,his,PERSON,
301,Holmes,PERSON,{'PERSON': 0.89028937538694}
307,he,PERSON,
320,1896,DATE,{'DATE': 0.99419538751934}
322,Watson,PERSON,{'PERSON': 0.92961912147675}
326,1897,DATE,{'DATE': 0.97027601363825}
327,he,PERSON,
368,him,PERSON,
375,he,PERSON,
408,Watson,PERSON,{'PERSON': 0.9642739226708}
422,Amberley,LOCATION,{'LOCATION': 0.60441039708229}
439,Lewisham,LOCATION,{'LOCATION': 0.99723100883784}
437,him,PERSON,
460,Ray Ernest,PERSON,{'PERSON': 0.99990674211099}
456,his,PERSON,
463,Ernest,PERSON,{'PERSON': 0.9928646139655}
476,Mrs. Amberley,PERSON,
474,him,PERSON,
497,his,PERSON,
531,her,PERSON,
539,his,PERSON,
573,Josiah Amberley,PERSON,{'PERSON': 0.9572885329745}
595,Watson,PERSON,{'PERSON': 0.87807868100002}
629,Coptic Patriarchs,MISC,{'MISC': 0.73898782061657}
651,Lewisham,LOCATION,{'LOCATION': 0.99704232585208}
682,He,PERSON,
732,summer,DATE,{'DATE': 0.93474847541388}
733,afternoon,TIME,{'TIME': 0.57026336001789}
738,Lewisham,LOCATION,{'LOCATION': 0.99823424136814}
760,England,LOCATION,{'LOCATION': 0.99014600575913}
771,Baker Street,LOCATION,{'LOCATION': 0.99558691853771}
781,Holmes,PERSON,{'PERSON': 0.99371820916121}
784,his,PERSON,
789,his,PERSON,
793,his,PERSON,
804,his,PERSON,
808,his,PERSON,
813,he,PERSON,
857,Haven,MISC,{'MISC': 0.43486408767294}
862,Mr. Josiah Amberley,PERSON,
880,Holmes,PERSON,{'PERSON': 0.94241264364216}
895,his,PERSON,
963,Watson,PERSON,{'PERSON': 0.8763579588658}
967,Holmes,PERSON,{'PERSON': 0.98897197604786}
1013,him,PERSON,
1015,He,PERSON,
1031,He,PERSON,
1066,Mr. Amberley,PERSON,
1080,this morning,TIME,{'TIME': 0.95167273109308}
1079,him,PERSON,
1084,he,PERSON,
1099,him,PERSON,
1103,his,PERSON,
1134,Holmes,PERSON,{'PERSON': 0.97699939840165}
1137,He,PERSON,
1152,His,PERSON,
1158,he,PERSON,
1165,he,PERSON,
1178,his,PERSON,
1190,his,PERSON,
1229,his,PERSON,
1252,his,PERSON,
1258,his,PERSON,
1277,Watson,PERSON,{'PERSON': 0.96078905062626}
1281,he,PERSON,
1286,He,PERSON,
1293,his,PERSON,
1350,Nature,MISC,{'MISC': 0.46858149756885}
1421,he,PERSON,
1428,his,PERSON,
1432,He,PERSON,
1441,He,PERSON,
1445,his,PERSON,
1459,he,PERSON,
1505,Mr. Sherlock Holmes,PERSON,
1475,he,PERSON,
1513,him,PERSON,
1536,him,PERSON,
1540,he,PERSON,
1551,he,PERSON,
1565,Watson,PERSON,{'PERSON': 0.99863683439167}
1581,her,PERSON,
1596,he,PERSON,
1604,He,PERSON,
1624,Watson,PERSON,{'PERSON': 0.9968605055572}
1641,his,PERSON,
1649,He,PERSON,
1686,Amberley,LOCATION,{'LOCATION': 0.96915672911612}
1691,his,PERSON,
1711,she,PERSON,
1723,He,PERSON,
1739,he,PERSON,
1745,he,PERSON,
1749,his,PERSON,
1763,Holmes,PERSON,{'PERSON': 0.96075807257067}
1779,Watson,PERSON,{'PERSON': 0.9417667215255}
1847,Watson,PERSON,{'PERSON': 0.98062444613621}
1849,His,PERSON,
1890,he,PERSON,
1896,He,PERSON,
1899,his,PERSON,
1905,he,PERSON,
1932,he,PERSON,
1978,He,PERSON,
1981,he,PERSON,
1990,he,PERSON,
2005,midnight,TIME,{'TIME': 0.75811148812985}
1997,He,PERSON,
2032,he,PERSON,
2038,He,PERSON,
2049,Holmes,PERSON,{'PERSON': 0.95179312042494}
2058,he,PERSON,
2064,he,PERSON,
2071,he,PERSON,
2078,he,PERSON,
2124,his,PERSON,
2136,he,PERSON,
2143,He,PERSON,
2148,his,PERSON,
2172,her,PERSON,
2178,he,PERSON,
2186,Watson,PERSON,{'PERSON': 0.99483725437924}
2207,Blackheath Station,LOCATION,{'LOCATION': 0.70429685216783}
2247,Holmes,PERSON,{'PERSON': 0.94361755827422}
2271,London Bridge,LOCATION,{'LOCATION': 0.96490362715202}
2267,him,PERSON,
2278,him,PERSON,
2288,he,PERSON,
2303,Holmes,PERSON,{'PERSON': 0.98770483246369}
2328,Holmes,PERSON,{'PERSON': 0.77258153064409}
2342,he,PERSON,
2355,Masonic,MISC,{'MISC': 0.99445332820345}
2362,Holmes,PERSON,{'PERSON': 0.76560066347984}
2371,Watson,PERSON,{'PERSON': 0.96758283192522}
2508,Amberley,LOCATION,{'LOCATION': 0.75277579471028}
2510,his,PERSON,
2522,Ernest,PERSON,{'PERSON': 0.99959135000093}
2525,he,PERSON,
2538,Watson,PERSON,{'PERSON': 0.9185925878432}
2576,Blue Anchor,ORGANIZATION,{'ORGANIZATION': 0.51078858646313}
2644,He,PERSON,
2663,he,PERSON,
2676,his,PERSON,
2687,Ernest,PERSON,{'PERSON': 0.9989175327563}
