docTokenBegin,text,ner,nerConfidences
7,Mr. Lestrade,PERSON,
11,Scotland Yard,LOCATION,{'LOCATION': 0.80597603802116}
29,Sherlock Holmes,PERSON,{'PERSON': 0.99860981919313}
24,his,PERSON,
35,him,PERSON,
59,Lestrade,PERSON,{'PERSON': 0.60441515741714}
63,Holmes,PERSON,{'PERSON': 0.98222405522556}
102,his,PERSON,
113,Lestrade,PERSON,{'PERSON': 0.43412376178207}
124,he,PERSON,
132,his,PERSON,
135,Holmes,PERSON,{'PERSON': 0.96784033928857}
139,him,PERSON,
148,he,PERSON,
156,Mr. Holmes,PERSON,
172,Lestrade,PERSON,{'PERSON': 0.72314065026553}
178,Mr. Holmes,PERSON,
252,Watson,PERSON,{'PERSON': 0.99912672733164}
295,Napoleon,PERSON,{'PERSON': 0.73499097252856}
299,he,PERSON,
305,him,PERSON,
307,he,PERSON,
312,Holmes,PERSON,{'PERSON': 0.98007449765158}
316,his,PERSON,
329,he,PERSON,
356,his,PERSON,
373,Holmes,PERSON,{'PERSON': 0.97247956671653}
393,Lestrade,PERSON,{'PERSON': 0.92277449016596}
396,his,PERSON,
403,his,PERSON,
421,he,PERSON,
430,Morse Hudson,PERSON,{'PERSON': 0.37897622344427}
446,Kennington Road,LOCATION,{'LOCATION': 0.99569164853139}
474,Napoleon,PERSON,{'PERSON': 0.84373848824716}
460,he,PERSON,
468,he,PERSON,
493,He,PERSON,
520,he,PERSON,
527,he,PERSON,
546,Hooliganism,MISC,{'MISC': 0.87290038916071}
611,last night,TIME,{'TIME': 0.95764516941196}
616,Kennington Road,LOCATION,{'LOCATION': 0.9975221047822}
626,Morse Hudson,LOCATION,{'LOCATION': 0.39045552579028}
642,Barnicot,PERSON,{'PERSON': 0.99903224210793}
668,Kennington Road,LOCATION,{'LOCATION': 0.99937827427999}
680,Lower Brixton Road,LOCATION,{'LOCATION': 0.94943862146464}
659,His,PERSON,
672,he,PERSON,
690,Barnicot,PERSON,{'PERSON': 0.9930111285741}
696,Napoleon,PERSON,{'PERSON': 0.96277992380958}
712,French,MISC,{'MISC': 0.94841499794725}
699,his,PERSON,
722,Morse Hudson,LOCATION,{'LOCATION': 0.40740709798039}
733,Napoleon,PERSON,{'PERSON': 0.90676438698055}
736,French,MISC,{'MISC': 0.99999439678778}
739,Devine,PERSON,{'PERSON': 0.97765019532452}
719,he,PERSON,
753,Kennington Road,LOCATION,{'LOCATION': 0.99976006313474}
766,Lower Brixton,LOCATION,{'LOCATION': 0.86998606534063}
744,he,PERSON,
747,his,PERSON,
773,Barnicot,PERSON,{'PERSON': 0.99924705120959}
791,night,TIME,{'TIME': 0.60184326448647}
778,he,PERSON,
784,his,PERSON,
831,Holmes,PERSON,{'PERSON': 0.99571939453024}
833,his,PERSON,
845,he,PERSON,
866,Barnicot,PERSON,{'PERSON': 0.99961858940359}
898,night,TIME,{'TIME': 0.77337278144341}
870,his,PERSON,
880,his,PERSON,
888,he,PERSON,
906,his,PERSON,
953,Mr. Holmes,PERSON,
975,Holmes,PERSON,{'PERSON': 0.98729262047836}
988,Barnicot,PERSON,{'PERSON': 0.99629593809858}
1002,Morse Hudson,LOCATION,{'LOCATION': 0.80370705907278}
1040,Napoleon,PERSON,{'PERSON': 0.97857308085252}
1051,Emperor,MISC,{'MISC': 0.66639869443567}
1055,London,LOCATION,{'LOCATION': 0.9998230171967}
1095,Lestrade,PERSON,{'PERSON': 0.66087932289042}
1104,Morse Hudson,PERSON,{'PERSON': 0.83831182524311}
1115,London,LOCATION,{'LOCATION': 0.99724138459125}
1128,his,PERSON,
1148,London,LOCATION,{'LOCATION': 0.99933468553665}
1181,Watson,PERSON,{'PERSON': 0.99995629104553}
1207,French,MISC,{'MISC': 0.99999129833378}
1241,Napoleon,PERSON,{'PERSON': 0.98825364266296}
1284,Watson,PERSON,{'PERSON': 0.89821165173095}
1288,Holmes,PERSON,{'PERSON': 0.98733888970235}
