docTokenBegin,text,ner,nerConfidences
3,1894,DATE,{'DATE': 0.76312974732461}
5,1901,DATE,{'DATE': 0.91600333655251}
7,Mr. Sherlock Holmes,PERSON,
32,he,PERSON,
62,he,PERSON,
186,Miss Violet Smith,PERSON,{'MISC': 0.43377904151006}
194,Charlington,LOCATION,{'LOCATION': 0.80708312110833}
273,1895,DATE,{'DATE': 0.86382404980752}
280,Saturday,DATE,{'DATE': 0.99786061184083}
283,23rd of April,DATE,{'DATE': 0.99771116501052}
292,Miss Violet Smith,PERSON,
306,Holmes,PERSON,{'PERSON': 0.91017638169718}
328,John Vincent Harden,PERSON,{'PERSON': 0.98313798599796}
296,Her,PERSON,
309,he,PERSON,
361,his,PERSON,
408,Baker Street,LOCATION,{'LOCATION': 0.995021520817}
378,his,PERSON,
416,his,PERSON,
427,his,PERSON,
445,her,PERSON,
459,her,PERSON,
465,she,PERSON,
480,Holmes,PERSON,{'PERSON': 0.9930531370191}
499,her,PERSON,
513,he,PERSON,
516,his,PERSON,
521,her,PERSON,
535,She,PERSON,
541,her,PERSON,
577,Mr. Holmes,PERSON,
642,he,PERSON,
645,he,PERSON,
682,Watson,PERSON,{'PERSON': 0.56799935440393}
702,he,PERSON,
728,Mr. Holmes,PERSON,
755,Farnham,LOCATION,{'LOCATION': 0.98468249021114}
761,Surrey,LOCATION,{'LOCATION': 0.85901294243647}
779,Watson,PERSON,{'PERSON': 0.9460518418062}
789,Archie Stamford,PERSON,{'PERSON': 0.9388767611538}
806,Farnham,LOCATION,{'LOCATION': 0.97635696769425}
812,Surrey,LOCATION,{'LOCATION': 0.65120835496887}
838,Mr. Holmes,PERSON,
843,James Smith,PERSON,{'PERSON': 0.99995335877467}
853,Imperial Theatre,ORGANIZATION,{'ORGANIZATION': 0.43297413297258}
841,He,PERSON,
872,Ralph Smith,PERSON,{'PERSON': 0.99999306786456}
878,Africa,LOCATION,{'LOCATION': 0.98462871041473}
893,him,PERSON,
918,Times,ORGANIZATION,{'ORGANIZATION': 0.91284806283674}
964,Mr. Carruthers,PERSON,
967,Mr. Woodley,PERSON,
977,South Africa,LOCATION,{'LOCATION': 0.99770904405556}
1001,Johannesburg,LOCATION,{'LOCATION': 0.99985037040435}
992,he,PERSON,
1005,he,PERSON,
1010,his,PERSON,
1016,his,PERSON,
1033,Uncle Ralph,PERSON,{'PERSON': 0.98243635050456}
1061,Mr. Carruthers,PERSON,
1043,he,PERSON,
1056,he,PERSON,
1078,his,PERSON,
1096,Holmes,PERSON,{'PERSON': 0.98485842807403}
1107,December,DATE,{'DATE': 0.992352645533}
1120,Mr. Woodley,PERSON,
1132,He,PERSON,
1155,his,PERSON,
1163,his,PERSON,
1179,Cyril,PERSON,{'PERSON': 0.88069871063245}
1169,he,PERSON,
1194,Cyril,PERSON,{'PERSON': 0.991989668904}
1196,his,PERSON,
1201,Holmes,PERSON,{'PERSON': 0.97851623768681}
1215,Mr. Holmes,PERSON,
1218,Cyril Morton,PERSON,{'PERSON': 0.98228431033263}
1233,end of the summer,DATE,{'DATE': 0.99447209112774}
1247,him,PERSON,
1256,Mr. Woodley,PERSON,
1264,Mr. Carruthers,PERSON,
1278,He,PERSON,
1293,he,PERSON,
1302,He,PERSON,
1317,he,PERSON,
1327,his,PERSON,
1358,week-end,DATE,{'DATE': 0.88155964371253}
1348,he,PERSON,
1356,her,PERSON,
1363,he,PERSON,
1389,Chiltern Grange,PERSON,{'PERSON': 0.96396155603232}
1396,Farnham,LOCATION,{'LOCATION': 0.80980069198059}
1398,Mr. Carruthers,PERSON,
1421,Mrs. Dixon,PERSON,
1405,he,PERSON,
1427,his,PERSON,
1441,Mr. Carruthers,PERSON,
1486,Mr. Woodley,PERSON,
1489,He,PERSON,
1508,He,PERSON,
1552,London,LOCATION,{'LOCATION': 0.99927225610819}
1527,He,PERSON,
1536,his,PERSON,
1544,him,PERSON,
1565,him,PERSON,
1567,he,PERSON,
1571,his,PERSON,
1578,he,PERSON,
1584,he,PERSON,
1587,he,PERSON,
1597,him,PERSON,
1599,Mr. Carruthers,PERSON,
1605,him,PERSON,
1612,he,PERSON,
1615,his,PERSON,
1620,him,PERSON,
1624,his,PERSON,
1633,his,PERSON,
1641,Mr. Carruthers,PERSON,
1668,Mr. Woodley,PERSON,
1676,Mr. Holmes,PERSON,
1704,Saturday,DATE,{'DATE': 0.99346261857431}
1712,Farnham Station,LOCATION,{'LOCATION': 0.92118032263378}
1726,Chiltern Grange,LOCATION,{'LOCATION': 0.73190232226566}
1750,Charlington Heath,PERSON,{'PERSON': 0.49809630771529}
1803,Crooksbury,LOCATION,{'LOCATION': 0.9997832583514}
1804,Hill,PERSON,{'LOCATION': 0.9995081815718}
1841,He,PERSON,
1864,Farnham,LOCATION,{'LOCATION': 0.48972998066902}
1889,Mr. Holmes,PERSON,
1898,Monday,DATE,{'DATE': 0.99060145189806}
1928,Saturday,DATE,{'DATE': 0.99704458388945}
1930,Monday,DATE,{'DATE': 0.99906544255456}
1932,He,PERSON,
1935,his,PERSON,
1958,Mr. Carruthers,PERSON,
1973,he,PERSON,
2030,this morning,TIME,{'TIME': 0.72817779197399}
2044,Charlington Heath,PERSON,{'PERSON': 0.92633718549223}
2059,he,PERSON,
2067,He,PERSON,
2080,his,PERSON,
2094,He,PERSON,
2110,his,PERSON,
2118,his,PERSON,
2144,he,PERSON,
2148,he,PERSON,
2158,he,PERSON,
2161,his,PERSON,
2169,he,PERSON,
2179,him,PERSON,
2207,him,PERSON,
2215,he,PERSON,
2220,he,PERSON,
2243,he,PERSON,
2266,he,PERSON,
2272,Holmes,PERSON,{'PERSON': 0.97932844454603}
2276,his,PERSON,
2292,he,PERSON,
2323,he,PERSON,
2349,he,PERSON,
2379,him,PERSON,
2400,Charlington Hall,LOCATION,{'LOCATION': 0.73102454519819}
2395,he,PERSON,
2397,his,PERSON,
2429,Mr. Holmes,PERSON,
2457,Holmes,PERSON,{'PERSON': 0.96731867650692}
2478,he,PERSON,
2489,Midland Electrical Company,ORGANIZATION,{'ORGANIZATION': 0.99614661831258}
2494,Coventry,LOCATION,{'LOCATION': 0.38855544784392}
2485,He,PERSON,
2498,He,PERSON,
2511,Mr. Holmes,PERSON,
2520,him,PERSON,
2537,Cyril,PERSON,{'PERSON': 0.95626415256731}
2552,Woodley,PERSON,{'PERSON': 0.87713358991876}
2558,him,PERSON,
2580,he,PERSON,
2584,Holmes,PERSON,{'PERSON': 0.93669854806052}
2609,Mr. Carruthers,PERSON,
2633,evening,TIME,{'TIME': 0.5610720040768}
2629,his,PERSON,
2635,He,PERSON,
2641,He,PERSON,
2658,Holmes,PERSON,{'PERSON': 0.96927933218956}
2665,he,PERSON,
2673,He,PERSON,
2692,he,PERSON,
2702,he,PERSON,
2719,South African,MISC,{'MISC': 0.99978467551325}
2714,He,PERSON,
2735,Miss Smith,PERSON,{'PERSON': 0.48812843851777}
2797,Nature,MISC,{'MISC': 0.54936101987779}
