docTokenBegin,text,ner,nerConfidences
16,last eight years,DATE,{'DATE': 0.79098993731333}
25,Sherlock Holmes,PERSON,{'PERSON': 0.99994109339579}
50,he,PERSON,
57,his,PERSON,
66,he,PERSON,
115,Surrey,LOCATION,{'ORGANIZATION': 0.58340462699469}
121,Stoke Moran,ORGANIZATION,{'ORGANIZATION': 0.51937658970348}
137,Holmes,PERSON,{'PERSON': 0.94560862970231}
147,Baker Street,LOCATION,{'LOCATION': 0.9976264260392}
230,Grimesby Roylott,PERSON,{'PERSON': 0.96702504861812}
249,April,DATE,{'DATE': 0.99518261028045}
261,Sherlock Holmes,PERSON,{'PERSON': 0.99657485665722}
275,He,PERSON,
308,him,PERSON,
337,Watson,PERSON,{'PERSON': 0.96223204878877}
350,this morning,TIME,{'TIME': 0.67125141737054}
341,he,PERSON,
353,Mrs. Hudson,PERSON,
360,she,PERSON,
409,She,PERSON,
433,morning,TIME,{'TIME': 0.74478027756531}
524,Holmes,PERSON,{'PERSON': 0.92154307774194}
526,his,PERSON,
552,he,PERSON,
560,him,PERSON,
617,Holmes,PERSON,{'PERSON': 0.98720146994}
624,Sherlock Holmes,PERSON,{'PERSON': 0.99985146351765}
636,Watson,PERSON,{'PERSON': 0.99973340147571}
657,Mrs. Hudson,PERSON,
715,her,PERSON,
731,Mr. Holmes,PERSON,
739,She,PERSON,
741,her,PERSON,
744,she,PERSON,
752,she,PERSON,
762,her,PERSON,
781,Her,PERSON,
794,her,PERSON,
803,her,PERSON,
810,Sherlock Holmes,PERSON,{'PERSON': 0.99968392495442}
813,her,PERSON,
818,his,PERSON,
834,he,PERSON,
841,her,PERSON,
863,this morning,TIME,{'TIME': 0.93908405936715}
955,he,PERSON,
1031,she,PERSON,
1055,Waterloo,LOCATION,{'LOCATION': 0.99736324173458}
1095,he,PERSON,
1112,Mr. Holmes,PERSON,
1121,Mrs. Farintosh,PERSON,
1131,her,PERSON,
1138,her,PERSON,
1223,Holmes,PERSON,{'PERSON': 0.99613053576172}
1226,his,PERSON,
1242,he,PERSON,
1250,he,PERSON,
1277,Watson,PERSON,{'PERSON': 0.96255067042834}
1411,he,PERSON,
1433,him,PERSON,
1444,He,PERSON,
1456,his,PERSON,
1468,Mr. Holmes,PERSON,
1513,Helen Stoner,PERSON,{'PERSON': 0.99998145846405}
1534,Saxon,PERSON,{'PERSON': 0.50077666658046}
1537,England,LOCATION,{'LOCATION': 0.99993832281452}
1543,Moran,PERSON,{'PERSON': 0.46208450516447}
1550,Surrey,LOCATION,{'LOCATION': 0.91667958350167}
1553,Holmes,PERSON,{'PERSON': 0.99525802934627}
1555,his,PERSON,
1568,he,PERSON,
1581,England,LOCATION,{'LOCATION': 0.99988472974671}
1591,Berkshire,ORGANIZATION,{'ORGANIZATION': 0.5731354658729}
1597,Hampshire,LOCATION,{'LOCATION': 0.94563884107081}
1604,last century,DATE,{'DATE': 0.94704962829732}
1723,Calcutta,LOCATION,{'LOCATION': 0.99847956286742}
1672,his,PERSON,
1686,his,PERSON,
1695,he,PERSON,
1713,him,PERSON,
