docTokenBegin,text,ner,nerConfidences
0,Holmes,PERSON,{'PERSON': 0.98449362985084}
12,him,PERSON,
22,his,PERSON,
29,he,PERSON,
66,he,PERSON,
76,Watson,PERSON,{'PERSON': 0.99721420760229}
86,Old Jewry,LOCATION,{'LOCATION': 0.56602262350558}
89,Nov. 19th,DATE,{'DATE': 0.997600991167}
99,Mr. Robert Ferguson,PERSON,
104,Ferguson,PERSON,{'PERSON': 0.86338551924868}
106,Muirhead,PERSON,{'PERSON': 0.96206348775337}
112,Mincing Lane,LOCATION,{'LOCATION': 0.30867952082651}
153,Mr. Ferguson,PERSON,
177,Matilda Briggs,PERSON,{'PERSON': 0.77390368175728}
188,Morrison,PERSON,{'PERSON': 0.80050407822674}
190,Morrison,PERSON,{'PERSON': 0.86192341690833}
193,Dodd,PERSON,{'PERSON': 0.68508586712273}
200,Matilda Briggs,PERSON,{'PERSON': 0.86507614792247}
211,Watson,PERSON,{'PERSON': 0.91160449744604}
215,Holmes,PERSON,{'PERSON': 0.98234069599034}
234,Sumatra,LOCATION,{'LOCATION': 0.85052749933389}
290,Watson,PERSON,{'PERSON': 0.72535147008954}
313,he,PERSON,
316,Holmes,PERSON,{'PERSON': 0.94547855068841}
320,his,PERSON,
324,his,PERSON,
350,Gloria Scott,PERSON,{'PERSON': 0.9567376026471}
354,he,PERSON,
376,Watson,PERSON,{'PERSON': 0.97179407580148}
389,Victor Lynch,PERSON,{'PERSON': 0.97852639107751}
405,Vittoria,PERSON,{'PERSON': 0.72967690230194}
411,Vanderbilt,ORGANIZATION,{'ORGANIZATION': 0.75445633487403}
414,Yeggman,MISC,{'MISC': 0.63674628951347}
421,Hammersmith,LOCATION,{'LOCATION': 0.97520353992703}
442,Watson,PERSON,{'PERSON': 0.96754557763597}
446,Hungary,LOCATION,{'LOCATION': 0.99897029415427}
453,Transylvania,LOCATION,{'LOCATION': 0.99885880078603}
456,He,PERSON,
470,he,PERSON,
483,Rubbish,MISC,{'MISC': 0.48161974005956}
485,Watson,PERSON,{'PERSON': 0.89750531138026}
573,Watson,PERSON,{'PERSON': 0.96860747441216}
