docTokenBegin,text,ner,nerConfidences
10,Mr. Sherlock Holmes,PERSON,
29,Three Gables,LOCATION,{'LOCATION': 0.4800562495057}
36,Holmes,PERSON,{'PERSON': 0.94976368098365}
50,his,PERSON,
56,He,PERSON,
87,he,PERSON,
92,his,PERSON,
95,his,PERSON,
142,He,PERSON,
150,he,PERSON,
157,he,PERSON,
175,His,PERSON,
186,his,PERSON,
217,Masser Holmes,PERSON,{'PERSON': 0.99698096306364}
221,he,PERSON,
224,Holmes,PERSON,{'PERSON': 0.99681051387085}
226,his,PERSON,
266,Masser Holmes,PERSON,{'PERSON': 0.99765836566452}
291,Masser Holmes,PERSON,{'PERSON': 0.99953624988997}
302,Holmes,PERSON,{'PERSON': 0.98905135726111}
368,Masser Holmes,PERSON,{'PERSON': 0.99782853511504}
372,He,PERSON,
387,Holmes,PERSON,{'PERSON': 0.96665271826852}
405,he,PERSON,
471,he,PERSON,
482,Harrow,PERSON,{'PERSON': 0.7319899940698}
493,he,PERSON,
555,Holmes,PERSON,{'PERSON': 0.97481401513953}
581,Steve Dixie,PERSON,{'PERSON': 0.99026496485278}
594,Masser Holmes,PERSON,{'PERSON': 0.9990310483891}
626,Holmes,PERSON,{'PERSON': 0.980824513204}
644,Perkins,PERSON,{'PERSON': 0.96718517990505}
647,Holborn Bar,LOCATION,{'LOCATION': 0.93435029761494}
659,negro,MISC,{'MISC': 0.7107306016908}
665,his,PERSON,
682,he,PERSON,
696,Masser Holmes,PERSON,{'PERSON': 0.99881358090117}
708,Birmingham,LOCATION,{'LOCATION': 0.99871920376802}
730,Steve,PERSON,{'PERSON': 0.97489424679157}
734,Holmes,PERSON,{'PERSON': 0.97898476146229}
743,Barney Stockdale,PERSON,{'PERSON': 0.90435905399287}
754,Masser Holmes,PERSON,{'PERSON': 0.98664669038612}
785,Masser Holmes,PERSON,{'PERSON': 0.99691319870508}
828,Masser Holmes,PERSON,{'PERSON': 0.99768133809608}
851,him,PERSON,
866,Masser Holmes,PERSON,{'PERSON': 0.98134061553506}
874,Steve,PERSON,{'PERSON': 0.85279093613618}
879,Mr. Holmes,PERSON,
894,Harrow,PERSON,{'PERSON': 0.63265019937685}
869,He,PERSON,
884,him,PERSON,
885,his,PERSON,
891,he,PERSON,
923,he,PERSON,
927,Holmes,PERSON,{'PERSON': 0.99041465370938}
933,his,PERSON,
954,Watson,PERSON,{'PERSON': 0.9658642375671}
950,his,PERSON,
965,he,PERSON,
997,John,PERSON,{'PERSON': 0.85207944882815}
991,He,PERSON,
1023,Barney,PERSON,{'PERSON': 0.61525083625912}
1019,His,PERSON,
1077,Harrow Weald,PERSON,{'PERSON': 0.60384059350615}
1135,Mrs. Maberley,PERSON,
1150,her,PERSON,
1159,Mr. Sherlock Holmes,PERSON,
1213,Weald Station,LOCATION,{'LOCATION': 0.73644717812495}
1223,Mortimer Maberley,PERSON,{'PERSON': 0.99980806838506}
1236,Mary Maberley,PERSON,{'PERSON': 0.99821728934808}
1258,Holmes,PERSON,{'PERSON': 0.98964266940932}
1271,Watson,PERSON,{'PERSON': 0.84118521026666}
1398,Holmes,PERSON,{'PERSON': 0.96754963533306}
1407,he,PERSON,
1430,Douglas,PERSON,{'PERSON': 0.99020297681675}
1433,Holmes,PERSON,{'PERSON': 0.98132139570547}
1436,her,PERSON,
1450,Douglas Maberley,PERSON,{'PERSON': 0.99459463254571}
1455,him,PERSON,
1462,London,LOCATION,{'LOCATION': 0.94571468661231}
1464,him,PERSON,
1470,he,PERSON,
1475,he,PERSON,
1482,Mr. Holmes,PERSON,
1491,Rome,LOCATION,{'LOCATION': 0.99895716054369}
1487,He,PERSON,
1494,he,PERSON,
1527,He,PERSON,
1534,him,PERSON,
1541,Mr. Holmes,PERSON,
1549,him,PERSON,
1553,him,PERSON,
1555,he,PERSON,
1575,he,PERSON,
1578,His,PERSON,
1636,Mr. Holmes,PERSON,
1642,Watson,PERSON,{'PERSON': 0.99994760141149}
1702,he,PERSON,
1708,He,PERSON,
1719,his,PERSON,
1764,he,PERSON,
1782,He,PERSON,
1793,his,PERSON,
1844,he,PERSON,
1899,Mr. Sutro,PERSON,
1908,Harrow,LOCATION,{'LOCATION': 0.84332858979842}
1910,He,PERSON,
1957,evening,TIME,{'TIME': 0.56421223806857}
1985,he,PERSON,
2032,he,PERSON,
2034,his,PERSON,
2037,his,PERSON,
2050,him,PERSON,
2095,Holmes,PERSON,{'PERSON': 0.99485434651654}
2097,his,PERSON,
2103,he,PERSON,
2122,he,PERSON,
2129,She,PERSON,
2162,she,PERSON,
2168,Susan,PERSON,{'PERSON': 0.99385920299571}
2210,her,PERSON,
2233,Susan,PERSON,{'PERSON': 0.98888047048332}
2250,Susan,PERSON,{'PERSON': 0.99828238781201}
2258,her,PERSON,
2299,Mrs. Maberley,PERSON,
2321,Mr. Holmes,PERSON,
2337,Susan,PERSON,{'PERSON': 0.99756363519649}
2346,Susan,PERSON,{'PERSON': 0.99536662338143}
2386,Susan,PERSON,{'PERSON': 0.99399466638902}
2414,Susan,PERSON,{'PERSON': 0.96303310272935}
2418,her,PERSON,
2468,Barney Stockdale,PERSON,{'PERSON': 0.97847516674999}
2477,Holmes,PERSON,{'PERSON': 0.98770483246369}
2509,Susan,PERSON,{'PERSON': 0.99417455913971}
2530,Barney,LOCATION,{'LOCATION': 0.52121770603091}
2601,Susan,PERSON,{'PERSON': 0.99583806251503}
2633,She,PERSON,
2644,Susan,PERSON,{'PERSON': 0.99861498080623}
2654,he,PERSON,
2702,Susan,PERSON,{'PERSON': 0.9982250017599}
2707,Barney,PERSON,{'PERSON': 0.37154553354731}
2709,Barney,PERSON,{'PERSON': 0.78054173896964}
2731,Susan,PERSON,{'PERSON': 0.9895976262208}
2715,his,PERSON,
2721,he,PERSON,
2723,she,PERSON,
2735,she,PERSON,
2746,Steve,PERSON,{'PERSON': 0.96113895523978}
2801,Ferguson,PERSON,{'PERSON': 0.93771131337141}
2808,him,PERSON,
2825,he,PERSON,
2844,Post-Office,LOCATION,{'LOCATION': 0.54738029056852}
2893,Raphael,PERSON,{'PERSON': 0.6197834764831}
2917,Crown Derby,MISC,{'MISC': 0.64103054717602}
3018,Watson,PERSON,{'PERSON': 0.99996234635554}
3030,Mr. Holmes,PERSON,
3145,Holmes,PERSON,{'PERSON': 0.9812962941426}
3150,Mrs. Maberley,PERSON,
3210,Mr. Sutro,PERSON,
3227,Susan,PERSON,{'PERSON': 0.99214219636359}
3325,his,PERSON,
3347,him,PERSON,
3401,Holmes,PERSON,{'PERSON': 0.94068137835264}
