docTokenBegin,text,ner,nerConfidences
20,Mr. Sherlock Holmes,PERSON,
171,Sherlock Holmes,PERSON,{'PERSON': 0.99831949526833}
180,English,MISC,{'MISC': 0.99998016991372}
217,Mr. Hilton Soames,PERSON,
226,College of St. Luke,ORGANIZATION,{'ORGANIZATION': 0.59500492297074}
232,Mr. Soames,PERSON,
252,him,PERSON,
257,his,PERSON,
265,he,PERSON,
288,Mr. Holmes,PERSON,
312,St. Luke,ORGANIZATION,{'ORGANIZATION': 0.79608008114413}
460,Mr. Holmes,PERSON,
487,Baker Street,LOCATION,{'LOCATION': 0.99167483190148}
478,he,PERSON,
491,his,PERSON,
496,his,PERSON,
500,his,PERSON,
504,he,PERSON,
510,He,PERSON,
512,his,PERSON,
531,his,PERSON,
541,Mr. Holmes,PERSON,
570,Greek,MISC,{'MISC': 0.999913879701}
584,Greek,MISC,{'MISC': 0.99999013874113}
724,Mr. Holmes,PERSON,
809,Bannister,PERSON,{'PERSON': 0.95598267890792}
838,his,PERSON,
841,he,PERSON,
855,he,PERSON,
866,he,PERSON,
870,His,PERSON,
888,His,PERSON,
984,Holmes,PERSON,{'PERSON': 0.98970372829833}
1014,he,PERSON,
1019,Mr. Holmes,PERSON,
1050,Bannister,PERSON,{'PERSON': 0.99352716710493}
1061,He,PERSON,
1077,he,PERSON,
1148,his,PERSON,
1152,Bannister,PERSON,{'PERSON': 0.99440161997417}
1161,He,PERSON,
1179,him,PERSON,
1185,him,PERSON,
1212,his,PERSON,
1260,his,PERSON,
1281,Holmes,PERSON,{'PERSON': 0.99794309191385}
1286,his,PERSON,
1291,his,PERSON,
1338,Bannister,PERSON,{'PERSON': 0.98417054959309}
1427,his,PERSON,
1470,Mr. Holmes,PERSON,
1527,University,ORGANIZATION,{'ORGANIZATION': 0.74165317347337}
1564,Holmes,PERSON,{'PERSON': 0.95704172009777}
1570,his,PERSON,
1602,Daulat Ras,PERSON,{'PERSON': 0.99905891158425}
1606,Indian,MISC,{'MISC': 0.99999895442259}
1630,he,PERSON,
1712,Bannister,PERSON,{'PERSON': 0.9952450487244}
1730,Bannister,PERSON,{'PERSON': 0.97963426165144}
1735,He,PERSON,
1745,him,PERSON,
1787,Mr. Soames,PERSON,
1793,Indian,MISC,{'MISC': 0.9999949528617}
1828,Holmes,PERSON,{'PERSON': 0.98724989571929}
1839,he,PERSON,
1853,Watson,PERSON,{'PERSON': 0.93202269836358}
1871,Mr. Soames,PERSON,
1952,Holmes,PERSON,{'PERSON': 0.97837891465347}
1962,he,PERSON,
1972,his,PERSON,
1976,he,PERSON,
1983,He,PERSON,
2012,Holmes,PERSON,{'PERSON': 0.98582508246981}
2015,he,PERSON,
2022,he,PERSON,
2056,his,PERSON,
2065,Holmes,PERSON,{'PERSON': 0.96068398939084}
2085,he,PERSON,
2110,him,PERSON,
2186,He,PERSON,
2198,he,PERSON,
2228,Soames,PERSON,{'PERSON': 0.99226518401135}
2222,he,PERSON,
2254,his,PERSON,
2272,he,PERSON,
2279,he,PERSON,
2288,him,PERSON,
2308,he,PERSON,
2317,He,PERSON,
2328,him,PERSON,
2340,he,PERSON,
2353,he,PERSON,
2391,he,PERSON,
2396,he,PERSON,
2398,his,PERSON,
2418,Watson,PERSON,{'PERSON': 0.87077792768991}
2477,Mr. Soames,PERSON,
2491,he,PERSON,
2507,Mr. Soames,PERSON,
2542,Holmes,PERSON,{'PERSON': 0.8352521779329}
2528,he,PERSON,
2577,Watson,PERSON,{'PERSON': 0.90149651408911}
2610,Johann Faber,PERSON,{'PERSON': 0.99899472597642}
2638,Johann,PERSON,{'PERSON': 0.93687088803298}
2641,He,PERSON,
2662,he,PERSON,
2791,Mr. Soames,PERSON,
2891,he,PERSON,
2918,Holmes,PERSON,{'PERSON': 0.99606203458385}
2933,his,PERSON,
2937,he,PERSON,
2968,Holmes,PERSON,{'PERSON': 0.98985253191746}
2987,he,PERSON,
3013,Holmes,PERSON,{'PERSON': 0.96844518469028}
