docTokenBegin,text,ner,nerConfidences
4,Mr. John Scott Eccles,PERSON,
27,March in the year 1892,DATE,{'DATE': 0.98677111023719}
33,Holmes,PERSON,{'PERSON': 0.98152588965934}
46,he,PERSON,
52,He,PERSON,
62,his,PERSON,
66,he,PERSON,
80,his,PERSON,
93,he,PERSON,
102,his,PERSON,
109,Watson,PERSON,{'PERSON': 0.84353583957515}
124,he,PERSON,
147,He,PERSON,
149,his,PERSON,
166,he,PERSON,
288,He,PERSON,
310,Scott Eccles,PERSON,{'PERSON': 0.99948685555497}
314,Post Office,ORGANIZATION,{'ORGANIZATION': 0.60250855719987}
317,Charing Cross,ORGANIZATION,{'ORGANIZATION': 0.96903440614596}
349,She,PERSON,
359,him,PERSON,
365,Watson,PERSON,{'PERSON': 0.97815247514614}
379,Carruthers,PERSON,{'PERSON': 0.94899660841094}
498,His,PERSON,
504,his,PERSON,
512,his,PERSON,
515,his,PERSON,
520,he,PERSON,
546,his,PERSON,
554,his,PERSON,
558,his,PERSON,
565,his,PERSON,
571,He,PERSON,
575,his,PERSON,
589,Mr. Holmes,PERSON,
594,he,PERSON,
626,He,PERSON,
631,his,PERSON,
639,Mr. Scott Eccles,PERSON,
645,Holmes,PERSON,{'PERSON': 0.98050561610893}
762,Holmes,PERSON,{'PERSON': 0.95902705546309}
765,his,PERSON,
778,he,PERSON,
817,his,PERSON,
822,his,PERSON,
831,Mr. Holmes,PERSON,
884,Mr. Garcia,PERSON,
900,Wisteria Lodge,LOCATION,{'LOCATION': 0.59092960351717}
913,Holmes,PERSON,{'PERSON': 0.96867286340849}
925,Watson,PERSON,{'PERSON': 0.99969738993303}
934,his,PERSON,
993,his,PERSON,
1008,Mr. Holmes,PERSON,
1063,his,PERSON,
1078,Mrs. Hudson,PERSON,
1104,Gregson,PERSON,{'PERSON': 0.99696566979692}
1106,Scotland Yard,LOCATION,{'LOCATION': 0.61776037842049}
1117,his,PERSON,
1128,Holmes,PERSON,{'PERSON': 0.99545953506354}
1135,Baynes,PERSON,{'PERSON': 0.95398793664739}
1139,Surrey,LOCATION,{'ORGANIZATION': 0.8776850898618}
1140,Constabulary,ORGANIZATION,{'ORGANIZATION': 0.84457912376353}
1124,He,PERSON,
1131,his,PERSON,
1148,Mr. Holmes,PERSON,
1160,He,PERSON,
1162,his,PERSON,
1172,Mr. John Scott Eccles,PERSON,
1178,Popham House,ORGANIZATION,{'ORGANIZATION': 0.95932518338693}
1181,Lee,LOCATION,{'PERSON': 0.98662599844884}
1214,Holmes,PERSON,{'PERSON': 0.99030295501809}
1204,him,PERSON,
1219,Mr. Holmes,PERSON,
1228,Charing Cross Post-Office,ORGANIZATION,{'ORGANIZATION': 0.89261757644294}
1257,Mr. Scott Eccles,PERSON,
1274,Mr. Aloysius Garcia,PERSON,
1279,Wisteria Lodge,ORGANIZATION,{'ORGANIZATION': 0.65601055126584}
1283,Esher,LOCATION,{'LOCATION': 0.7718552134361}
1301,his,PERSON,
1311,he,PERSON,
1321,he,PERSON,
1394,last night,TIME,{'TIME': 0.83578709875249}
1397,his,PERSON,
1428,Gregson,PERSON,{'PERSON': 0.95948912455367}
1432,Sherlock Holmes,PERSON,{'PERSON': 0.99943382577689}
1457,Mr. Scott Eccles,PERSON,
1466,him,PERSON,
1470,Mr. Eccles,PERSON,
1488,Watson,PERSON,{'PERSON': 0.91976679357505}
1496,him,PERSON,
1551,his,PERSON,
1564,he,PERSON,
1569,his,PERSON,
1581,he,PERSON,
1608,Melville,PERSON,{'PERSON': 0.55408050648175}
1612,Abermarle Mansion,LOCATION,{'LOCATION': 0.91955531920535}
1615,Kensington,LOCATION,{'LOCATION': 0.90497583938771}
1632,Garcia,PERSON,{'PERSON': 0.9908435494664}
1620,his,PERSON,
1641,Spanish,MISC,{'MISC': 0.99999637010671}
1634,He,PERSON,
1655,English,MISC,{'MISC': 0.99999471993284}
1652,He,PERSON,
1660,his,PERSON,
1720,Lee,LOCATION,{'PERSON': 0.57856934426781}
1695,He,PERSON,
1714,he,PERSON,
1745,Wisteria Lodge,ORGANIZATION,{'ORGANIZATION': 0.77484842407584}
1749,Esher,PERSON,{'PERSON': 0.8474947636223}
1732,his,PERSON,
1742,his,PERSON,
1758,Esher,PERSON,{'PERSON': 0.79200806304147}
1765,He,PERSON,
1768,his,PERSON,
1777,He,PERSON,
1787,his,PERSON,
1794,his,PERSON,
1801,English,MISC,{'MISC': 0.99998997059821}
1804,his,PERSON,
1807,him,PERSON,
1816,he,PERSON,
1824,he,PERSON,
1829,his,PERSON,
