docTokenBegin,text,ner,nerConfidences
7,Mr. Sherlock Holmes,PERSON,
21,him,PERSON,
54,Holmes,PERSON,{'PERSON': 0.99365413867316}
82,Watson,PERSON,{'PERSON': 0.9674063103844}
85,he,PERSON,
128,Mr. Wilson,PERSON,
151,he,PERSON,
171,his,PERSON,
187,his,PERSON,
201,Holmes,PERSON,{'PERSON': 0.97627042633655}
205,his,PERSON,
209,his,PERSON,
215,his,PERSON,
228,Watson,PERSON,{'PERSON': 0.97666235476184}
329,Miss Mary Sutherland,PERSON,
419,Mr. Jabez Wilson,PERSON,
431,this morning,TIME,{'TIME': 0.95826836482919}
547,Mr. Wilson,PERSON,
570,Watson,PERSON,{'PERSON': 0.99993502201312}
663,his,PERSON,
684,his,PERSON,
688,he,PERSON,
696,his,PERSON,
706,his,PERSON,
736,his,PERSON,
764,British,MISC,{'MISC': 0.99999734987561}
805,Albert,PERSON,{'PERSON': 0.69941993632591}
774,He,PERSON,
841,him,PERSON,
858,his,PERSON,
872,his,PERSON,
875,Sherlock Holmes,PERSON,{'PERSON': 0.99853905488271}
886,he,PERSON,
888,his,PERSON,
894,he,PERSON,
931,China,LOCATION,{'LOCATION': 0.99821296752078}
906,he,PERSON,
916,he,PERSON,
921,he,PERSON,
927,he,PERSON,
935,he,PERSON,
952,Mr. Jabez Wilson,PERSON,
958,his,PERSON,
962,his,PERSON,
969,his,PERSON,
992,Mr. Holmes,PERSON,
996,he,PERSON,
1172,China,LOCATION,{'LOCATION': 0.9985221004482}
1193,China,LOCATION,{'LOCATION': 0.99870548244061}
1231,China,LOCATION,{'LOCATION': 0.99632247776937}
1241,Chinese,MISC,{'MISC': 0.99999919063218}
1258,Mr. Jabez Wilson,PERSON,
1272,he,PERSON,
1306,Watson,PERSON,{'PERSON': 0.93182694152063}
1310,Holmes,PERSON,{'PERSON': 0.98140490649175}
1358,Mr. Wilson,PERSON,
1372,he,PERSON,
1375,his,PERSON,
1421,Red-headed League,MISC,{'MISC': 0.99734986263409}
1434,Ezekiah Hopkins,PERSON,{'ORGANIZATION': 0.69928385261903}
1438,Lebanon,LOCATION,{'LOCATION': 0.99719751304823}
1440,Pennsylvania,LOCATION,{'LOCATION': 0.99970686335712}
1442,U. S. A.,PERSON,{'PERSON': 0.73629389531151}
1458,League,MISC,{'MISC': 0.99069347906651}
1412,him,PERSON,
1501,Monday,DATE,{'DATE': 0.99852669842049}
1508,Duncan Ross,PERSON,{'PERSON': 0.99813600043474}
1516,League,MISC,{'MISC': 0.8768786463291}
1519,Pope's Court,ORGANIZATION,{'ORGANIZATION': 0.37828914788382}
1523,Fleet Street,LOCATION,
1548,Holmes,PERSON,{'PERSON': 0.98196161120689}
1553,his,PERSON,
1558,his,PERSON,
1581,he,PERSON,
1587,Mr. Wilson,PERSON,
1640,"April 27, 1890",DATE,{'DATE': 0.9942268172997}
1646,two months ago,DATE,{'DATE': 0.91506344205154}
1657,Mr. Wilson,PERSON,
1674,Mr. Sherlock Holmes,PERSON,
1680,Jabez Wilson,PERSON,{'PERSON': 0.9997479201232}
1696,Coburg Square,LOCATION,{'LOCATION': 0.99736013085294}
1684,his,PERSON,
1752,him,PERSON,
1755,he,PERSON,
1783,Sherlock Holmes,PERSON,{'PERSON': 0.99858167883493}
1790,Vincent Spaulding,PERSON,{'PERSON': 0.99997156869283}
1787,His,PERSON,
1794,he,PERSON,
1808,his,PERSON,
1819,Mr. Holmes,PERSON,
1828,he,PERSON,
1841,him,PERSON,
1849,he,PERSON,
1859,his,PERSON,
1924,Mr. Wilson,PERSON,
1915,he,PERSON,
1917,his,PERSON,
1942,he,PERSON,
1947,his,PERSON,
1965,his,PERSON,
1970,his,PERSON,
1978,he,PERSON,
1989,him,PERSON,
1993,He,PERSON,
2008,He,PERSON,
2091,Spaulding,PERSON,{'PERSON': 0.91733594527873}
2125,Mr. Wilson,PERSON,
2093,he,PERSON,
2110,his,PERSON,
2114,he,PERSON,
2162,League of the Red-headed,MISC,{'MISC': 0.99987662657249}
2153,he,PERSON,
