docTokenBegin,text,ner,nerConfidences
45,his,PERSON,
49,his,PERSON,
61,his,PERSON,
71,he,PERSON,
74,his,PERSON,
79,his,PERSON,
82,his,PERSON,
91,he,PERSON,
125,he,PERSON,
150,Adventure of the Musgrave Ritual,MISC,{'MISC': 0.79935512141975}
176,Sherlock Holmes,PERSON,{'PERSON': 0.99918273233184}
200,he,PERSON,
209,his,PERSON,
218,he,PERSON,
231,he,PERSON,
247,he,PERSON,
255,he,PERSON,
269,his,PERSON,
278,his,PERSON,
296,he,PERSON,
302,he,PERSON,
329,spring,DATE,{'DATE': 0.90116686025414}
330,he,PERSON,
414,Baker Street,LOCATION,{'LOCATION': 0.9889892452177}
433,he,PERSON,
452,Holmes,PERSON,{'PERSON': 0.91748288420542}
467,he,PERSON,
489,him,PERSON,
498,he,PERSON,
507,he,PERSON,
518,He,PERSON,
535,he,PERSON,
553,him,PERSON,
557,he,PERSON,
564,he,PERSON,
580,his,PERSON,
618,he,PERSON,
632,he,PERSON,
635,he,PERSON,
646,him,PERSON,
662,Holmes,PERSON,{'PERSON': 0.98580327993009}
679,Watson,PERSON,{'PERSON': 0.95756951979077}
718,He,PERSON,
722,his,PERSON,
724,him,PERSON,
752,London,LOCATION,{'LOCATION': 0.99915381824874}
768,he,PERSON,
774,his,PERSON,
781,him,PERSON,
783,he,PERSON,
795,he,PERSON,
876,he,PERSON,
903,Holmes,PERSON,{'PERSON': 0.99338482182113}
910,his,PERSON,
918,his,PERSON,
923,He,PERSON,
932,his,PERSON,
961,he,PERSON,
1010,his,PERSON,
1038,he,PERSON,
1040,his,PERSON,
1050,his,PERSON,
1080,Grosvenor,MISC,{'MISC': 0.6614560330763}
1088,Holmes,PERSON,{'PERSON': 0.9924284518341}
1066,he,PERSON,
1096,his,PERSON,
1101,he,PERSON,
1112,he,PERSON,
1129,He,PERSON,
1137,his,PERSON,
1180,his,PERSON,
1215,he,PERSON,
1274,he,PERSON,
1278,his,PERSON,
1310,him,PERSON,
1323,his,PERSON,
1345,He,PERSON,
1366,his,PERSON,
1373,him,PERSON,
1379,he,PERSON,
1394,he,PERSON,
1438,He,PERSON,
1440,his,PERSON,
1443,his,PERSON,
1481,Holmes,PERSON,{'PERSON': 0.97458112965246}
1484,his,PERSON,
1601,He,PERSON,
1625,him,PERSON,
1629,his,PERSON,
1635,his,PERSON,
1648,he,PERSON,
1716,Mr. Grant Munro,PERSON,
1722,Holmes,PERSON,{'PERSON': 0.83755520124564}
1728,his,PERSON,
1735,he,PERSON,
1756,Holmes,PERSON,{'PERSON': 0.97973690964436}
1874,his,PERSON,
1877,his,PERSON,
1882,he,PERSON,
1897,he,PERSON,
1913,his,PERSON,
1920,his,PERSON,
1935,his,PERSON,
1948,he,PERSON,
1957,Mr. Holmes,PERSON,
1962,he,PERSON,
2025,last Monday,DATE,{'DATE': 0.99960610462425}
2046,her,PERSON,
2050,her,PERSON,
2060,she,PERSON,
2102,Mr. Holmes,PERSON,
2105,Effie,PERSON,{'PERSON': 0.97564348695575}
2119,She,PERSON,
2123,her,PERSON,
2162,him,PERSON,
2193,Mr. Munro,PERSON,
2198,Holmes,PERSON,{'PERSON': 0.94432351384291}
2213,Effie,PERSON,{'PERSON': 0.98170712089339}
2217,She,PERSON,
2224,her,PERSON,
2241,Hebron,LOCATION,{'LOCATION': 0.53563142979926}
2236,Her,PERSON,
2247,America,LOCATION,{'LOCATION': 0.99290488403258}
2259,Atlanta,LOCATION,{'LOCATION': 0.99998121197291}
2265,Hebron,LOCATION,{'LOCATION': 0.76502437480198}
2243,She,PERSON,
2249,she,PERSON,
2262,she,PERSON,
2304,his,PERSON,
2312,America,LOCATION,{'LOCATION': 0.98020747830027}
2325,Pinner,PERSON,{'PERSON': 0.53243983869498}
2328,Middlesex,LOCATION,{'LOCATION': 0.97525467551183}
2310,her,PERSON,
2315,she,PERSON,
2334,her,PERSON,
2338,her,PERSON,
2344,she,PERSON,
2363,him,PERSON,
2381,Pinner,PERSON,{'PERSON': 0.7307232781968}
2374,She,PERSON,
2385,her,PERSON,
2440,Norbury,PERSON,{'PERSON': 0.52846249161119}
2513,summer,DATE,{'DATE': 0.96448771489255}
2580,her,PERSON,
2607,she,PERSON,
2624,she,PERSON,
2631,Jack,PERSON,{'PERSON': 0.96186722051076}
2635,she,PERSON,
2681,she,PERSON,
2716,she,PERSON,
2737,she,PERSON,
2740,her,PERSON,
2823,Jack,PERSON,{'PERSON': 0.99751211976353}
2854,her,PERSON,
3022,Well,MISC,{'MISC': 0.7106219163893}
3025,Monday,DATE,{'DATE': 0.99346875694576}
3026,evening,TIME,{'TIME': 0.66653537628456}
3134,Mr. Holmes,PERSON,
3364,Northern,MISC,{'MISC': 0.79003646192427}
3359,she,PERSON,
3429,she,PERSON,
3496,she,PERSON,
3511,she,PERSON,
3527,her,PERSON,
3545,she,PERSON,
3645,her,PERSON,
3648,her,PERSON,
3679,her,PERSON,
3695,She,PERSON,
3713,her,PERSON,
3718,She,PERSON,
3732,she,PERSON,
3734,her,PERSON,
3740,she,PERSON,
3754,she,PERSON,
3818,morning,TIME,{'TIME': 0.57018236063246}
3893,her,PERSON,
3910,Effie,PERSON,{'PERSON': 0.99640711034743}
3916,she,PERSON,
3920,She,PERSON,
3979,her,PERSON,
3982,her,PERSON,
3992,her,PERSON,
3997,her,PERSON,
4004,Jack,PERSON,{'PERSON': 0.98663023436718}
4007,she,PERSON,
4054,she,PERSON,
4061,her,PERSON,
4066,she,PERSON,
4071,her,PERSON,
4153,she,PERSON,
4159,she,PERSON,
4168,her,PERSON,
4173,her,PERSON,
4183,she,PERSON,
4233,she,PERSON,
4258,her,PERSON,
4262,she,PERSON,
4300,City that day,DATE,{'DATE': 0.76868335771477}
4342,she,PERSON,
4348,she,PERSON,
4353,her,PERSON,
4358,she,PERSON,
4361,her,PERSON,
4407,Crystal Palace,ORGANIZATION,{'ORGANIZATION': 0.57403897008448}
4421,Norbury,PERSON,{'PERSON': 0.49180354523569}
4482,Mr. Holmes,PERSON,
4507,her,PERSON,
4520,her,PERSON,
4527,She,PERSON,
4553,she,PERSON,
4570,her,PERSON,
4577,Jack,PERSON,{'PERSON': 0.99889679292122}
4580,she,PERSON,
4612,Jack,PERSON,{'PERSON': 0.99519895412081}
4649,she,PERSON,
4749,Jack,PERSON,{'PERSON': 0.99893802363006}
4757,she,PERSON,
4772,she,PERSON,
4794,Jack,PERSON,{'PERSON': 0.99875851447547}
4797,she,PERSON,
4834,her,PERSON,
4837,she,PERSON,
4852,Jack,PERSON,{'PERSON': 0.99393039996226}
4855,she,PERSON,
4941,her,PERSON,
4944,her,PERSON,
5061,she,PERSON,
5100,she,PERSON,
5160,her,PERSON,
5216,she,PERSON,
5236,her,PERSON,
5244,her,PERSON,
5252,her,PERSON,
5255,her,PERSON,
5258,her,PERSON,
5320,she,PERSON,
5329,she,PERSON,
5348,she,PERSON,
5418,her,PERSON,
5685,three months ago,DATE,{'DATE': 0.78329007166932}
5746,her,PERSON,
5751,her,PERSON,
5761,She,PERSON,
5785,Jack,PERSON,{'PERSON': 0.99909808688761}
5789,she,PERSON,
5826,Jack,PERSON,{'PERSON': 0.99578506674893}
5833,she,PERSON,
5882,her,PERSON,
5893,Mr. Holmes,PERSON,
5901,her,PERSON,
6021,Holmes,PERSON,{'PERSON': 0.983703168763}
6066,his,PERSON,
6069,his,PERSON,
6082,he,PERSON,
6207,her,PERSON,
6221,Atlanta,LOCATION,{'LOCATION': 0.99796780004848}
6225,his,PERSON,
6230,her,PERSON,
6239,she,PERSON,
6257,she,PERSON,
6277,America,LOCATION,{'LOCATION': 0.99120607147378}
6275,her,PERSON,
6286,she,PERSON,
6395,Norbury,PERSON,{'PERSON': 0.8490927404687}
6524,Watson,PERSON,{'PERSON': 0.92257649305417}
6536,Mr. Grant Munro,PERSON,
6532,he,PERSON,
6608,her,PERSON,
6611,his,PERSON,
6618,Watson,PERSON,{'PERSON': 0.95192882904661}
6699,her,PERSON,
6703,her,PERSON,
6729,America,LOCATION,{'LOCATION': 0.98704991059837}
6731,Her,PERSON,
6743,he,PERSON,
6766,England,LOCATION,{'LOCATION': 0.99972209611679}
6757,She,PERSON,
6760,him,PERSON,
6769,her,PERSON,
6774,her,PERSON,
6778,she,PERSON,
6783,She,PERSON,
6793,her,PERSON,
6801,her,PERSON,
6811,she,PERSON,
6817,her,PERSON,
6822,her,PERSON,
6856,her,PERSON,
6858,She,PERSON,
6898,she,PERSON,
6906,her,PERSON,
6909,She,PERSON,
6912,her,PERSON,
6919,she,PERSON,
6929,her,PERSON,
6937,she,PERSON,
6944,her,PERSON,
6947,her,PERSON,
6950,he,PERSON,
6956,she,PERSON,
6960,She,PERSON,
6962,him,PERSON,
6987,her,PERSON,
6990,she,PERSON,
6998,her,PERSON,
7007,her,PERSON,
7035,he,PERSON,
7073,he,PERSON,
7096,this evening,TIME,{'TIME': 0.6890781487784}
7093,he,PERSON,
7163,Norbury,PERSON,{'PERSON': 0.42179379969938}
7227,He,PERSON,
7250,he,PERSON,
7266,Mr. Holmes,PERSON,
7271,he,PERSON,
7274,his,PERSON,
7316,Holmes,PERSON,{'PERSON': 0.97952218427964}
7319,he,PERSON,
7483,Mr. Grant Munro,PERSON,
7496,him,PERSON,
7512,he,PERSON,
7545,he,PERSON,
7607,Grant Munro,PERSON,{'PERSON': 0.99222820669772}
7664,her,PERSON,
7671,her,PERSON,
7690,Jack,PERSON,{'PERSON': 0.87497802977106}
7693,she,PERSON,
7705,this evening,TIME,{'TIME': 0.61621053794501}
7738,Effie,PERSON,{'PERSON': 0.9582093851005}
7741,he,PERSON,
7772,He,PERSON,
7774,her,PERSON,
7784,him,PERSON,
7787,he,PERSON,
7800,him,PERSON,
7805,his,PERSON,
7809,he,PERSON,
7811,her,PERSON,
7825,Grant Munro,PERSON,{'PERSON': 0.90637984219531}
7840,his,PERSON,
7885,Her,PERSON,
7899,she,PERSON,
7909,she,PERSON,
7917,she,PERSON,
7935,she,PERSON,
7964,Holmes,PERSON,{'PERSON': 0.92362836021972}
7971,his,PERSON,
7984,her,PERSON,
7998,her,PERSON,
8022,Grant Munro,PERSON,{'PERSON': 0.99485757913381}
8018,her,PERSON,
8028,his,PERSON,
8031,his,PERSON,
8039,he,PERSON,
8108,Atlanta,LOCATION,{'LOCATION': 0.99860438037067}
8120,She,PERSON,
8127,her,PERSON,
8152,spring,DATE,{'DATE': 0.72961713122512}
8149,She,PERSON,
8184,African,MISC,{'MISC': 0.99988787656888}
8180,his,PERSON,
8183,his,PERSON,
8190,John Hebron,PERSON,{'PERSON': 0.99615909123784}
8194,Atlanta,LOCATION,{'LOCATION': 0.99426240618736}
8222,him,PERSON,
8228,he,PERSON,
8248,his,PERSON,
8264,Lucy,PERSON,{'PERSON': 0.95736515532829}
8270,her,PERSON,
8279,she,PERSON,
8288,her,PERSON,
8317,America,LOCATION,{'LOCATION': 0.99854573811073}
8315,her,PERSON,
8320,she,PERSON,
8328,her,PERSON,
8339,her,PERSON,
8342,She,PERSON,
8369,her,PERSON,
8383,Jack,PERSON,{'PERSON': 0.9982536746428}
8449,her,PERSON,
8471,her,PERSON,
8534,her,PERSON,
8542,she,PERSON,
8559,her,PERSON,
8570,her,PERSON,
8586,her,PERSON,
8598,her,PERSON,
8777,She,PERSON,
8779,her,PERSON,
8794,Grant Munro,PERSON,{'PERSON': 0.95840057724624}
8802,his,PERSON,
8815,He,PERSON,
8822,her,PERSON,
8829,her,PERSON,
8831,he,PERSON,
8833,his,PERSON,
8838,his,PERSON,
8859,he,PERSON,
8870,Effie,PERSON,{'PERSON': 0.99220646013414}
8891,Holmes,PERSON,{'PERSON': 0.99492096110211}
8929,London,LOCATION,{'LOCATION': 0.99872929690648}
8932,Norbury,PERSON,{'PERSON': 0.68101626095031}
8918,he,PERSON,
8945,late that night,TIME,{'TIME': 0.8637384595648}
8939,he,PERSON,
8950,he,PERSON,
8956,his,PERSON,
8961,his,PERSON,
8965,Watson,PERSON,{'PERSON': 0.91544150362656}
9003,Norbury,PERSON,{'PERSON': 0.63395877513172}
8969,he,PERSON,
