lemma,pos,ner
in,IN,O
the,DT,O
third,JJ,DATE
week,NN,DATE
of,IN,DATE
November,NNP,DATE
",",",",O
in,IN,O
the,DT,O
year,NN,O
1895,CD,DATE
",",",",O
a,DT,O
dense,JJ,O
yellow,JJ,O
fog,NN,O
settle,VBD,O
down,RP,O
upon,IN,O
London,NNP,LOCATION
.,.,O
from,IN,O
the,DT,O
Monday,NNP,DATE
to,IN,O
the,DT,O
Thursday,NNP,DATE
I,PRP,O
doubt,VBP,O
whether,IN,O
it,PRP,O
be,VBD,O
ever,RB,O
possible,JJ,O
from,IN,O
we,PRP$,O
window,NNS,O
in,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
to,TO,O
see,VB,O
the,DT,O
loom,VB,O
of,IN,O
the,DT,O
opposite,JJ,O
house,NNS,O
.,.,O
the,DT,O
first,JJ,O
day,NN,O
Holmes,NNP,PERSON
have,VBD,O
spend,VBN,O
in,IN,O
cross-index,VBG,O
he,PRP$,O
huge,JJ,O
book,NN,O
of,IN,O
reference,NNS,O
.,.,O
the,DT,O
second,JJ,O
and,CC,O
third,JJ,O
have,VBD,O
be,VBN,O
patiently,RB,O
occupy,VBN,O
upon,IN,O
a,DT,O
subject,NN,O
which,WDT,O
he,PRP,O
hand,NN,O
recently,RB,O
make,VBD,O
he,PRP$,O
hobby,NN,O
--,:,O
the,DT,O
music,NN,O
of,IN,O
the,DT,O
Middle,NNP,O
Ages,NNPS,O
.,.,O
but,CC,O
when,WRB,O
",",",",O
for,IN,O
the,DT,O
fourth,JJ,O
time,NN,O
",",",",O
after,IN,O
push,VBG,O
back,RP,O
we,PRP$,O
chair,NNS,O
from,IN,O
breakfast,NN,O
we,PRP,O
see,VBD,O
the,DT,O
greasy,JJ,O
",",",",O
heavy,JJ,O
brown,JJ,O
swirl,NN,O
still,RB,O
drift,VBG,O
past,IN,O
we,PRP,O
and,CC,O
condense,VBG,O
in,IN,O
oily,JJ,O
drop,NNS,O
upon,IN,O
the,DT,O
window,NN,O
-,HYPH,O
pane,NNS,O
",",",",O
my,PRP$,O
comrade,NN,O
's,POS,O
impatient,NN,O
and,CC,O
active,JJ,O
nature,NN,O
could,MD,O
endure,VB,O
this,DT,O
drab,JJ,O
existence,NN,O
no,RB,O
longer,RBR,O
.,.,O
he,PRP,O
pace,VBD,O
restlessly,RB,O
about,IN,O
we,PRP$,O
sit,VBG,O
-,HYPH,O
room,NN,O
in,IN,O
a,DT,O
fever,NN,O
of,IN,O
suppress,VBN,O
energy,NN,O
",",",",O
bite,VBG,O
he,PRP$,O
nail,NNS,O
",",",",O
tap,VBG,O
the,DT,O
furniture,NN,O
",",",",O
and,CC,O
chafe,VBG,O
against,IN,O
inaction,NN,O
.,.,O
"""",``,O
nothing,NN,O
of,IN,O
interest,NN,O
in,IN,O
the,DT,O
paper,NN,O
",",",",O
Watson,NNP,PERSON
?,.,O
"""",'',O
he,PRP,O
say,VBD,O
.,.,O
in,IN,O
be,VBD,O
aware,JJ,O
that,IN,O
by,IN,O
anything,NN,O
of,IN,O
interest,NN,O
",",",",O
Holmes,NNP,PERSON
mean,VBD,O
anything,NN,O
of,IN,O
criminal,JJ,O
interest,NN,O
.,.,O
there,EX,O
be,VBD,O
the,DT,O
news,NN,O
of,IN,O
a,DT,O
revolution,NN,O
",",",",O
of,IN,O
a,DT,O
possible,JJ,O
war,NN,O
",",",",O
and,CC,O
of,IN,O
a,DT,O
impending,JJ,O
change,NN,O
of,IN,O
government,NN,O
;,:,O
but,CC,O
these,DT,O
do,VBD,O
not,RB,O
come,VB,O
within,IN,O
the,DT,O
horizon,NN,O
of,IN,O
my,PRP$,O
companion,NN,O
.,.,O
I,PRP,O
could,MD,O
see,VB,O
nothing,NN,O
record,VBN,O
in,IN,O
the,DT,O
shape,NN,O
of,IN,O
crime,NN,O
which,WDT,O
be,VBD,O
not,RB,O
commonplace,JJ,O
and,CC,O
futile,JJ,O
.,.,O
Holmes,NNP,PERSON
groan,VBD,O
and,CC,O
resume,VBD,O
hs,NNP,O
restless,JJ,O
meanderings,NNS,O
.,.,O
"""",``,O
the,DT,O
London,NNP,LOCATION
criminal,NN,O
be,VBZ,O
certainly,RB,O
a,DT,O
dull,JJ,O
fellow,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
in,IN,O
the,DT,O
querulous,JJ,O
voice,NN,O
of,IN,O
the,DT,O
sportsman,NN,O
whose,WP$,O
game,NN,O
have,VBZ,O
fail,VBN,O
he,PRP,O
.,.,O
"""",``,O
look,VB,O
out,IN,O
this,DT,O
window,NN,O
",",",",O
Watson,NNP,PERSON
.,.,O
see,VB,O
how,WRB,O
the,DT,O
figure,NNS,O
loom,VBP,O
up,RP,O
",",",",O
be,VBP,O
dimly,RB,O
see,VBN,O
",",",",O
and,CC,O
then,RB,O
blend,VB,O
once,RB,O
more,RBR,O
into,IN,O
the,DT,O
cloud,NN,O
-,HYPH,O
bank,NN,O
.,.,O
the,DT,O
thief,NN,O
or,CC,O
the,DT,O
murderer,NN,O
could,MD,O
roam,VB,O
London,NNP,LOCATION
on,IN,O
such,PDT,O
a,DT,O
day,NN,O
as,IN,O
the,DT,O
tiger,NN,O
do,VBZ,O
the,DT,O
jungle,NN,O
",",",",O
unseen,JJ,O
until,IN,O
he,PRP,O
pounce,VBZ,O
",",",",O
and,CC,O
then,RB,O
evident,JJ,O
only,RB,O
to,IN,O
he,PRP$,O
victim,NN,O
.,.,O
"""",``,O
"""",``,O
there,EX,O
have,VBP,O
",",",",O
"""",'',O
say,VBD,O
I,PRP,O
",",",",O
"""",``,O
be,VBN,O
numerous,JJ,O
petty,JJ,O
theft,NNS,O
.,.,O
"""",``,O
Holmes,NNP,PERSON
snort,VBD,O
he,PRP$,O
contempt,NN,O
.,.,O
"""",'',O
this,DT,O
great,JJ,O
and,CC,O
sombre,JJ,O
stage,NN,O
be,VBZ,O
set,VBN,O
for,IN,O
something,NN,O
more,RBR,O
worthy,JJ,O
than,IN,O
that,DT,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",'',O
it,PRP,O
be,VBZ,O
fortunate,JJ,O
for,IN,O
this,DT,O
community,NN,O
that,WDT,O
I,PRP,O
be,VBP,O
not,RB,O
a,DT,O
criminal,NN,O
.,.,O
"""",``,O
"""",``,O
it,PRP,O
be,VBZ,O
",",",",O
indeed,RB,O
!,.,O
"""",``,O
say,VBD,O
I,PRP,O
heartily,RB,O
.,.,O
"""",'',O
suppose,VB,O
that,IN,O
I,PRP,O
be,VBD,O
Brooks,NNP,PERSON
or,CC,O
Woodhouse,NNP,PERSON
",",",",O
or,CC,O
any,DT,O
of,IN,O
the,DT,O
fifty,CD,O
man,NNS,O
who,WP,O
have,VBP,O
good,JJ,O
reason,NN,O
for,IN,O
take,VBG,O
my,PRP$,O
life,NN,O
",",",",O
how,WRB,O
long,JJ,O
could,MD,O
I,PRP,O
survive,VB,O
against,IN,O
my,PRP$,O
own,JJ,O
pursuit,NN,O
?,.,O
a,DT,O
summons,NNS,O
",",",",O
a,DT,O
bogus,JJ,O
appointment,NN,O
",",",",O
and,CC,O
all,DT,O
would,MD,O
be,VB,O
over,RB,O
.,.,O
it,PRP,O
be,VBZ,O
well,RB,O
they,PRP,O
do,VBP,O
not,RB,O
have,VB,O
day,NNS,O
of,IN,O
fog,NN,O
in,IN,O
the,DT,O
latin,JJ,O
country,NNS,O
--,:,O
the,DT,O
country,NNS,O
of,IN,O
assassination,NN,O
.,.,O
by,IN,O
Jove,NNP,PERSON
!,.,O
here,RB,O
come,VBZ,O
something,NN,O
at,IN,O
last,JJ,O
to,TO,O
break,VB,O
we,PRP$,O
dead,JJ,O
monotony,NN,O
.,.,O
"""",``,O
it,PRP,O
be,VBD,O
the,DT,O
maid,NN,O
with,IN,O
a,DT,O
telegram,NN,O
.,.,O
