lemma,pos,ner
"""",``,O
from,IN,O
the,DT,O
point,NN,O
of,IN,O
view,NN,O
of,IN,O
the,DT,O
criminal,JJ,O
expert,NN,O
",",",",O
"""",'',O
say,VBD,O
Mr.,NNP,PERSON
Sherlock,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
"""",``,O
London,NNP,LOCATION
have,VBZ,O
become,VBN,O
a,DT,O
singularly,RB,O
uninteresting,JJ,O
city,NN,O
since,IN,O
the,DT,O
death,NN,O
of,IN,O
the,DT,O
late,JJ,O
lament,VBD,O
Professor,NNP,O
Moriarty,NNP,PERSON
.,.,O
"""",'',O
"""",``,O
I,PRP,O
can,MD,O
hardly,RB,O
think,VB,O
that,IN,O
you,PRP,O
would,MD,O
find,VB,O
many,JJ,O
decent,JJ,O
citizen,NNS,O
to,TO,O
agree,VB,O
with,IN,O
you,PRP,O
",",",",O
"""",``,O
I,PRP,O
answer,VBD,O
.,.,O
"""",``,O
well,UH,O
",",",",O
well,UH,O
",",",",O
I,PRP,O
must,MD,O
not,RB,O
be,VB,O
selfish,JJ,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
with,IN,O
a,DT,O
smile,NN,O
",",",",O
as,IN,O
he,PRP,O
push,VBD,O
back,RB,O
he,PRP$,O
chair,NN,O
from,IN,O
the,DT,O
breakfast,NN,O
-,HYPH,O
table,NN,O
.,.,O
"""",``,O
the,DT,O
community,NN,O
be,VBZ,O
certainly,RB,O
the,DT,O
gainer,NN,O
",",",",O
and,CC,O
no,DT,O
one,NN,O
the,DT,O
loser,NN,O
",",",",O
save,VB,O
the,DT,O
poor,JJ,O
out,IN,O
-,HYPH,O
of,IN,O
-,HYPH,O
work,NN,O
specialist,NN,O
",",",",O
whose,WP$,O
occupation,NN,O
have,VBZ,O
go,VBN,O
.,.,O
with,IN,O
that,DT,O
man,NN,O
in,IN,O
the,DT,O
field,NN,O
one,CD,O
's,POS,O
morning,NN,O
paper,NN,O
present,VBN,O
infinite,JJ,O
possibility,NNS,O
.,.,O
often,RB,O
it,PRP,O
be,VBD,O
only,RB,O
the,DT,O
smallest,JJS,O
trace,NN,O
",",",",O
Watson,NNP,PERSON
",",",",O
the,DT,O
faintest,JJS,O
indication,NN,O
",",",",O
and,CC,O
yet,CC,O
it,PRP,O
be,VBD,O
enough,JJ,O
to,TO,O
tell,VB,O
I,PRP,O
that,IN,O
the,DT,O
great,JJ,O
malignant,JJ,O
brain,NN,O
be,VBD,O
there,RB,O
",",",",O
as,IN,O
the,DT,O
gentlest,JJS,O
tremor,NNS,O
of,IN,O
the,DT,O
edge,NNS,O
of,IN,O
the,DT,O
web,NN,O
remind,VB,O
one,CD,O
of,IN,O
the,DT,O
foul,JJ,O
spider,NN,O
which,WDT,O
lurk,VBZ,O
in,IN,O
the,DT,O
centre,NN,O
.,.,O
petty,JJ,O
theft,NNS,O
",",",",O
wanton,NN,O
assault,NNS,O
",",",",O
purposeless,JJ,O
outrage,NN,O
--,:,O
to,IN,O
the,DT,O
man,NN,O
who,WP,O
hold,VBD,O
the,DT,O
clue,NN,O
all,DT,O
could,MD,O
be,VB,O
work,VBN,O
into,IN,O
one,CD,O
connect,VBN,O
whole,JJ,O
.,.,O
to,IN,O
the,DT,O
scientific,JJ,O
student,NN,O
of,IN,O
the,DT,O
higher,JJR,O
criminal,JJ,O
world,NN,O
no,DT,O
capital,NN,O
in,IN,O
Europe,NNP,LOCATION
offer,VBD,O
the,DT,O
advantage,NNS,O
which,WDT,O
London,NNP,LOCATION
then,RB,O
possess,VBD,O
.,.,O
but,CC,O
now,RB,O
--,:,O
"""",``,O
he,PRP,O
shrug,VBD,O
he,PRP$,O
shoulder,NNS,O
in,IN,O
humorous,JJ,O
deprecation,NN,O
of,IN,O
the,DT,O
state,NN,O
of,IN,O
thing,NNS,O
which,WDT,O
he,PRP,O
have,VBD,O
himself,PRP,O
do,VBN,O
so,RB,O
much,RB,O
to,TO,O
produce,VB,O
.,.,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
which,WDT,O
I,PRP,O
speak,VBP,O
Holmes,NNP,PERSON
have,VBD,O
be,VBN,O
back,RB,O
for,IN,O
some,DT,O
month,NNS,O
",",",",O
and,CC,O
I,PRP,O
",",",",O
at,IN,O
he,PRP$,O
request,NN,O
",",",",O
have,VBD,O
sell,VBN,O
my,PRP$,O
practice,NN,O
and,CC,O
return,VBD,O
to,TO,O
share,VB,O
the,DT,O
old,JJ,O
quarter,NNS,O
in,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
.,.,O
a,DT,O
young,JJ,O
doctor,NN,O
",",",",O
name,VBN,O
Verner,NNP,PERSON
",",",",O
have,VBD,O
purchase,VBN,O
